item_0,time_cost
[9],5.030632019042969e-05
[15204],0.00012636184692382812
[30],5.030632019042969e-05
[8319],0.0001163482666015625
[72],4.9114227294921875e-05
[10467],0.00011849403381347656
[60],4.887580871582031e-05
[16308],0.00012445449829101562
[65],4.8160552978515625e-05
[9915],0.0001163482666015625
[10131],0.00011754035949707031
[117],4.863739013671875e-05
[15228],0.00012445449829101562
[45],4.887580871582031e-05
[11040],0.00011587142944335938
[172],4.8160552978515625e-05
[10139],0.00011801719665527344
[41],4.863739013671875e-05
[12503],0.00011658668518066406
[25],4.792213439941406e-05
[50],4.744529724121094e-05
[10],4.8160552978515625e-05
[246],4.8160552978515625e-05
[12000],0.00011730194091796875
[9],4.7206878662109375e-05
[119],4.744529724121094e-05
[7],4.76837158203125e-05
[121],5.4836273193359375e-05
[16],4.744529724121094e-05
[240],4.8160552978515625e-05
[11997],0.00011706352233886719
[23],4.792213439941406e-05
[105],4.863739013671875e-05
[20],4.792213439941406e-05
[108],4.887580871582031e-05
[59],4.673004150390625e-05
[197],4.76837158203125e-05
[15],4.839897155761719e-05
[113],4.7206878662109375e-05
[17],4.792213439941406e-05
[111],4.744529724121094e-05
[46],5.555152893066406e-05
[210],5.221366882324219e-05
[11998],0.00011801719665527344
[13],4.792213439941406e-05
[115],4.863739013671875e-05
[12],4.9114227294921875e-05
[116],4.863739013671875e-05
[53],4.839897155761719e-05
[203],4.839897155761719e-05
[14],4.744529724121094e-05
[114],4.7206878662109375e-05
[3],4.839897155761719e-05
[19241],0.000118255615234375
[26],4.839897155761719e-05
[19145],0.0001246929168701172
[36],4.7206878662109375e-05
[19146],0.0001246929168701172
[7],4.839897155761719e-05
[19229],0.0001239776611328125
[10],4.792213439941406e-05
[19214],0.00012373924255371094
[12],4.76837158203125e-05
[19226],0.0001239776611328125
[19228],0.00011754035949707031
[18],4.935264587402344e-05
[19194],0.0001251697540283203
[19240],0.00012087821960449219
[29],5.054473876953125e-05
[4],4.8160552978515625e-05
[19237],0.00011730194091796875
[9],4.792213439941406e-05
[19231],0.00011658668518066406
[13],4.76837158203125e-05
[19196],0.00012350082397460938
[11],4.8160552978515625e-05
[19232],0.00011730194091796875
[22],4.792213439941406e-05
[19180],0.00012421607971191406
[6],4.887580871582031e-05
[19239],0.00011730194091796875
[42],4.76837158203125e-05
[19150],0.0001251697540283203
[19234],0.00012373924255371094
[37],4.863739013671875e-05
[19143],0.00012493133544921875
[19236],0.00012445449829101562
[19169],0.00011610984802246094
[19219],0.00011730194091796875
[16],4.887580871582031e-05
[19225],0.00012087821960449219
[19216],0.00012445449829101562
[19244],0.0001232624053955078
[19158],0.0001239776611328125
[8],5.0067901611328125e-05
[19233],0.00012350082397460938
[19190],0.0001246929168701172
[5],4.863739013671875e-05
[23],4.696846008300781e-05
[19182],0.0001251697540283203
[25],4.744529724121094e-05
[19192],0.00011754035949707031
[1],4.8160552978515625e-05
[19230],0.0001232624053955078
[19222],0.00012493133544921875
[58],4.76837158203125e-05
[19108],0.00012350082397460938
[27],4.792213439941406e-05
[19184],0.0001251697540283203
[46],4.863739013671875e-05
[210],4.744529724121094e-05
[4],4.696846008300781e-05
[252],4.863739013671875e-05
[16],4.7206878662109375e-05
[496],4.8160552978515625e-05
[1],4.76837158203125e-05
[511],4.792213439941406e-05
