item_0,item_1,time_cost
"[2, 98, 1]",[-1],0.05717945098876953
"[4, 512, 1024]",[0],8.821487426757812e-06
"[2, 769, 769]",[0],1.6450881958007812e-05
"[2, 769, 769]",[0],8.58306884765625e-06
"[2, 512, 1024]",[0],7.867813110351562e-06
"[2, 512, 1024]",[0],7.62939453125e-06
"[4, 480, 480]",[0],7.3909759521484375e-06
"[4, 512, 512]",[0],7.867813110351562e-06
"[2, 32]",[1],4.5299530029296875e-06
"[3, 3]",[0],4.291534423828125e-06
"[128, 2]",[0],4.291534423828125e-06
[128],[0],4.0531158447265625e-06
[4],[0],3.814697265625e-06
"[2, 3]",[0],4.0531158447265625e-06
"[1, 36, 36, 2]",[3],5.245208740234375e-06
"[2, 2, 128]",[1],4.0531158447265625e-06
"[2, 1, 2, 128]",[2],4.5299530029296875e-06
"[2, 128]",[1],4.0531158447265625e-06
"[2, 1, 128]",[2],4.0531158447265625e-06
"[128, 128, 3, 3]",[0],6.9141387939453125e-06
"[2, 1, 128]",[3],4.291534423828125e-06
"[2, 1, 128, 1]",[4],4.291534423828125e-06
"[2, 128]",[2],3.814697265625e-06
"[2, 128, 1]",[3],4.0531158447265625e-06
"[2, 128, 1, 1]",[4],4.291534423828125e-06
"[108, 128, 3, 3]",[0],6.4373016357421875e-06
"[2, 108]",[2],4.5299530029296875e-06
"[2, 108, 1]",[3],4.0531158447265625e-06
"[2, 108, 1, 1]",[4],4.0531158447265625e-06
[108],[0],4.0531158447265625e-06
"[91, 108, 3, 3]",[0],5.7220458984375e-06
"[2, 108]",[1],4.5299530029296875e-06
"[2, 1, 108]",[3],4.0531158447265625e-06
"[2, 1, 108, 1]",[4],4.5299530029296875e-06
"[2, 91]",[2],4.0531158447265625e-06
"[2, 91, 1]",[3],4.0531158447265625e-06
"[2, 91, 1, 1]",[4],3.814697265625e-06
[91],[0],4.0531158447265625e-06
"[76, 91, 3, 3]",[0],5.4836273193359375e-06
"[2, 91]",[1],4.291534423828125e-06
"[2, 1, 91]",[3],4.291534423828125e-06
"[2, 1, 91, 1]",[4],4.5299530029296875e-06
"[2, 76]",[2],4.0531158447265625e-06
"[2, 76, 1]",[3],4.0531158447265625e-06
"[2, 76, 1, 1]",[4],3.814697265625e-06
[76],[0],4.291534423828125e-06
"[64, 76, 3, 3]",[0],5.0067901611328125e-06
"[2, 76]",[1],4.5299530029296875e-06
"[2, 1, 76]",[3],4.0531158447265625e-06
"[2, 1, 76, 1]",[4],4.0531158447265625e-06
"[2, 64]",[2],4.0531158447265625e-06
"[2, 64, 1]",[3],4.0531158447265625e-06
"[2, 64, 1, 1]",[4],3.814697265625e-06
[64],[0],4.0531158447265625e-06
"[54, 64, 3, 3]",[0],5.245208740234375e-06
"[2, 64]",[1],4.291534423828125e-06
"[2, 1, 64]",[3],4.0531158447265625e-06
"[2, 1, 64, 1]",[4],4.0531158447265625e-06
"[2, 54]",[2],4.291534423828125e-06
