item_0,item_1,time_cost
"[100, 12544]","[100, 12544]",0.00014853477478027344
"[1482, 1]","[1482, 1]",0.00010776519775390625
"[22800, 1]","[22800, 1]",9.775161743164062e-05
"[91200, 1]","[91200, 1]",0.00012993812561035156
"[364800, 1]","[364800, 1]",0.00016069412231445312
"[5700, 1]","[5700, 1]",0.00011229515075683594
"[2, 19]","[2, 19]",0.00010275840759277344
"[80, 69, 69]","[80, 69, 69]",0.00012421607971191406
"[4, 150]","[4, 150]",0.00014162063598632812
"[1326, 1]","[1326, 1]",0.00010609626770019531
