item_0,item_1,time_cost
"[16, 14, 14]","[16, 14, 128]",0.057428836822509766
"[16, 256, 64]","[16, 64, 600]",4.291534423828125e-05
"[8, 100, 713]","[8, 713, 32]",4.76837158203125e-05
"[22, 12, 12]","[22, 12, 576]",4.410743713378906e-05
"[16, 14, 14]","[16, 14, 512]",3.075599670410156e-05
"[29, 14, 14]","[29, 14, 128]",2.86102294921875e-05
"[4, 196, 256]","[4, 256, 64]",3.4809112548828125e-05
"[16, 850, 850]","[16, 850, 64]",6.437301635742188e-05
"[10, 3800, 64]","[10, 64, 950]",9.584426879882812e-05
"[16, 850, 64]","[16, 64, 850]",4.220008850097656e-05
"[8, 713, 713]","[8, 713, 32]",4.482269287109375e-05
"[2, 512, 512]","[2, 512, 8192]",6.365776062011719e-05
"[64, 128, 64]","[64, 64, 256]",5.936622619628906e-05
"[16, 1601, 64]","[16, 64, 1601]",4.76837158203125e-05
"[1, 128, 4096]","[1, 4096, 128]",0.0033833980560302734
"[10, 4100, 1025]","[10, 1025, 64]",6.914138793945312e-05
"[4, 15200, 950]","[4, 950, 64]",6.67572021484375e-05
"[20, 16, 16]","[20, 16, 128]",0.00048613548278808594
"[16, 300, 300]","[16, 300, 32]",4.696846008300781e-05
"[16, 1000, 1000]","[16, 1000, 64]",6.699562072753906e-05
"[2, 64000, 64]","[2, 64, 1000]",6.937980651855469e-05
"[4, 16400, 64]","[4, 64, 1025]",5.221366882324219e-05
"[22, 12, 12]","[22, 12, 256]",3.409385681152344e-05
"[2, 256, 1536]","[2, 1536, 713]",3.790855407714844e-05
"[4, 16384, 64]","[4, 64, 256]",4.076957702636719e-05
"[32, 256, 256]","[32, 256, 64]",4.458427429199219e-05
"[16, 100, 805]","[16, 805, 32]",3.552436828613281e-05
"[8, 30, 240]","[8, 240, 64]",3.337860107421875e-05
"[16, 600, 600]","[16, 600, 32]",5.340576171875e-05
"[42, 196, 64]","[42, 64, 256]",5.221366882324219e-05
"[8, 100, 460]","[8, 460, 32]",3.790855407714844e-05
"[600, 49, 256]","[600, 256, 64]",6.461143493652344e-05
"[3, 1174, 1174]","[3, 1174, 64]",5.6743621826171875e-05
"[2, 512, 2048]","[2, 2048, 2048]",7.772445678710938e-05
"[2, 256, 1536]","[2, 1536, 1976]",6.270408630371094e-05
"[3, 1174, 64]","[3, 64, 1174]",4.863739013671875e-05
"[16, 840, 840]","[16, 840, 32]",7.43865966796875e-05
"[20, 1024, 64]","[20, 64, 256]",4.8160552978515625e-05
"[29, 14, 14]","[29, 14, 256]",4.267692565917969e-05
"[8, 256, 64]","[8, 64, 256]",3.457069396972656e-05
"[8, 26, 64]","[8, 64, 26]",3.314018249511719e-05
"[8, 100, 330]","[8, 330, 32]",3.337860107421875e-05
"[128, 1, 528]","[128, 528, 32]",0.0059168338775634766
"[16, 391, 391]","[16, 391, 32]",3.719329833984375e-05
"[18, 17, 17]","[18, 17, 576]",3.7670135498046875e-05
"[6272, 16, 6]","[6272, 6, 16]",3.886222839355469e-05
"[48, 197, 197]","[48, 197, 64]",3.409385681152344e-05
"[2, 54400, 64]","[2, 64, 850]",7.104873657226562e-05
"[20, 16, 16]","[20, 16, 576]",3.647804260253906e-05
"[4, 16384, 256]","[4, 256, 64]",7.700920104980469e-05
"[8, 26, 26]","[8, 26, 64]",3.0279159545898438e-05
"[1, 26, 512]","[1, 512, 256]",8.749961853027344e-05
"[64, 256, 32]","[64, 32, 64]",3.814697265625e-05
"[2, 512, 512]","[2, 512, 9409]",6.461143493652344e-05
"[1, 256, 1024]","[1, 1024, 256]",8.344650268554688e-05
"[32, 256, 64]","[32, 64, 256]",4.506111145019531e-05
"[64, 256, 16]","[64, 16, 64]",3.9577484130859375e-05
"[2, 60800, 950]","[2, 950, 64]",0.00010323524475097656
"[2, 256, 1536]","[2, 1536, 154]",5.459785461425781e-05
"[4, 768, 48]","[4, 48, 64]",3.838539123535156e-05
"[22, 12, 12]","[22, 12, 128]",3.9577484130859375e-05
"[48, 197, 64]","[48, 64, 197]",3.8623809814453125e-05
"[8, 4096, 256]","[8, 256, 64]",6.318092346191406e-05
"[2, 256, 1536]","[2, 1536, 130]",4.100799560546875e-05
"[24, 1025, 1025]","[24, 1025, 64]",7.796287536621094e-05
"[16, 100, 100]","[16, 100, 32]",6.270408630371094e-05
"[2, 256, 1536]","[2, 1536, 9408]",6.914138793945312e-05
"[1, 64, 16384]","[1, 16384, 64]",0.0008304119110107422
"[10, 192, 48]","[10, 48, 64]",4.7206878662109375e-05
"[16, 48, 64]","[16, 64, 48]",3.647804260253906e-05
"[8, 100, 32]","[8, 32, 100]",4.00543212890625e-05
"[4, 13600, 64]","[4, 64, 850]",3.7670135498046875e-05
"[4, 512, 1024]","[4, 1024, 1024]",5.7697296142578125e-05
"[10, 3800, 950]","[10, 950, 64]",8.273124694824219e-05
"[4, 196, 64]","[4, 64, 256]",4.649162292480469e-05
"[4, 15200, 64]","[4, 64, 950]",4.00543212890625e-05
"[16, 150, 150]","[16, 150, 64]",3.62396240234375e-05
"[16, 100, 32]","[16, 32, 100]",3.2901763916015625e-05
"[16, 100, 4096]","[16, 4096, 32]",7.486343383789062e-05
"[128, 528, 32]","[128, 32, 528]",4.506111145019531e-05
"[2, 256, 1536]","[2, 1536, 2852]",6.580352783203125e-05
"[128, 1, 32]","[128, 32, 528]",5.221366882324219e-05
"[10, 192, 64]","[10, 64, 48]",5.5789947509765625e-05
"[16, 100, 840]","[16, 840, 32]",3.933906555175781e-05
"[64, 64, 64]","[64, 64, 256]",3.4332275390625e-05
"[18, 17, 17]","[18, 17, 256]",3.266334533691406e-05
"[42, 196, 256]","[42, 256, 64]",3.409385681152344e-05
"[2, 256, 1536]","[2, 1536, 494]",3.3855438232421875e-05
"[2, 256, 1536]","[2, 1536, 588]",3.361701965332031e-05
"[16, 1750, 1750]","[16, 1750, 64]",6.771087646484375e-05
"[4, 13600, 850]","[4, 850, 64]",8.082389831542969e-05
"[2, 256, 1536]","[2, 1536, 7904]",7.176399230957031e-05
"[2, 65600, 64]","[2, 64, 1025]",7.748603820800781e-05
