item_0,item_1,item_2,time_cost
b c h w/ c -> b c h w,"[1, 2, 24, 28]",[2],3.838539123535156e-05
bnd/df->bnf,"[16, 14, 256]","[256, 64]",0.00010704994201660156
b h x y d/ x u v d -> b h x y u v,"[2, 1, 46, 62, 128]","[46, 46, 1, 128]",0.00010132789611816406
bnhw/bchw->bnc,"[2, 150, 64, 64]","[2, 512, 64, 64]",0.00012946128845214844
nc/mc->nm,"[100, 12544]","[5, 12544]",0.00015997886657714844
nc/mc->nm,"[100, 29120]","[5, 29120]",0.00011157989501953125
nc/mc->nm,"[100, 12544]","[3, 12544]",0.00010323524475097656
bnd/df->bnf,"[20, 16, 512]","[512, 128]",0.00010085105895996094
bcn/bck->bnk,"[2, 512, 8192]","[2, 512, 64]",0.00014257431030273438
bts/bcs->bct,"[64, 16, 16]","[64, 64, 16]",7.82012939453125e-05
b h x y d/ y u v d -> b h x y u v,"[2, 1, 46, 62, 128]","[62, 1, 62, 128]",8.845329284667969e-05
m/d->md,[196],[128],4.410743713378906e-05
b c h w/ c -> b c h w,"[1, 2, 192, 224]",[2],4.291534423828125e-05
nkctv/kvw->nctw,"[32, 3, 256, 150, 17]","[3, 17, 17]",0.00021719932556152344
bciw/bhwi->bchw,"[2, 512, 64, 128]","[2, 64, 128, 64]",0.0001804828643798828
ijkl/ ikl->ijkl,"[1, 128, 12, 14]","[1, 12, 14]",6.151199340820312e-05
b c h w/ c -> b c h w,"[1, 2, 96, 112]",[2],3.933906555175781e-05
bchw/bciw->bwhi,"[4, 64, 64, 64]","[4, 64, 64, 64]",0.000125885009765625
nkctv/kvw->nctw,"[32, 3, 64, 300, 17]","[3, 17, 17]",0.0001964569091796875
bnd/df->bnf,"[18, 17, 512]","[512, 128]",0.00014328956604003906
bnd/df->bnf,"[20, 16, 1152]","[1152, 512]",0.00011301040649414062
nc/mc->nm,"[100, 12544]","[18, 12544]",9.059906005859375e-05
nkctv/kvw->nctw,"[32, 3, 128, 150, 17]","[3, 17, 17]",0.00019168853759765625
nc/mc->nm,"[100, 49152]","[4, 49152]",0.00014972686767578125
