item_0,item_1,item_2,time_cost
"[1, 800, 1152]", 0,[2],0.04383349418640137
"[10, 640, 864]", 0,[10],6.890296936035156e-05
"[2, 704, 704]", 0,[2],3.314018249511719e-05
"[5, 896, 704]", 0,[5],2.7894973754882812e-05
"[1, 768, 1120]", 0,[4],2.6464462280273438e-05
"[2, 736, 992]", 0,[2],2.5272369384765625e-05
"[2, 800, 1088]", 0,[2],2.5987625122070312e-05
"[2, 672, 1344]", 0,[3],2.5272369384765625e-05
"[3, 672, 896]", 0,[3],3.3855438232421875e-05
"[1, 768, 1152]", 0,[1],2.3603439331054688e-05
"[13, 800, 1088]", 0,[30],4.100799560546875e-05
"[11, 800, 1088]", 0,[20],4.124641418457031e-05
"[13, 800, 1088]", 0,[15],4.1961669921875e-05
"[11, 800, 1088]", 0,[13],4.57763671875e-05
"[13, 800, 1088]", 0,[14],4.410743713378906e-05
"[11, 800, 1088]", 0,[11],4.1484832763671875e-05
"[16, 800, 1344]", 0,[17],4.9591064453125e-05
"[3, 800, 1088]", 0,[9],3.719329833984375e-05
"[3, 800, 1088]", 0,[6],3.0517578125e-05
"[16, 800, 1344]", 0,[16],4.3392181396484375e-05
"[3, 800, 1088]", 0,[3],3.314018249511719e-05
"[2, 800, 1088]", 0,[5],2.7179718017578125e-05
"[1, 800, 1216]", 0,[1],2.7418136596679688e-05
"[2, 800, 1088]", 0,[3],2.574920654296875e-05
"[2, 800, 1088]", 0,[2],2.5033950805664062e-05
"[3, 800, 1248]", 0,[3],2.5272369384765625e-05
"[9, 800, 1216]", 0,[11],3.743171691894531e-05
"[9, 800, 1216]", 0,[10],4.076957702636719e-05
"[30, 800, 1216]", 0,[37],5.221366882324219e-05
"[14, 800, 1088]", 0,[19],4.458427429199219e-05
"[30, 800, 1216]", 0,[30],0.0018551349639892578
"[14, 800, 1088]", 0,[15],4.6253204345703125e-05
"[14, 800, 1088]", 0,[14],4.458427429199219e-05
"[1, 640, 864]", 0,[1],3.4809112548828125e-05
"[7, 960, 704]", 0,[7],3.552436828613281e-05
"[13, 544, 640]", 0,[13],3.24249267578125e-05
"[1, 800, 1216]", 0,[1],2.6702880859375e-05
"[6, 1024, 672]", 0,[13],2.765655517578125e-05
"[1, 1056, 704]", 0,[2],2.47955322265625e-05
"[26, 512, 768]", 0,[34],3.886222839355469e-05
"[2, 576, 672]", 0,[4],3.1948089599609375e-05
"[2, 704, 832]", 0,[7],3.075599670410156e-05
"[2, 480, 544]", 0,[14],2.7179718017578125e-05
"[15, 672, 672]", 0,[20],3.0279159545898438e-05
"[1, 960, 672]", 0,[1],2.9325485229492188e-05
"[4, 736, 992]", 0,[4],2.8848648071289062e-05
"[8, 800, 1088]", 0,[9],3.600120544433594e-05
"[3, 704, 1088]", 0,[4],2.956390380859375e-05
"[1, 736, 992]", 0,[1],2.6941299438476562e-05
"[3, 1024, 768]", 0,[3],2.5987625122070312e-05
"[2, 960, 672]", 0,[2],2.384185791015625e-05
"[4, 1216, 800]", 0,[4],2.5987625122070312e-05
"[3, 1056, 704]", 0,[3],2.574920654296875e-05
"[1, 384, 640]", 0,[17],2.5272369384765625e-05
"[1, 384, 640]", 0,[13],2.3603439331054688e-05
"[1, 384, 640]", 0,[22],4.6253204345703125e-05
"[2, 384, 640]", 0,[32],2.4557113647460938e-05
"[17, 672, 992]", 0,[40],4.315376281738281e-05
"[2, 640, 1344]", 0,[4],3.337860107421875e-05
"[17, 672, 992]", 0,[22],3.910064697265625e-05
"[2, 640, 1344]", 0,[2],3.314018249511719e-05
"[17, 672, 992]", 0,[18],5.555152893066406e-05
"[9, 704, 928]", 0,[20],4.410743713378906e-05
"[5, 800, 1248]", 0,[13],3.457069396972656e-05
"[9, 704, 928]", 0,[14],3.504753112792969e-05
"[5, 800, 1248]", 0,[7],3.9577484130859375e-05
"[9, 704, 928]", 0,[10],3.7670135498046875e-05
"[5, 800, 1248]", 0,[6],4.076957702636719e-05
"[5, 1088, 800]", 0,[5],4.00543212890625e-05
"[5, 1088, 736]", 0,[10],3.600120544433594e-05
"[5, 1088, 736]", 0,[5],4.76837158203125e-05
"[8, 1056, 704]", 0,[14],3.838539123535156e-05
"[2, 1056, 800]", 0,[8],5.8650970458984375e-05
"[8, 1056, 704]", 0,[8],4.696846008300781e-05
"[2, 1056, 800]", 0,[3],3.409385681152344e-05
"[14, 672, 992]", 0,[33],5.602836608886719e-05
"[8, 768, 1120]", 0,[16],5.91278076171875e-05
"[14, 672, 992]", 0,[15],5.173683166503906e-05
"[8, 768, 1120]", 0,[11],5.030632019042969e-05
"[14, 672, 992]", 0,[14],5.364418029785156e-05
"[8, 768, 1120]", 0,[10],5.6743621826171875e-05
"[1, 800, 1088]", 0,[1],3.4809112548828125e-05
"[9, 800, 1216]", 0,[9],5.2928924560546875e-05
"[3, 1088, 800]", 0,[3],3.933906555175781e-05
"[2, 1216, 800]", 0,[2],3.218650817871094e-05
"[12, 800, 1088]", 0,[13],5.364418029785156e-05
"[4, 800, 1088]", 0,[4],4.5299530029296875e-05
"[3, 800, 1184]", 0,[3],4.6253204345703125e-05
"[15, 800, 1216]", 0,[15],5.412101745605469e-05
"[2, 800, 1088]", 0,[2],3.981590270996094e-05
"[3, 800, 1088]", 0,[4],3.695487976074219e-05
"[14, 832, 1088]", 0,[16],5.9604644775390625e-05
"[6, 832, 1088]", 0,[7],5.269050598144531e-05
"[7, 832, 832]", 0,[13],3.7670135498046875e-05
"[3, 896, 832]", 0,[3],3.337860107421875e-05
"[2, 832, 832]", 0,[2],4.8160552978515625e-05
"[3, 1024, 832]", 0,[3],2.6702880859375e-05
"[2, 832, 1088]", 0,[2],2.6464462280273438e-05
"[2, 832, 1088]", 0,[5],2.4557113647460938e-05
"[7, 832, 1088]", 0,[11],4.863739013671875e-05
"[3, 832, 960]", 0,[7],3.910064697265625e-05
"[18, 800, 1216]", 0,[20],7.891654968261719e-05
"[3, 800, 1088]", 0,[3],4.220008850097656e-05
"[9, 800, 1120]", 0,[11],4.982948303222656e-05
"[3, 800, 1120]", 0,[7],3.24249267578125e-05
"[1, 800, 1088]", 0,[1],2.5033950805664062e-05
"[3, 800, 1088]", 0,[4],2.5033950805664062e-05
"[2, 1216, 800]", 0,[2],2.5987625122070312e-05
"[2, 1184, 800]", 0,[2],2.384185791015625e-05
"[3, 800, 1088]", 0,[9],2.47955322265625e-05
"[4, 800, 1216]", 0,[6],2.86102294921875e-05
"[6, 4]", 0,[4],1.9550323486328125e-05
"[10, 4]", 0,[6],1.9073486328125e-05
"[2, 800, 1088]", 0,[2],2.5033950805664062e-05
"[7, 800, 1088]", 0,[10],4.3392181396484375e-05
"[3, 800, 1216]", 0,[3],3.075599670410156e-05
"[7, 800, 1088]", 0,[8],4.315376281738281e-05
"[7, 800, 1088]", 0,[7],4.57763671875e-05
"[7, 800, 832]", 0,[19],3.4332275390625e-05
"[7, 800, 832]", 0,[11],3.695487976074219e-05
"[7, 800, 832]", 0,[7],3.4809112548828125e-05
"[6, 1088, 800]", 0,[8],3.910064697265625e-05
"[5, 1216, 800]", 0,[8],4.553794860839844e-05
"[6, 1088, 800]", 0,[6],6.008148193359375e-05
"[5, 1216, 800]", 0,[6],3.981590270996094e-05
"[18, 800, 1088]", 0,[24],6.699562072753906e-05
"[4, 800, 1088]", 0,[4],3.552436828613281e-05
"[18, 800, 1088]", 0,[19],5.7697296142578125e-05
"[11, 1152, 800]", 0,[16],5.745887756347656e-05
"[1, 1088, 800]", 0,[2],3.1948089599609375e-05
"[11, 1152, 800]", 0,[12],5.340576171875e-05
"[1, 1088, 800]", 0,[1],3.2901763916015625e-05
"[11, 1152, 800]", 0,[11],5.2928924560546875e-05
"[2, 800, 1088]", 0,[4],0.00016641616821289062
"[2, 800, 1088]", 0,[9],2.6941299438476562e-05
"[2, 800, 1088]", 0,[2],2.6226043701171875e-05
"[2, 800, 1088]", 0,[6],2.6226043701171875e-05
"[2, 800, 1088]", 0,[7],2.4318695068359375e-05
"[2, 800, 1088]", 0,[5],2.4557113647460938e-05
"[3, 800, 1088]", 0,[7],2.47955322265625e-05
"[12, 800, 1088]", 0,[17],5.14984130859375e-05
"[3, 800, 1088]", 0,[3],3.600120544433594e-05
"[12, 800, 1088]", 0,[13],5.245208740234375e-05
"[12, 800, 1088]", 0,[12],5.245208740234375e-05
"[2, 800, 1216]", 0,[4],3.0994415283203125e-05
"[8, 800, 1088]", 0,[13],0.00010418891906738281
"[2, 800, 1216]", 0,[3],3.981590270996094e-05
