item_0,item_1,item_2,item_3,item_4,time_cost
"[4, 784, 192]",[192],[192],[192],1e-05,2.956390380859375e-05
"[420, 1, 256]",[256],[256],[256],1e-05,3.361701965332031e-05
"[1, 13600, 192]",[192],[192],[192],1e-05,3.886222839355469e-05
"[525, 1, 256]",[256],[256],[256],1e-05,3.0994415283203125e-05
"[4, 197, 768]",[768],[768],[768],1e-06,3.0040740966796875e-05
"[1, 54400, 96]",[96],[96],[96],1e-05,4.315376281738281e-05
"[1, 850, 1536]",[1536],[1536],[1536],1e-05,4.315376281738281e-05
"[4, 784, 384]",[384],[384],[384],1e-05,3.266334533691406e-05
"[4, 49, 1536]",[1536],[1536],[1536],1e-05,2.8133392333984375e-05
"[418, 1, 256]",[256],[256],[256],1e-05,2.5987625122070312e-05
"[1, 3800, 768]",[768],[768],[768],1e-05,3.147125244140625e-05
"[1, 13600, 384]",[384],[384],[384],1e-05,4.601478576660156e-05
"[1, 15200, 384]",[384],[384],[384],1e-05,5.507469177246094e-05
"[1, 3400, 768]",[768],[768],[768],1e-05,4.0531158447265625e-05
"[1, 60800, 96]",[96],[96],[96],1e-05,5.7220458984375e-05
"[506, 1, 256]",[256],[256],[256],1e-05,3.814697265625e-05
"[660, 1, 256]",[256],[256],[256],1e-05,3.218650817871094e-05
"[100, 1, 256]",[256],[256],[256],1e-05,2.4080276489257812e-05
"[1, 3400, 384]",[384],[384],[384],1e-05,2.956390380859375e-05
"[2, 1025, 768]",[768],[768],[768],1e-06,2.9325485229492188e-05
"[270, 1, 256]",[256],[256],[256],1e-05,2.7418136596679688e-05
"[4, 49, 768]",[768],[768],[768],1e-05,2.8371810913085938e-05
"[1, 950, 1536]",[1536],[1536],[1536],1e-05,2.8848648071289062e-05
"[1, 950, 768]",[768],[768],[768],1e-05,3.0040740966796875e-05
"[4, 196, 768]",[768],[768],[768],1e-05,2.9325485229492188e-05
"[624, 1, 256]",[256],[256],[256],1e-05,2.7179718017578125e-05
"[700, 1, 256]",[256],[256],[256],1e-05,2.8133392333984375e-05
"[1, 15200, 192]",[192],[192],[192],1e-05,3.218650817871094e-05
"[4, 196, 384]",[384],[384],[384],1e-05,2.8371810913085938e-05
"[720, 1, 256]",[256],[256],[256],1e-05,2.8133392333984375e-05
"[4, 3136, 96]",[96],[96],[96],1e-05,2.9325485229492188e-05
"[1, 850, 768]",[768],[768],[768],1e-05,2.8133392333984375e-05
"[1, 3800, 384]",[384],[384],[384],1e-05,3.0279159545898438e-05
