item_0,time_cost
[15213],6.580352783203125e-05
[8349],6.914138793945312e-05
[22816],5.7697296142578125e-05
[5704],4.410743713378906e-05
[1426],4.172325134277344e-05
[384],4.076957702636719e-05
[96],4.029273986816406e-05
[10539],5.459785461425781e-05
[16368],5.4836273193359375e-05
[24576],5.602836608886719e-05
[6144],4.124641418457031e-05
[1536],4.076957702636719e-05
[9980],5.269050598144531e-05
[10140],5.1975250244140625e-05
[15808],5.3882598876953125e-05
[3952],6.29425048828125e-05
[988],4.1484832763671875e-05
[260],4.100799560546875e-05
[70],3.218650817871094e-05
[15345],5.412101745605469e-05
[11085],5.340576171875e-05
[23040],5.4836273193359375e-05
[5760],4.291534423828125e-05
[1440],5.173683166503906e-05
[360],4.00543212890625e-05
[90],4.00543212890625e-05
[10311],5.245208740234375e-05
[12544],5.316734313964844e-05
[18816],5.841255187988281e-05
[4704],4.124641418457031e-05
[1176],4.00543212890625e-05
[308],3.9577484130859375e-05
[84],3.9577484130859375e-05
[24480],5.435943603515625e-05
[48960],5.8650970458984375e-05
[12000],5.340576171875e-05
[2000],4.076957702636719e-05
[2003],4.00543212890625e-05
[256],4.0531158447265625e-05
[16380],5.2928924560546875e-05
[32760],5.6743621826171875e-05
[11997],5.412101745605469e-05
[2001],4.076957702636719e-05
[18900],5.2928924560546875e-05
[37800],5.888938903808594e-05
[2002],4.076957702636719e-05
[26550],5.435943603515625e-05
[53100],5.936622619628906e-05
[11998],5.316734313964844e-05
[15750],5.269050598144531e-05
[31500],5.435943603515625e-05
[19248],5.3882598876953125e-05
[217413],6.604194641113281e-05
[326400],6.365776062011719e-05
[81600],6.103515625e-05
[20400],5.3882598876953125e-05
[5100],4.172325134277344e-05
[1326],4.100799560546875e-05
[1000],3.9577484130859375e-05
[1015],4.0531158447265625e-05
[1001],3.933906555175781e-05
[1024],3.933906555175781e-05
[1007],3.933906555175781e-05
[1006],4.124641418457031e-05
[242991],6.246566772460938e-05
[204624],6.246566772460938e-05
[364800],8.0108642578125e-05
[91200],6.127357482910156e-05
[22800],5.53131103515625e-05
[5700],4.291534423828125e-05
[1482],4.100799560546875e-05
[1017],3.910064697265625e-05
[1003],3.9577484130859375e-05
[1013],4.00543212890625e-05
[1002],3.981590270996094e-05
[217413],6.318092346191406e-05
[236616],6.198883056640625e-05
[355200],8.153915405273438e-05
[88800],6.151199340820312e-05
[22200],5.340576171875e-05
[5550],4.172325134277344e-05
[1482],4.00543212890625e-05
[1000],3.981590270996094e-05
[1004],3.9577484130859375e-05
[1018],3.981590270996094e-05
[242991],6.222724914550781e-05
[364800],7.867813110351562e-05
[91200],6.198883056640625e-05
[22800],5.555152893066406e-05
[5700],4.410743713378906e-05
[1008],4.100799560546875e-05
[1007],4.076957702636719e-05
[255780],6.151199340820312e-05
[384000],8.177757263183594e-05
[96000],6.198883056640625e-05
[24000],5.53131103515625e-05
[6000],4.291534423828125e-05
[1560],4.100799560546875e-05
[1002],4.076957702636719e-05
[1001],4.1484832763671875e-05
[1003],4.1484832763671875e-05
[1016],4.0531158447265625e-05
[18134],5.459785461425781e-05
"[2, 13600]",5.841255187988281e-05
"[2, 3400]",4.482269287109375e-05
"[2, 850]",4.410743713378906e-05
"[2, 221]",4.291534423828125e-05
"[2, 63]",4.2438507080078125e-05
[27200],5.507469177246094e-05
[6800],4.172325134277344e-05
[1700],4.076957702636719e-05
[442],4.00543212890625e-05
[126],3.170967102050781e-05
[19742],5.53131103515625e-05
"[2, 14800]",5.841255187988281e-05
"[2, 3700]",5.173683166503906e-05
"[2, 925]",4.291534423828125e-05
"[2, 247]",4.291534423828125e-05
"[2, 70]",4.315376281738281e-05
[29600],5.650520324707031e-05
[7400],5.0067901611328125e-05
[1850],4.029273986816406e-05
[494],4.0531158447265625e-05
[140],4.076957702636719e-05
[20267],5.412101745605469e-05
"[2, 15200]",5.8650970458984375e-05
"[2, 3800]",4.458427429199219e-05
"[2, 950]",4.220008850097656e-05
[30400],5.412101745605469e-05
[7600],4.9114227294921875e-05
[1900],4.00543212890625e-05
[21875],5.316734313964844e-05
"[2, 16400]",5.745887756347656e-05
"[2, 4100]",5.4836273193359375e-05
"[2, 1025]",3.838539123535156e-05
"[2, 273]",4.124641418457031e-05
"[2, 77]",4.1484832763671875e-05
[32800],5.435943603515625e-05
[8200],5.1975250244140625e-05
[2050],3.8623809814453125e-05
[546],3.981590270996094e-05
[154],3.0994415283203125e-05
[21486],5.459785461425781e-05
"[2, 16800]",5.8650970458984375e-05
"[2, 4200]",5.7220458984375e-05
"[2, 1050]",4.315376281738281e-05
[33600],5.936622619628906e-05
[8400],5.221366882324219e-05
[2100],3.886222839355469e-05
[4],3.147125244140625e-05
"[40, 40]",4.172325134277344e-05
"[36, 36]",4.172325134277344e-05
"[24, 24]",4.1484832763671875e-05
"[16, 16]",4.172325134277344e-05
"[12, 12]",4.124641418457031e-05
[1],3.9577484130859375e-05
[10],3.0517578125e-05
[2],3.814697265625e-05
[5],3.8623809814453125e-05
[18],3.838539123535156e-05
[7],3.790855407714844e-05
[5733],4.00543212890625e-05
[8190],4.7206878662109375e-05
[9828],5.1975250244140625e-05
[6048],3.910064697265625e-05
[20267],5.340576171875e-05
[18672],5.173683166503906e-05
[18134],5.173683166503906e-05
[13343],5.054473876953125e-05
[22400],5.245208740234375e-05
[242991],6.151199340820312e-05
[217413],6.175041198730469e-05
[364800],7.796287536621094e-05
[91200],6.0558319091796875e-05
[22800],5.2928924560546875e-05
[5700],4.100799560546875e-05
[1482],3.981590270996094e-05
[1000],3.838539123535156e-05
[1004],3.8623809814453125e-05
[1024],3.814697265625e-05
[211038],6.031990051269531e-05
[326400],6.437301635742188e-05
[81600],6.151199340820312e-05
[20400],5.5789947509765625e-05
[5100],4.57763671875e-05
[1326],3.981590270996094e-05
[1002],4.0531158447265625e-05
[1012],3.933906555175781e-05
[1005],4.124641418457031e-05
