item_0,item_1,item_2,item_3,item_4,time_cost
"[64, 1600]",,,,,6.794929504394531e-05
"[164, 256]",2,1,,,8.273124694824219e-05
"[32, 512]",2,1,,,5.91278076171875e-05
"[192, 36]",,,,,5.412101745605469e-05
"[32, 128]",,1,,,4.673004150390625e-05
"[9, 1600, 2304]",,2,,,0.00015211105346679688
"[2, 512, 64]",2,1,,,0.00010180473327636719
"[57, 256]",2,1,,,5.626678466796875e-05
"[32, 2048, 49]",,1,,,8.440017700195312e-05
"[1, 150, 1024]",2,2,,,7.843971252441406e-05
"[256, 128]",2,1,,,6.508827209472656e-05
"[109, 52]",,,,,4.982948303222656e-05
"[148, 36]",,,,,4.601478576660156e-05
"[96, 256]",2,1,,,5.5789947509765625e-05
"[1, 1600, 1024]",2,2,,,0.00013780593872070312
"[79, 256]",2,1,,,5.793571472167969e-05
"[32, 2048]",,1,,,6.151199340820312e-05
"[80, 256]",2,1,,,5.412101745605469e-05
"[25, 1600]",,,,,5.6743621826171875e-05
"[5782, 256]",,,,,6.341934204101562e-05
"[3409, 256]",,,,,6.175041198730469e-05
"[9448, 256]",,,,,6.842613220214844e-05
"[2, 9409, 64]",1,1,,,0.00010180473327636719
"[1, 1024, 192]",2,2,,,6.318092346191406e-05
"[1, 512, 64]",2,1,,,5.7220458984375e-05
"[256, 256]",,1,,,5.936622619628906e-05
"[2, 8192, 64]",1,1,,,7.05718994140625e-05
"[109, 36]",,,,,5.435943603515625e-05
"[86, 256]",2,1,,,5.340576171875e-05
"[43, 256]",2,1,,,4.9591064453125e-05
"[3397, 256]",,,,,6.008148193359375e-05
"[128, 256]",,1,,,5.4836273193359375e-05
"[80, 1600]",,,,,6.270408630371094e-05
"[32, 512]",2,-1,,,6.198883056640625e-05
"[128, 65536]",,0,,,0.00012230873107910156
"[192, 52]",,,,,6.4849853515625e-05
"[38, 256]",2,1,,,5.221366882324219e-05
"[23, 256]",2,1,,,5.14984130859375e-05
"[3000, 128]",2,1,,,7.2479248046875e-05
"[115, 52]",,,,,4.792213439941406e-05
"[6042, 256]",,,,,6.914138793945312e-05
"[236, 256]",2,1,,,6.127357482910156e-05
"[100, 1600]",,,,,6.175041198730469e-05
"[244, 256]",2,1,,,5.793571472167969e-05
"[10, 1600]",,,,,5.078315734863281e-05
"[29, 256]",2,1,,,4.863739013671875e-05
"[176, 256]",2,1,,,5.745887756347656e-05
"[68, 256]",2,1,,,5.054473876953125e-05
"[32, 128, 49]",,1,,,6.222724914550781e-05
"[256, 256]",2,1,,,5.91278076171875e-05
"[160, 256]",2,1,,,5.5789947509765625e-05
"[192, 256]",2,1,,,5.7220458984375e-05
"[50, 1600]",,,,,5.817413330078125e-05
"[115, 36]",,,,,5.14984130859375e-05
"[148, 52]",,,,,4.673004150390625e-05
"[32, 32, 512]",2,2,,,6.151199340820312e-05
"[1, 150, 192]",2,2,,,5.5789947509765625e-05
"[1281167, 128]",,,,,0.00022530555725097656
"[32, 128]",,,,,0.00011110305786132812
"[48, 256]",2,1,,,5.7220458984375e-05
"[9, 2304, 1600]",,1,,,0.0001697540283203125
