item_0,item_1,time_cost
"[11, 3136, 2]",float32,1.2874603271484375e-05
"[1, 1, 1, 1]",float32,5.745887756347656e-05
"[20, 3136, 2]",float32,2.09808349609375e-05
"[11, 37632, 2]",float32,1.6689300537109375e-05
"[512, 196]",float32,1.5497207641601562e-05
"[1, 12544, 2]",float32,1.4543533325195312e-05
"[2, 2]",float32,1.3589859008789062e-05
"[4, 49, 2]",float32,1.3589859008789062e-05
"[12, 49, 2]",float32,1.3113021850585938e-05
"[4, 588, 2]",float32,1.33514404296875e-05
"[1568, 1, 1]",float32,1.4066696166992188e-05
"[1, 768]",float32,1.3589859008789062e-05
"[2, 1, 1]",float32,1.3589859008789062e-05
"[1, 192]",float32,1.3113021850585938e-05
"[8, 1, 1]",float32,1.3113021850585938e-05
"[8, 3136, 2]",float32,1.4543533325195312e-05
"[7, 37632, 2]",float32,1.3113021850585938e-05
512,float32,1.33514404296875e-05
"[20, 37632, 2]",float32,1.2874603271484375e-05
"[5, 49, 2]",float32,1.3589859008789062e-05
"[6, 588, 2]",float32,1.33514404296875e-05
"[7, 588, 2]",float32,1.3113021850585938e-05
"[1, 1, 1]",float32,1.3113021850585938e-05
"[4, 6144, 2]",float32,1.3113021850585938e-05
256,float32,1.33514404296875e-05
[128],float32,1.2874603271484375e-05
"[4, 512, 2]",float32,1.3113021850585938e-05
"[5, 588, 2]",float32,1.3113021850585938e-05
"[5, 37632, 2]",float32,1.3828277587890625e-05
"[96, 1, 1, 1]",float32,1.33514404296875e-05
"[8, 1, 1, 1]",float32,1.3113021850585938e-05
"[5, 3136, 2]",float32,1.3113021850585938e-05
"[6, 49, 2]",float32,1.3113021850585938e-05
"[12, 588, 2]",float32,1.3589859008789062e-05
"[2, 1, 1, 1]",float32,1.3113021850585938e-05
"[4, 1, 1, 1]",float32,1.33514404296875e-05
1,float32,1.3113021850585938e-05
"[2, 1]",float32,1.3113021850585938e-05
"[8, 37632, 2]",float32,1.3589859008789062e-05
"[4, 1, 1, 1]",float32,1.33514404296875e-05
"[2, 512, 2]",float32,1.2636184692382812e-05
[2],float32,1.2159347534179688e-05
"[4, 1, 1]",float32,1.2874603271484375e-05
"[7, 49, 2]",float32,1.2159347534179688e-05
"[2, 6144, 2]",float32,1.2874603271484375e-05
"[64, 1, 1, 1]",float32,1.2636184692382812e-05
"[7, 3136, 2]",float32,1.239776611328125e-05
"[1, 3072]",float32,1.3113021850585938e-05
