item_0,item_1,time_cost
"[2, 1, 4096]",1,8.58306884765625e-06
"[1, 1, 4096]",1,1.2636184692382812e-05
"[4, 1, 512, 1024]",1,1.3113021850585938e-05
"[2, 1, 769, 769]",1,1.1205673217773438e-05
"[2, 1, 769, 769]",1,1.049041748046875e-05
"[2, 1, 3072]",1,6.67572021484375e-06
"[2, 1, 512, 1024]",1,1.049041748046875e-05
"[2, 1, 4096]",1,7.152557373046875e-06
"[9, 1]",[],1.049041748046875e-05
"[9, 1]",-1,6.67572021484375e-06
"[15204, 1]",-1,5.9604644775390625e-06
"[30, 1]",[],6.198883056640625e-06
"[30, 1]",-1,5.7220458984375e-06
"[8319, 1]",-1,5.7220458984375e-06
"[0, 1]",1,5.4836273193359375e-06
"[18, 1]",1,5.245208740234375e-06
"[21, 1]",1,5.9604644775390625e-06
"[72, 1]",[],5.7220458984375e-06
"[72, 1]",-1,5.7220458984375e-06
"[10467, 1]",-1,5.9604644775390625e-06
"[60, 1]",[],5.9604644775390625e-06
"[60, 1]",-1,5.7220458984375e-06
"[16308, 1]",-1,5.9604644775390625e-06
"[33, 1]",1,5.9604644775390625e-06
"[54, 1]",1,5.7220458984375e-06
"[27, 1]",1,5.4836273193359375e-06
"[65, 1]",[],5.7220458984375e-06
"[65, 1]",-1,5.7220458984375e-06
"[9915, 1]",-1,5.9604644775390625e-06
"[10131, 1]",-1,5.9604644775390625e-06
"[43, 1]",1,5.4836273193359375e-06
"[6, 1]",1,5.4836273193359375e-06
"[25, 1]",1,5.4836273193359375e-06
"[117, 1]",[],5.4836273193359375e-06
"[117, 1]",-1,5.245208740234375e-06
"[15228, 1]",-1,5.9604644775390625e-06
"[45, 1]",[],5.4836273193359375e-06
"[45, 1]",-1,5.245208740234375e-06
"[11040, 1]",-1,5.7220458984375e-06
"[76, 1]",1,5.7220458984375e-06
"[50, 1]",1,5.7220458984375e-06
"[9, 1]",1,5.7220458984375e-06
"[172, 1]",[],5.7220458984375e-06
"[172, 1]",-1,5.7220458984375e-06
"[10139, 1]",-1,5.4836273193359375e-06
"[41, 1]",[],5.4836273193359375e-06
"[41, 1]",-1,5.7220458984375e-06
"[12503, 1]",-1,6.198883056640625e-06
"[144, 1]",1,5.7220458984375e-06
"[28, 1]",1,5.9604644775390625e-06
"[15, 1]",1,5.4836273193359375e-06
"[26, 1]",1,5.4836273193359375e-06
"[2, 1, 512, 1024]",1,1.049041748046875e-05
"[2, 1, 4096]",1,6.4373016357421875e-06
"[4, 1, 480, 480]",1,1.0013580322265625e-05
"[2, 1, 1024]",1,5.9604644775390625e-06
"[1, 1, 1024]",1,5.245208740234375e-06
"[4, 1, 512, 512]",1,9.5367431640625e-06
"[2, 128, 1]",2,5.9604644775390625e-06
"[2, 36, 36, 1, 128]",3,9.059906005859375e-06
"[1, 1, 1, 1, 1]",2,5.9604644775390625e-06
"[2, 1, 6912]",1,5.9604644775390625e-06
"[2, 1, 769, 769]",1,1.0251998901367188e-05
"[4, 1, 64, 64]",1,6.9141387939453125e-06
"[2, 1, 4096]",1,5.4836273193359375e-06
"[2, 1, 512, 1024]",1,9.5367431640625e-06
"[2, 1, 4096]",1,5.9604644775390625e-06
"[1, 1, 4096]",1,5.9604644775390625e-06
"[4, 1, 512, 512]",1,1.2159347534179688e-05
"[4, 1, 512, 512]",1,1.0967254638671875e-05
"[2, 1, 512, 1024]",1,1.0013580322265625e-05
"[1, 1, 6912]",1,6.67572021484375e-06
"[2, 1, 2240]",1,5.9604644775390625e-06
"[4, 1, 512, 512]",1,1.4066696166992188e-05
"[4, 1, 128, 128]",1,9.059906005859375e-06
"[10, 1]",1,7.152557373046875e-06
"[24242, 1]",1,7.3909759521484375e-06
"[6, 1]",[],8.58306884765625e-06
"[9, 1]",1,6.9141387939453125e-06
"[1994, 1]",1,6.4373016357421875e-06
"[4, 1]",[],6.9141387939453125e-06
