item_0,item_1,item_2,time_cost
"[4, 1, 512, 1024]",[0],[1],0.057501792907714844
"[2, 1, 769, 769]",[0],[1],1.3113021850585938e-05
"[2, 97, 97, 97]",[1],[2],1.5497207641601562e-05
"[2, 1, 769, 769]",[0],[1],1.1444091796875e-05
"[2, 1, 512, 1024]",[0],[1],1.1444091796875e-05
"[2, 1, 512, 1024]",[0],[1],1.0728836059570312e-05
"[4, 1, 480, 480]",[0],[1],1.0251998901367188e-05
"[4, 1, 512, 512]",[0],[1],1.0967254638671875e-05
"[2, 1, 769, 769]",[0],[1],1.0251998901367188e-05
"[4, 1, 64, 64]",[0],[1],8.106231689453125e-06
"[1, 30, 512]",[0],[1],7.3909759521484375e-06
"[30, 8, 64]",[0],[1],8.106231689453125e-06
"[8, 30, 64]",[-2],[-1],7.152557373046875e-06
"[8, 30, 64]",[0],[1],6.67572021484375e-06
"[30, 1, 512]",[0],[1],6.67572021484375e-06
"[1, 240, 512]",[0],[1],1.049041748046875e-05
"[240, 8, 64]",[0],[1],1.0251998901367188e-05
"[8, 240, 64]",[-2],[-1],1.049041748046875e-05
"[10, 1600]",[0],[1],7.62939453125e-06
"[2, 1, 512, 1024]",[0],[1],1.049041748046875e-05
"[8, 768, 196]",[1],[2],1.2159347534179688e-05
"[8, 196, 768]",[1],[2],1.1682510375976562e-05
"[4, 1, 512, 512]",[0],[1],1.049041748046875e-05
"[4, 1, 512, 512]",[0],[1],1.0728836059570312e-05
"[2, 1, 512, 1024]",[0],[1],1.049041748046875e-05
"[4, 1, 512, 512]",[0],[1],1.0728836059570312e-05
"[4, 1, 128, 128]",[0],[1],9.5367431640625e-06
"[4, 1, 480, 480]",[0],[1],1.049041748046875e-05
"[4, 1, 480, 480]",[0],[1],1.1444091796875e-05
"[2, 1, 769, 769]",[0],[1],1.2159347534179688e-05
"[4, 1, 512, 512]",[0],[1],1.1920928955078125e-05
"[4, 1, 512, 512]",[0],[1],1.1682510375976562e-05
"[2, 64, 3072]",[1],[2],1.2159347534179688e-05
"[1, 64, 3072]",[1],[2],1.1920928955078125e-05
"[2, 3072, 64]",[1],[2],1.1682510375976562e-05
"[2, 64, 48]",[1],[2],7.62939453125e-06
"[2, 3072, 64]",[0],[1],1.1682510375976562e-05
"[2, 48, 64]",[0],[1],7.62939453125e-06
"[3072, 2, 64]",[0],[1],1.1444091796875e-05
"[48, 2, 64]",[0],[1],7.867813110351562e-06
"[2, 48, 64]",[-2],[-1],7.3909759521484375e-06
"[2, 128, 768]",[1],[2],1.1444091796875e-05
"[1, 128, 768]",[1],[2],1.1682510375976562e-05
"[2, 768, 128]",[1],[2],1.1205673217773438e-05
"[2, 128, 48]",[1],[2],8.58306884765625e-06
"[2, 768, 128]",[0],[1],1.1205673217773438e-05
"[2, 48, 128]",[0],[1],8.821487426757812e-06
"[768, 4, 64]",[0],[1],1.1205673217773438e-05
"[48, 4, 64]",[0],[1],7.867813110351562e-06
