item_0,item_1,time_cost
[25],[0],3.0279159545898438e-05
[80],[0],0.00011992454528808594
[180],[0],0.00013113021850585938
[50],[0],5.1975250244140625e-05
[1],[0],8.106231689453125e-06
[16],[0],1.6689300537109375e-05
"[1, 16]",[0],7.62939453125e-06
"[1, 2048, 64, 64]",[0],2.384185791015625e-05
[74],[0],6.532669067382812e-05
"[1, 1, 1]",[0],8.58306884765625e-06
"[1, 1]",[0],7.152557373046875e-06
[6],[0],1.1205673217773438e-05
"[1, 2048, 66, 66]",[0],2.6464462280273438e-05
[48],[0],4.9591064453125e-05
"[1, 3, 3]",[0],7.62939453125e-06
"[3, 3]",[0],9.298324584960938e-06
[54],[0],4.9591064453125e-05
"[1, 2048, 68, 68]",[0],0.22048687934875488
[16],[0],3.814697265625e-05
"[1, 5, 5]",[0],9.775161743164062e-06
"[5, 5]",[0],1.1920928955078125e-05
[150],[0],0.00012183189392089844
"[1, 2048, 70, 70]",[0],2.0503997802734375e-05
"[1, 7, 7]",[0],8.821487426757812e-06
[216],[0],0.00016546249389648438
[81],[0],5.817413330078125e-05
[43],[0],3.314018249511719e-05
[10],[0],1.3589859008789062e-05
[78],[0],5.6743621826171875e-05
[30],[0],2.5272369384765625e-05
[86],[0],5.888938903808594e-05
[35],[0],2.8133392333984375e-05
[17],[0],1.71661376953125e-05
[92],[0],6.318092346191406e-05
[42],[0],3.266334533691406e-05
[19],[0],2.0503997802734375e-05
[112],[0],7.271766662597656e-05
[137],[0],9.1552734375e-05
[127],[0],8.797645568847656e-05
[96],[0],6.580352783203125e-05
[91],[0],6.175041198730469e-05
[135],[0],9.274482727050781e-05
[125],[0],8.511543273925781e-05
[93],[0],7.009506225585938e-05
[132],[0],9.179115295410156e-05
[116],[0],7.677078247070312e-05
[105],[0],8.821487426757812e-05
[131],[0],9.512901306152344e-05
[99],[0],6.890296936035156e-05
[16],[0],1.7881393432617188e-05
"[8, 19248, 81]",[0],3.266334533691406e-05
"[8, 19248, 4]",[0],3.933906555175781e-05
"[8, 19248]",[0],3.0040740966796875e-05
"[1, 800, 1088]",[0],1.9311904907226562e-05
[1],[0],1.1920928955078125e-05
"[2, 800, 1088]",[0],2.09808349609375e-05
[2],[0],1.2636184692382812e-05
"[3, 800, 1088]",[0],2.288818359375e-05
[3],[0],1.33514404296875e-05
"[1, 800, 1120]",[0],1.9788742065429688e-05
"[2, 800, 1216]",[0],2.0503997802734375e-05
"[4, 800, 1216]",[0],2.2649765014648438e-05
[4],[0],1.430511474609375e-05
"[7, 800, 1216]",[0],5.53131103515625e-05
[7],[0],1.4066696166992188e-05
"[6, 800, 1216]",[0],3.337860107421875e-05
[6],[0],1.621246337890625e-05
"[1, 800, 1216]",[0],2.2411346435546875e-05
"[1, 1088, 800]",[0],2.002716064453125e-05
"[3, 1088, 800]",[0],2.2411346435546875e-05
"[10, 800, 800]",[0],3.409385681152344e-05
[10],[0],1.9550323486328125e-05
"[11, 800, 800]",[0],4.029273986816406e-05
[11],[0],1.6927719116210938e-05
"[7, 800, 800]",[0],3.2901763916015625e-05
"[3, 800, 800]",[0],2.2172927856445312e-05
"[1, 800, 800]",[0],1.811981201171875e-05
"[6, 608, 1344]",[0],2.6464462280273438e-05
"[2, 608, 1344]",[0],1.9073486328125e-05
"[1, 608, 1344]",[0],1.6689300537109375e-05
[24],[0],3.8623809814453125e-05
[24],[0],2.9325485229492188e-05
[4],[0],1.239776611328125e-05
[24],[0],2.9802322387695312e-05
[3],[0],1.1444091796875e-05
[12],[0],1.9311904907226562e-05
"[4, 23625, 4]",[0],2.0265579223632812e-05
"[4, 23625, 1]",[0],1.8835067749023438e-05
"[4, 23625]",[0],1.8596649169921875e-05
[3],[0],1.2159347534179688e-05
"[2, 163206, 80]",[0],3.3855438232421875e-05
"[2, 163206, 4]",[0],2.6702880859375e-05
"[2, 182403, 80]",[0],3.2901763916015625e-05
"[2, 182403, 4]",[0],2.7894973754882812e-05
[12],[0],2.5987625122070312e-05
[4],[0],1.239776611328125e-05
"[4, 3, 128, 128]",[0],2.8371810913085938e-05
"[3, 128, 128]",[0],2.1219253540039062e-05
[432],[0],0.00041604042053222656
[2],[0],1.430511474609375e-05
"[2, 4]",[0],1.1205673217773438e-05
[4],[0],1.2636184692382812e-05
[5],[0],1.3589859008789062e-05
"[5, 4]",[0],1.33514404296875e-05
[3],[0],1.0967254638671875e-05
"[3, 4]",[0],1.0967254638671875e-05
"[4, 4]",[0],1.2159347534179688e-05
[1],[0],1.1682510375976562e-05
"[1, 4]",[0],1.2159347534179688e-05
[11],[0],2.09808349609375e-05
"[11, 4]",[0],1.8596649169921875e-05
[10],[0],1.7404556274414062e-05
"[10, 4]",[0],1.7404556274414062e-05
[7],[0],1.4543533325195312e-05
"[7, 4]",[0],1.4543533325195312e-05
[8],[0],1.52587890625e-05
"[8, 4]",[0],1.52587890625e-05
[9],[0],1.5974044799804688e-05
"[9, 4]",[0],1.621246337890625e-05
[6],[0],1.3828277587890625e-05
"[6, 4]",[0],1.3828277587890625e-05
[16],[0],2.4557113647460938e-05
[18],[0],2.4318695068359375e-05
[13],[0],2.0265579223632812e-05
[24],[0],2.956390380859375e-05
[4],[0],1.1682510375976562e-05
"[64, 3, 224, 224]",[0],7.009506225585938e-05
[4],[0],1.0728836059570312e-05
[1],[0],6.9141387939453125e-06
"[2, 2]",[0],7.867813110351562e-06
[2],[0],7.152557373046875e-06
"[4, 2]",[0],1.4543533325195312e-05
"[5, 2]",[0],9.5367431640625e-06
