item_0,item_1,time_cost
"[100, 12544]","[100, 12544]",0.00013399124145507812
"[1482, 1]","[1482, 1]",0.00011658668518066406
"[22800, 1]","[22800, 1]",0.00011301040649414062
"[91200, 1]","[91200, 1]",0.00012040138244628906
"[364800, 1]","[364800, 1]",0.00012254714965820312
"[5700, 1]","[5700, 1]",0.00011706352233886719
"[2, 19]","[2, 19]",0.00010514259338378906
"[80, 69, 69]","[80, 69, 69]",0.0001246929168701172
"[4, 150]","[4, 150]",0.00010728836059570312
"[1326, 1]","[1326, 1]",0.00010585784912109375
