item_0,item_1,item_2,item_3,item_4,item_5,item_6,item_7,time_cost
"[2, 19, 512, 1024]","[2, 512, 1024]",,,255,,none,,0.00010585784912109375
"[4, 150, 512, 512]","[4, 512, 512]",,,255,,none,,0.07615804672241211
"[2, 19, 769, 769]","[2, 769, 769]",,,255,,none,,9.274482727050781e-05
"[4, 21, 512, 512]","[4, 512, 512]",,,255,,none,,8.511543273925781e-05
"[1024, 81]",[1024],,,-100,,none,,0.00012612342834472656
"[4, 171, 512, 512]","[4, 512, 512]",,,255,,none,,8.821487426757812e-05
"[4, 59, 480, 480]","[4, 480, 480]",,,255,,none,,8.821487426757812e-05
"[4, 60, 480, 480]","[4, 480, 480]",,,255,,none,,8.845329284667969e-05
"[2, 19, 832, 832]","[2, 832, 832]",,,255,,none,,8.7738037109375e-05
"[2, 150, 512, 512]","[2, 512, 512]",,,255,,none,,9.5367431640625e-05
