item_0,item_1,item_2,time_cost
"[1, 3072, 256]","[1024, 256]",[1024],0.019745349884033203
"[2, 240, 216, 96]","[384, 96]",[384],0.00019240379333496094
"[2, 48, 4096]","[1024, 4096]",[1024],0.00016617774963378906
"[2, 60, 54, 1536]","[384, 1536]",[384],0.0002071857452392578
"[2, 16384, 768]","[192, 768]",[192],0.00015425682067871094
"[4, 1024]","[1000, 1024]",[1000],0.00012564659118652344
"[2, 2048]","[16, 2048]",[16],8.654594421386719e-05
"[256, 1024]","[1024, 1024]",[1024],0.00011181831359863281
"[1, 26, 38]","[512, 38]",[False],6.198883056640625e-05
"[1, 30, 2048]","[512, 2048]",[512],0.0001087188720703125
"[64, 76, 768]","[768, 768]",[768],0.00010514259338378906
"[999, 1024]","[49, 1024]",[49],9.250640869140625e-05
"[1700, 512]","[512, 512]",[512],7.200241088867188e-05
"[4, 65536]","[1, 65536]",[1],7.414817810058594e-05
"[8, 3136, 512]","[64, 512]",[64],0.0001506805419921875
"[16400, 2, 128]","[128, 128]",[128],0.00012874603271484375
"[1024, 1024]","[1024, 1024]",[1024],0.00014066696166992188
"[36864, 580]","[256, 580]",[256],0.0001876354217529297
"[64, 75, 768]","[8192, 768]",[8192],0.00017714500427246094
"[21504, 2, 1024]","[256, 1024]",[256],0.00015735626220703125
"[256, 8192]","[8192, 8192]",[False],0.00017976760864257812
"[109, 16]","[1024, 16]",[1024],7.891654968261719e-05
"[3397, 5]","[256, 5]",[256],5.316734313964844e-05
"[2, 36, 48, 384]","[1536, 384]",[1536],0.00011777877807617188
"[1, 48, 512]","[2048, 512]",[2048],8.96453857421875e-05
"[4, 512]","[19, 512]",[19],5.459785461425781e-05
"[412, 12544]","[1024, 12544]",[1024],0.00016927719116210938
"[24, 144, 256]","[256, 256]",[256],0.0001277923583984375
"[2, 40, 512]","[38, 512]",[38],9.322166442871094e-05
"[8, 196, 320]","[320, 320]",[320],0.00010657310485839844
"[1174, 1, 192]","[192, 192]",[192],7.82012939453125e-05
"[3, 4608]","[81, 4608]",[81],7.987022399902344e-05
"[1, 48, 3072]","[1536, 3072]",[False],0.00014543533325195312
"[2, 132, 88, 768]","[192, 768]",[192],0.00020003318786621094
"[109, 256]","[1024, 256]",[1024],0.00013899803161621094
"[2, 54400, 96]","[384, 96]",[384],0.00018668174743652344
"[18, 49, 1536]","[1536, 1536]",[1536],0.00015544891357421875
"[128, 1024]","[1024, 1024]",[1024],0.0001201629638671875
"[2, 512]","[1, 512]",[False],9.036064147949219e-05
"[722, 49, 192]","[576, 192]",[576],0.0001850128173828125
"[2, 18, 24, 3072]","[768, 3072]",[768],0.00018286705017089844
"[4, 49, 768]","[768, 768]",[768],0.0001289844512939453
"[1, 2048]","[64, 2048]",[64],7.486343383789062e-05
"[5782, 5]","[256, 5]",[256],5.888938903808594e-05
"[5, 1024]","[49, 1024]",[49],6.246566772460938e-05
"[2, 132, 88, 192]","[768, 192]",[768],0.00010967254638671875
"[10, 1024]","[80, 1024]",[80],5.817413330078125e-05
"[12540, 2, 1024]","[256, 1024]",[256],0.00015497207641601562
"[128, 2048]","[4, 2048]",[4],9.274482727050781e-05
"[128, 256]","[4096, 256]",[False],8.153915405273438e-05
"[66, 1024]","[256, 1024]",[256],0.00010538101196289062
"[832, 512]","[256, 512]",[256],7.963180541992188e-05
"[1, 1024, 192]","[192, 192]",[192],7.486343383789062e-05
"[64, 640]","[100, 640]",[False],7.390975952148438e-05
"[16, 64]","[2, 64]",[2],4.601478576660156e-05
"[3409, 256]","[2, 256]",[2],6.103515625e-05
"[8, 768]","[1000, 768]",[1000],6.985664367675781e-05
"[2, 144, 192, 384]","[96, 384]",[96],0.0001876354217529297
"[8, 3136, 147]","[192, 147]",[False],0.00010704994201660156
"[32, 64]","[2, 64]",[2],6.771087646484375e-05
"[1, 64]","[64, 64]",[False],5.936622619628906e-05
"[2, 300, 256]","[80, 256]",[80],0.0001220703125
"[2, 768, 256]","[1024, 256]",[1024],9.393692016601562e-05
"[4, 3136, 384]","[96, 384]",[96],0.00013899803161621094
"[2, 176, 208, 384]","[96, 384]",[96],0.00018262863159179688
"[391, 2, 256]","[2048, 256]",[2048],0.00012421607971191406
"[2, 264, 176, 96]","[384, 96]",[384],0.00019431114196777344
"[1004, 12544]","[1024, 12544]",[1024],0.0002751350402832031
"[1750, 1, 1024]","[1024, 1024]",[1024],0.00013780593872070312
"[8, 768, 384]","[196, 384]",[196],0.00012731552124023438
"[2, 1025, 768]","[2304, 768]",[2304],9.679794311523438e-05
"[4096, 12544]","[1024, 12544]",[1024],0.0003139972686767578
"[4096, 1024]","[320, 1024]",[320],0.00017070770263671875
"[330, 1, 256]","[256, 256]",[256],0.00011444091796875
"[8, 196, 576]","[384, 576]",[384],0.00010085105895996094
"[442, 25088]","[1024, 25088]",[1024],0.00023436546325683594
"[782, 256]","[256, 256]",[256],0.00010371208190917969
"[64, 25, 256]","[256, 256]",[False],0.00029778480529785156
"[256, 4, 64]","[128, 64]",[128],8.940696716308594e-05
"[1, 150, 1024]","[1024, 1024]",[False],8.988380432128906e-05
"[7, 4, 128]","[252, 128]",[False],4.792213439941406e-05
"[2, 108, 4096]","[1024, 4096]",[1024],9.846687316894531e-05
"[442, 1024]","[1024, 1024]",[1024],0.00010085105895996094
"[1, 192, 512]","[1024, 512]",[1024],0.00016069412231445312
"[256, 2048]","[4096, 2048]",[4096],0.00015997886657714844
"[3409, 256]","[1, 256]",[1],0.00014662742614746094
"[1, 192, 256]","[1024, 256]",[1024],9.465217590332031e-05
"[21504, 2, 256]","[1024, 256]",[1024],0.00022745132446289062
"[600, 1, 256]","[256, 256]",[256],9.703636169433594e-05
"[1024, 1024]","[2, 1024]",[2],9.584426879882812e-05
"[1, 1024]","[1000, 1024]",[1000],0.0001049041748046875
"[100, 2, 256]","[768, 256]",[768],7.867813110351562e-05
"[6, 2, 100, 256]","[256, 256]",[256],0.000244140625
"[1, 3072, 512]","[64, 512]",[64],9.72747802734375e-05
"[300, 17]",[17],[False],0.00016641616821289062
"[512, 50, 768]","[768, 768]",[768],0.000202178955078125
"[35, 1024]","[80, 1024]",[80],0.00014328956604003906
