item_0,item_1,item_2,time_cost
"[1, 1, 30, 30]","[1, 1, 30, 30]",-1000000000.0,2.4557113647460938e-05
"[1, 1, 30, 30]","[1, 1, 30, 30]",0,2.3603439331054688e-05
"[16, 100, 1024]","[16, 100, 1024]",-inf,4.363059997558594e-05
"[16, 100, 4096]","[16, 100, 4096]",-inf,4.744529724121094e-05
"[16, 100, 16384]","[16, 100, 16384]",-inf,5.507469177246094e-05
"[8, 1, 713]","[8, 1, 713]",-inf,2.7894973754882812e-05
"[8, 1, 399]","[8, 1, 399]",-inf,1.8358230590820312e-05
"[8, 1, 460]","[8, 1, 460]",-inf,1.6450881958007812e-05
"[8, 1, 768]","[8, 1, 768]",-inf,1.621246337890625e-05
"[8, 1, 330]","[8, 1, 330]",-inf,1.5735626220703125e-05
"[16, 1, 391]","[16, 1, 391]",-inf,1.621246337890625e-05
"[16, 1, 840]","[16, 1, 840]",-inf,1.8596649169921875e-05
"[16, 1, 600]","[16, 1, 600]",-inf,1.6450881958007812e-05
"[16, 1, 805]","[16, 1, 805]",-inf,1.71661376953125e-05
