item_0,item_1,item_2,item_3,item_4,item_5,item_6,time_cost
"[4, 64, 256, 256]",[3],[2],[1],[1],[True],[False],0.00010538101196289062
"[2, 64, 256, 512]",[3],[2],[1],[1],[True],[False],7.414817810058594e-05
"[2, 64, 385, 385]",[3],[2],[1],[1],[True],[False],7.486343383789062e-05
"[2, 64, 128, 96]",[3],[2],[1],[1],[True],[False],5.5789947509765625e-05
"[2, 64, 128, 128]",[3],[2],[1],[1],[True],[False],4.00543212890625e-05
"[4, 64, 240, 240]",[3],[2],[1],[1],[True],[False],6.580352783203125e-05
"[2, 64, 192, 144]",[3],[2],[1],[1],[True],[False],6.246566772460938e-05
"[2, 64, 400, 608]",[3],[2],[1],[1],[False],[False],7.677078247070312e-05
"[1, 64, 128, 128]",[3],[2],[1],[1],[True],[False],5.7697296142578125e-05
"[2, 256, 25, 38]",[1],[2],[0],[1],[False],[False],5.245208740234375e-05
