item_0,item_1,item_2,time_cost
"[2, 4096]","[2, 4096]",mean,6.127357482910156e-05
"[2, 3072]","[2, 3072]",mean,5.078315734863281e-05
"[1, 3072]","[1, 3072]",mean,4.1484832763671875e-05
"[1, 6912]","[1, 6912]",mean,4.00543212890625e-05
"[2, 6912]","[2, 6912]",mean,4.553794860839844e-05
"[1, 4096]","[1, 4096]",mean,4.029273986816406e-05
"[2, 2116]","[2, 2116]",mean,3.981590270996094e-05
"[2, 1600]","[2, 1600]",mean,3.8623809814453125e-05
"[1, 2116]","[1, 2116]",mean,4.482269287109375e-05
"[2, 1728]","[2, 1728]",mean,3.981590270996094e-05
