item_0,time_cost
[15213],0.00984501838684082
[8349],6.318092346191406e-05
[22816],5.1975250244140625e-05
[5704],5.173683166503906e-05
[1426],4.315376281738281e-05
[384],4.0531158447265625e-05
[96],3.9577484130859375e-05
[10539],4.863739013671875e-05
[16368],4.839897155761719e-05
[24576],5.125999450683594e-05
[6144],4.220008850097656e-05
[1536],4.124641418457031e-05
[9980],4.7206878662109375e-05
[10140],4.649162292480469e-05
[15808],4.673004150390625e-05
[3952],4.291534423828125e-05
[988],4.100799560546875e-05
[260],3.9577484130859375e-05
[70],3.933906555175781e-05
[15345],4.792213439941406e-05
[11085],4.649162292480469e-05
[23040],5.030632019042969e-05
[5760],4.267692565917969e-05
[1440],4.124641418457031e-05
[360],5.984306335449219e-05
[90],4.696846008300781e-05
[10311],5.125999450683594e-05
[12544],4.839897155761719e-05
[18816],4.744529724121094e-05
[4704],4.172325134277344e-05
[1176],4.100799560546875e-05
[308],3.981590270996094e-05
[84],3.910064697265625e-05
[24480],5.054473876953125e-05
[48960],5.316734313964844e-05
[12000],4.76837158203125e-05
[2000],4.1484832763671875e-05
[2003],4.029273986816406e-05
[256],4.0531158447265625e-05
[16380],4.8160552978515625e-05
[32760],4.9591064453125e-05
[11997],4.887580871582031e-05
[2001],4.1484832763671875e-05
[18900],4.839897155761719e-05
[37800],4.9114227294921875e-05
[2002],4.839897155761719e-05
[26550],4.863739013671875e-05
[53100],5.3882598876953125e-05
[11998],4.839897155761719e-05
[15750],4.601478576660156e-05
[31500],4.982948303222656e-05
[19248],4.863739013671875e-05
[217413],5.7697296142578125e-05
[326400],5.817413330078125e-05
[81600],0.0003829002380371094
[20400],5.3882598876953125e-05
[5100],4.363059997558594e-05
[1326],4.1961669921875e-05
[1000],4.100799560546875e-05
[1015],3.9577484130859375e-05
[1001],4.76837158203125e-05
[1024],4.029273986816406e-05
[1007],3.910064697265625e-05
[1006],4.315376281738281e-05
[242991],6.4849853515625e-05
[204624],5.8650970458984375e-05
[364800],5.841255187988281e-05
[91200],5.6743621826171875e-05
[22800],5.602836608886719e-05
[5700],4.410743713378906e-05
[1482],4.1484832763671875e-05
[1017],4.0531158447265625e-05
[1003],3.910064697265625e-05
[1013],3.910064697265625e-05
[1002],3.933906555175781e-05
[217413],5.817413330078125e-05
[236616],5.6743621826171875e-05
[355200],5.7220458984375e-05
[88800],6.508827209472656e-05
[22200],5.459785461425781e-05
[5550],4.291534423828125e-05
[1482],4.1484832763671875e-05
[1000],4.00543212890625e-05
[1004],3.910064697265625e-05
[1018],3.981590270996094e-05
[242991],6.4849853515625e-05
[364800],5.7220458984375e-05
[91200],5.7220458984375e-05
[22800],4.9591064453125e-05
[5700],4.315376281738281e-05
[1008],4.076957702636719e-05
[1007],3.9577484130859375e-05
[255780],5.7220458984375e-05
[384000],5.888938903808594e-05
[96000],5.745887756347656e-05
[24000],4.9114227294921875e-05
[6000],4.38690185546875e-05
[1560],4.220008850097656e-05
[1002],4.00543212890625e-05
[1001],3.933906555175781e-05
[1003],3.933906555175781e-05
[1016],4.00543212890625e-05
[18134],4.839897155761719e-05
"[2, 13600]",5.602836608886719e-05
"[2, 3400]",4.649162292480469e-05
"[2, 850]",4.482269287109375e-05
"[2, 221]",4.410743713378906e-05
"[2, 63]",4.4345855712890625e-05
[27200],5.030632019042969e-05
[6800],4.1961669921875e-05
[1700],4.076957702636719e-05
[442],3.981590270996094e-05
[126],3.933906555175781e-05
[19742],4.8160552978515625e-05
"[2, 14800]",5.435943603515625e-05
"[2, 3700]",4.57763671875e-05
"[2, 925]",4.410743713378906e-05
"[2, 247]",4.3392181396484375e-05
"[2, 70]",4.291534423828125e-05
[29600],5.5789947509765625e-05
[7400],4.1961669921875e-05
[1850],4.1484832763671875e-05
[494],4.00543212890625e-05
[140],4.00543212890625e-05
[20267],4.8160552978515625e-05
"[2, 15200]",5.316734313964844e-05
"[2, 3800]",4.5299530029296875e-05
"[2, 950]",4.410743713378906e-05
[30400],4.935264587402344e-05
[7600],4.1961669921875e-05
[1900],4.172325134277344e-05
[21875],4.792213439941406e-05
"[2, 16400]",5.364418029785156e-05
"[2, 4100]",5.054473876953125e-05
"[2, 1025]",4.5299530029296875e-05
"[2, 273]",4.38690185546875e-05
"[2, 77]",4.315376281738281e-05
[32800],4.9114227294921875e-05
[8200],4.744529724121094e-05
[2050],4.172325134277344e-05
[546],4.124641418457031e-05
[154],4.029273986816406e-05
[21486],4.76837158203125e-05
"[2, 16800]",5.269050598144531e-05
"[2, 4200]",5.245208740234375e-05
"[2, 1050]",4.4345855712890625e-05
[33600],4.9591064453125e-05
[8400],4.673004150390625e-05
[2100],4.124641418457031e-05
[4],4.0531158447265625e-05
"[40, 40]",4.506111145019531e-05
"[36, 36]",4.363059997558594e-05
"[24, 24]",4.410743713378906e-05
"[16, 16]",4.38690185546875e-05
"[12, 12]",4.3392181396484375e-05
[1],3.9577484130859375e-05
[10],3.886222839355469e-05
[2],3.838539123535156e-05
[5],3.838539123535156e-05
[18],3.8623809814453125e-05
[7],3.886222839355469e-05
[5733],4.1484832763671875e-05
[8190],4.124641418457031e-05
[9828],4.673004150390625e-05
[6048],4.076957702636719e-05
[20267],4.792213439941406e-05
[18672],4.863739013671875e-05
[18134],4.744529724121094e-05
[13343],4.696846008300781e-05
[22400],4.8160552978515625e-05
[242991],5.602836608886719e-05
[217413],5.555152893066406e-05
[364800],5.745887756347656e-05
[91200],5.555152893066406e-05
[22800],4.839897155761719e-05
[5700],4.267692565917969e-05
[1482],4.124641418457031e-05
[1000],4.839897155761719e-05
[1004],3.933906555175781e-05
[1024],3.910064697265625e-05
[211038],5.650520324707031e-05
[326400],5.6743621826171875e-05
[81600],5.4836273193359375e-05
