item_0,item_1,item_2,item_3,item_4,time_cost
"[64, 1600]",,,,,7.271766662597656e-05
"[164, 256]",2,1,,,6.914138793945312e-05
"[32, 512]",2,1,,,7.104873657226562e-05
"[192, 36]",,,,,5.841255187988281e-05
"[32, 128]",,1,,,5.5789947509765625e-05
"[9, 1600, 2304]",,2,,,0.0001595020294189453
"[2, 512, 64]",2,1,,,8.749961853027344e-05
"[57, 256]",2,1,,,6.580352783203125e-05
"[32, 2048, 49]",,1,,,8.392333984375e-05
"[1, 150, 1024]",2,2,,,0.0005390644073486328
"[256, 128]",2,1,,,7.43865966796875e-05
"[109, 52]",,,,,6.175041198730469e-05
"[148, 36]",,,,,5.745887756347656e-05
"[96, 256]",2,1,,,6.222724914550781e-05
"[1, 1600, 1024]",2,2,,,7.486343383789062e-05
"[79, 256]",2,1,,,6.4849853515625e-05
"[32, 2048]",,1,,,6.794929504394531e-05
"[80, 256]",2,1,,,6.461143493652344e-05
"[25, 1600]",,,,,6.413459777832031e-05
"[5782, 256]",,,,,8.296966552734375e-05
"[3409, 256]",,,,,7.486343383789062e-05
"[9448, 256]",,,,,8.130073547363281e-05
"[2, 9409, 64]",1,1,,,9.250640869140625e-05
"[1, 1024, 192]",2,2,,,7.414817810058594e-05
"[1, 512, 64]",2,1,,,6.842613220214844e-05
"[256, 256]",,1,,,7.033348083496094e-05
"[2, 8192, 64]",1,1,,,9.179115295410156e-05
"[109, 36]",,,,,6.532669067382812e-05
"[86, 256]",2,1,,,6.318092346191406e-05
"[43, 256]",2,1,,,5.9604644775390625e-05
"[3397, 256]",,,,,7.43865966796875e-05
"[128, 256]",,1,,,7.2479248046875e-05
"[80, 1600]",,,,,7.128715515136719e-05
"[32, 512]",2,-1,,,6.4849853515625e-05
"[128, 65536]",,0,,,0.00014591217041015625
"[192, 52]",,,,,6.937980651855469e-05
"[38, 256]",2,1,,,6.103515625e-05
"[23, 256]",2,1,,,5.7697296142578125e-05
"[3000, 128]",2,1,,,8.702278137207031e-05
"[115, 52]",,,,,6.079673767089844e-05
"[6042, 256]",,,,,7.843971252441406e-05
"[236, 256]",2,1,,,7.295608520507812e-05
"[100, 1600]",,,,,7.319450378417969e-05
"[244, 256]",2,1,,,7.62939453125e-05
"[10, 1600]",,,,,6.437301635742188e-05
"[29, 256]",2,1,,,5.8650970458984375e-05
"[176, 256]",2,1,,,6.508827209472656e-05
"[68, 256]",2,1,,,6.198883056640625e-05
"[32, 128, 49]",,1,,,7.343292236328125e-05
"[256, 256]",2,1,,,6.937980651855469e-05
"[160, 256]",2,1,,,7.367134094238281e-05
"[192, 256]",2,1,,,6.723403930664062e-05
"[50, 1600]",,,,,6.866455078125e-05
"[115, 36]",,,,,5.7697296142578125e-05
"[148, 52]",,,,,5.745887756347656e-05
"[32, 32, 512]",2,2,,,8.082389831542969e-05
"[1, 150, 192]",2,2,,,6.532669067382812e-05
"[1281167, 128]",,,,,0.0011594295501708984
"[32, 128]",,,,,7.891654968261719e-05
"[48, 256]",2,1,,,6.4849853515625e-05
"[9, 2304, 1600]",,1,,,0.0001811981201171875
