item_0,item_1,time_cost
"[1, 256, 64, 64]","[1, 1, 1, 1]",5.245208740234375e-05
"[640, 640]","[0, 0, 0, 0]",2.47955322265625e-05
"[160, 160]","[0, 0, 0, 0]",2.09808349609375e-05
"[800, 800]","[0, 0, 0, 0]",2.3365020751953125e-05
"[512, 512, 3, 3]","[1, 1, 1, 1]",4.601478576660156e-05
"[2, 16, 12, 512]","[0, 0, 0, 2, 0, 5]",4.076957702636719e-05
"[2, 24, 18, 512]","[0, 0, 0, 6, 0, 0]",3.8623809814453125e-05
"[1, 64, 32, 32]","[1, 1, 1, 1]",3.9577484130859375e-05
"[1, 16, 12, 768]","[0, 0, 0, 2, 0, 5]",4.0531158447265625e-05
"[2, 32, 32, 768]","[0, 0, 0, 3, 0, 3]",4.100799560546875e-05
