item_0,item_1,time_cost
"[11, 3136, 2]",float32,2.4318695068359375e-05
"[1, 1, 1, 1]",float32,2.3603439331054688e-05
"[20, 3136, 2]",float32,2.193450927734375e-05
"[11, 37632, 2]",float32,2.193450927734375e-05
"[512, 196]",float32,2.2172927856445312e-05
"[1, 12544, 2]",float32,2.1696090698242188e-05
"[2, 2]",float32,2.1457672119140625e-05
"[4, 49, 2]",float32,2.1219253540039062e-05
"[12, 49, 2]",float32,2.1219253540039062e-05
"[4, 588, 2]",float32,2.2172927856445312e-05
"[1568, 1, 1]",float32,2.1219253540039062e-05
"[1, 768]",float32,2.1219253540039062e-05
"[2, 1, 1]",float32,2.193450927734375e-05
"[1, 192]",float32,2.1696090698242188e-05
"[8, 1, 1]",float32,2.09808349609375e-05
"[8, 3136, 2]",float32,2.1219253540039062e-05
"[7, 37632, 2]",float32,2.1696090698242188e-05
512,float32,2.1457672119140625e-05
"[20, 37632, 2]",float32,0.0003445148468017578
"[5, 49, 2]",float32,3.0994415283203125e-05
"[6, 588, 2]",float32,2.2411346435546875e-05
"[7, 588, 2]",float32,2.2172927856445312e-05
"[1, 1, 1]",float32,2.2172927856445312e-05
"[4, 6144, 2]",float32,2.2172927856445312e-05
256,float32,2.1696090698242188e-05
[128],float32,2.2172927856445312e-05
"[4, 512, 2]",float32,2.1457672119140625e-05
"[5, 588, 2]",float32,2.1696090698242188e-05
"[5, 37632, 2]",float32,2.1457672119140625e-05
"[96, 1, 1, 1]",float32,2.2172927856445312e-05
"[8, 1, 1, 1]",float32,2.1696090698242188e-05
"[5, 3136, 2]",float32,2.1219253540039062e-05
"[6, 49, 2]",float32,2.1457672119140625e-05
"[12, 588, 2]",float32,2.1219253540039062e-05
"[2, 1, 1, 1]",float32,2.1219253540039062e-05
"[4, 1, 1, 1]",float32,2.09808349609375e-05
1,float32,2.09808349609375e-05
"[2, 1]",float32,2.1219253540039062e-05
"[8, 37632, 2]",float32,2.6941299438476562e-05
"[4, 1, 1, 1]",float32,2.1219253540039062e-05
"[2, 512, 2]",float32,2.09808349609375e-05
[2],float32,2.1219253540039062e-05
"[4, 1, 1]",float32,2.4080276489257812e-05
"[7, 49, 2]",float32,2.09808349609375e-05
"[2, 6144, 2]",float32,2.1219253540039062e-05
"[64, 1, 1, 1]",float32,2.09808349609375e-05
"[7, 3136, 2]",float32,2.1696090698242188e-05
"[1, 3072]",float32,2.09808349609375e-05
