item_0,time_cost
191941,0.0051250457763671875
242624,0.00010585784912109375
3003,9.894371032714844e-05
241802,9.846687316894531e-05
217789,8.606910705566406e-05
185056,8.440017700195312e-05
12227,8.225440979003906e-05
216918,8.416175842285156e-05
811,4.553794860839844e-05
150270,8.344650268554688e-05
216452,8.368492126464844e-05
100981,0.0004703998565673828
64804,0.000102996826171875
184,4.9114227294921875e-05
216307,8.7738037109375e-05
242505,8.392333984375e-05
101293,8.606910705566406e-05
219259,8.416175842285156e-05
217419,8.916854858398438e-05
2961,7.963180541992188e-05
216978,8.416175842285156e-05
192180,8.368492126464844e-05
12126,7.939338684082031e-05
241562,8.344650268554688e-05
217068,8.320808410644531e-05
46,4.57763671875e-05
22649,7.915496826171875e-05
2946,7.772445678710938e-05
990,4.4345855712890625e-05
72470,8.511543273925781e-05
78871,9.369850158691406e-05
3005,7.724761962890625e-05
2903,7.653236389160156e-05
664,4.8160552978515625e-05
888287,9.059906005859375e-05
240962,8.487701416015625e-05
165883,8.368492126464844e-05
159493,8.416175842285156e-05
225170,8.273124694824219e-05
101687,8.535385131835938e-05
242665,8.726119995117188e-05
216926,8.96453857421875e-05
2985,7.772445678710938e-05
958,4.506111145019531e-05
89823,8.487701416015625e-05
216146,8.320808410644531e-05
239983,8.368492126464844e-05
191903,8.320808410644531e-05
124830,8.463859558105469e-05
217070,8.344650268554688e-05
80995,8.463859558105469e-05
217317,8.249282836914062e-05
101292,9.012222290039062e-05
257556,8.463859558105469e-05
760,4.482269287109375e-05
190681,8.320808410644531e-05
3069,7.534027099609375e-05
235636,8.392333984375e-05
217019,8.320808410644531e-05
7992,7.700920104980469e-05
245,4.506111145019531e-05
216822,8.344650268554688e-05
33978,8.368492126464844e-05
168716,8.440017700195312e-05
70938,8.988380432128906e-05
6874,7.987022399902344e-05
991,4.5299530029296875e-05
217216,8.440017700195312e-05
842,4.458427429199219e-05
1957,4.3392181396484375e-05
499,4.3392181396484375e-05
413,4.267692565917969e-05
171871,8.273124694824219e-05
993,4.38690185546875e-05
37,4.410743713378906e-05
236445,8.463859558105469e-05
846,4.482269287109375e-05
14554,7.796287536621094e-05
215940,8.869171142578125e-05
628,4.506111145019531e-05
190488,8.320808410644531e-05
19,4.506111145019531e-05
30088,8.606910705566406e-05
2948,7.700920104980469e-05
10582,7.724761962890625e-05
101339,8.559226989746094e-05
102052,8.487701416015625e-05
137968,8.392333984375e-05
97920,8.440017700195312e-05
242893,8.273124694824219e-05
216650,9.298324584960938e-05
216779,8.535385131835938e-05
47901,8.440017700195312e-05
825,4.696846008300781e-05
222659,8.463859558105469e-05
925,4.506111145019531e-05
996,4.315376281738281e-05
225636,8.392333984375e-05
3007,7.557868957519531e-05
79915,8.559226989746094e-05
12741,7.867813110351562e-05
215271,8.392333984375e-05
12228,8.320808410644531e-05
909,4.57763671875e-05
191781,8.368492126464844e-05
190298,8.320808410644531e-05
217036,8.392333984375e-05
155693,8.344650268554688e-05
165691,8.249282836914062e-05
216916,8.535385131835938e-05
15793,7.772445678710938e-05
472,4.410743713378906e-05
2938,7.605552673339844e-05
100000,8.535385131835938e-05
227,4.506111145019531e-05
393,5.0067901611328125e-05
1981,4.4345855712890625e-05
2921,7.62939453125e-05
216253,8.368492126464844e-05
191227,8.296966552734375e-05
588,4.553794860839844e-05
215473,8.344650268554688e-05
217094,8.296966552734375e-05
96443,8.535385131835938e-05
160987,8.416175842285156e-05
52324,8.511543273925781e-05
217053,8.368492126464844e-05
71337,8.869171142578125e-05
191500,8.535385131835938e-05
40090,8.58306884765625e-05
172603,8.463859558105469e-05
888,4.506111145019531e-05
242859,8.320808410644531e-05
1946,4.410743713378906e-05
216963,8.344650268554688e-05
2962,7.605552673339844e-05
80760,8.511543273925781e-05
71871,8.416175842285156e-05
2975,7.748603820800781e-05
24936,8.320808410644531e-05
2904,7.700920104980469e-05
242851,8.726119995117188e-05
2937,7.677078247070312e-05
196093,8.487701416015625e-05
175930,8.249282836914062e-05
43100,8.511543273925781e-05
236231,8.320808410644531e-05
231,4.482269287109375e-05
400000,8.368492126464844e-05
2942,7.939338684082031e-05
223241,8.893013000488281e-05
2906,7.748603820800781e-05
192074,8.416175842285156e-05
241116,8.463859558105469e-05
261970,8.20159912109375e-05
190929,8.344650268554688e-05
192164,8.392333984375e-05
43205,8.440017700195312e-05
202256,8.392333984375e-05
2925,7.772445678710938e-05
1996,4.482269287109375e-05
2915,7.510185241699219e-05
11283,8.535385131835938e-05
216676,8.440017700195312e-05
12212,7.748603820800781e-05
617292,9.1552734375e-05
31225,8.511543273925781e-05
239952,8.368492126464844e-05
560,4.38690185546875e-05
217218,8.463859558105469e-05
978,4.410743713378906e-05
217509,8.249282836914062e-05
1995,4.4345855712890625e-05
233451,8.559226989746094e-05
27362,8.487701416015625e-05
2955,7.581710815429688e-05
198765,8.392333984375e-05
1991,4.4345855712890625e-05
1976,4.38690185546875e-05
598,4.363059997558594e-05
215925,8.392333984375e-05
11665,7.796287536621094e-05
221817,8.344650268554688e-05
800000,8.893013000488281e-05
260215,8.368492126464844e-05
191882,8.320808410644531e-05
202599,9.1552734375e-05
2930,7.891654968261719e-05
182286,8.392333984375e-05
157272,8.296966552734375e-05
71360,8.463859558105469e-05
1000000,8.916854858398438e-05
961,4.696846008300781e-05
242431,8.559226989746094e-05
2951,7.581710815429688e-05
216363,8.344650268554688e-05
163039,8.416175842285156e-05
844,4.458427429199219e-05
9,5.245208740234375e-05
185352,8.392333984375e-05
495,4.553794860839844e-05
80939,8.702278137207031e-05
12649,7.915496826171875e-05
225774,8.58306884765625e-05
50000,8.559226989746094e-05
1,4.482269287109375e-05
15049,7.915496826171875e-05
14895,7.82012939453125e-05
109814,8.606910705566406e-05
2954,7.677078247070312e-05
101404,9.179115295410156e-05
745,4.5299530029296875e-05
215435,8.392333984375e-05
232,4.6253204345703125e-05
216607,8.440017700195312e-05
217265,8.511543273925781e-05
241882,8.440017700195312e-05
912,4.57763671875e-05
146087,8.416175842285156e-05
216814,8.177757263183594e-05
2,4.458427429199219e-05
144,4.410743713378906e-05
204177,8.249282836914062e-05
400,5.0067901611328125e-05
101410,8.654594421386719e-05
988,4.4345855712890625e-05
180,4.458427429199219e-05
210,4.38690185546875e-05
13736,7.843971252441406e-05
242122,8.487701416015625e-05
828,4.482269287109375e-05
102081,8.511543273925781e-05
2919,7.772445678710938e-05
101150,8.678436279296875e-05
240721,8.416175842285156e-05
242533,8.440017700195312e-05
2927,8.20159912109375e-05
217468,8.463859558105469e-05
809,4.482269287109375e-05
963,4.363059997558594e-05
2983,7.510185241699219e-05
242636,8.416175842285156e-05
217148,8.535385131835938e-05
2972,7.963180541992188e-05
2900,7.963180541992188e-05
242124,8.606910705566406e-05
175,4.5299530029296875e-05
47838,8.58306884765625e-05
217103,9.083747863769531e-05
215577,8.392333984375e-05
61191,8.416175842285156e-05
215151,8.416175842285156e-05
136,4.458427429199219e-05
983,4.38690185546875e-05
932,4.410743713378906e-05
242120,8.320808410644531e-05
136823,8.392333984375e-05
192080,8.249282836914062e-05
494,4.4345855712890625e-05
80762,8.535385131835938e-05
212167,8.320808410644531e-05
217343,8.988380432128906e-05
215421,8.296966552734375e-05
185080,8.320808410644531e-05
2933,7.700920104980469e-05
217101,8.344650268554688e-05
985,4.38690185546875e-05
344,4.363059997558594e-05
216776,8.225440979003906e-05
160094,8.487701416015625e-05
241459,8.320808410644531e-05
229992,8.296966552734375e-05
3067,7.62939453125e-05
101060,9.202957153320312e-05
1339332,8.988380432128906e-05
190650,8.368492126464844e-05
2993,7.653236389160156e-05
242675,8.273124694824219e-05
191907,8.392333984375e-05
217187,8.296966552734375e-05
5885,7.748603820800781e-05
25000000,9.775161743164062e-05
4,4.506111145019531e-05
3001,7.653236389160156e-05
189985,8.988380432128906e-05
158755,8.511543273925781e-05
217126,8.296966552734375e-05
10356,7.653236389160156e-05
12676,7.772445678710938e-05
896,4.4345855712890625e-05
241603,8.416175842285156e-05
798,4.458427429199219e-05
171968,8.273124694824219e-05
2922,7.62939453125e-05
170,4.76837158203125e-05
26600000,9.942054748535156e-05
796,4.553794860839844e-05
216383,8.96453857421875e-05
178884,8.320808410644531e-05
1983,4.506111145019531e-05
938,4.38690185546875e-05
214658,8.273124694824219e-05
78204,8.463859558105469e-05
242253,8.273124694824219e-05
236271,8.320808410644531e-05
217227,8.320808410644531e-05
185211,8.225440979003906e-05
874,4.506111145019531e-05
577,4.363059997558594e-05
136975,8.940696716308594e-05
101785,8.702278137207031e-05
32592,8.487701416015625e-05
997,4.506111145019531e-05
994,4.3392181396484375e-05
71569,8.511543273925781e-05
185285,8.368492126464844e-05
168247,8.344650268554688e-05
622,4.4345855712890625e-05
514,4.410743713378906e-05
34918,8.368492126464844e-05
