item_0,item_1,time_cost
[False],"[[2, 2048, 97, 97]]",0.0010676383972167969
[False],"[[2, 512, 97, 97]]",8.416175842285156e-05
[False],"[[1], [1], [1], [1]]",4.9591064453125e-05
[False],"[[11408], [11408], [11408], [11408]]",3.600120544433594e-05
[False],"[[22816], [22816]]",3.4332275390625e-05
[-1],"[[22816], [22816], [22816], [22816]]",4.100799560546875e-05
[False],"[[2852], [2852], [2852], [2852]]",2.4318695068359375e-05
[False],"[[5704], [5704]]",2.6941299438476562e-05
[-1],"[[5704], [5704], [5704], [5704]]",2.6702880859375e-05
[False],"[[713], [713], [713], [713]]",2.2411346435546875e-05
[False],"[[1426], [1426]]",2.2411346435546875e-05
[-1],"[[1426], [1426], [1426], [1426]]",2.47955322265625e-05
[False],"[[192], [192], [192], [192]]",2.0742416381835938e-05
[False],"[[384], [384]]",2.1219253540039062e-05
[-1],"[[384], [384], [384], [384]]",2.288818359375e-05
[False],"[[48], [48], [48], [48]]",2.1696090698242188e-05
[False],"[[96], [96]]",2.1457672119140625e-05
[-1],"[[96], [96], [96], [96]]",2.1696090698242188e-05
[False],"[[1], [1]]",1.9073486328125e-05
[False],"[[15213], [15213]]",3.218650817871094e-05
[False],"[[45, 1], [45, 1], [45, 1], [45, 1]]",2.3126602172851562e-05
[False],"[[3], [3]]",1.9550323486328125e-05
[False],"[[8349], [8349]]",2.3365020751953125e-05
[False],"[[45, 3], [45, 3], [45, 3], [45, 3]]",2.1219253540039062e-05
[0],"[[15213, 4], [15213, 4]]",3.4332275390625e-05
[0],"[[15213], [15213]]",2.8371810913085938e-05
[False],"[[18], [18]]",2.1696090698242188e-05
[False],"[[21], [21]]",3.0994415283203125e-05
[False],"[[12288], [12288], [12288], [12288]]",2.86102294921875e-05
[False],"[[24576], [24576]]",3.1948089599609375e-05
[-1],"[[24576], [24576], [24576], [24576]]",3.218650817871094e-05
[False],"[[3072], [3072], [3072], [3072]]",2.574920654296875e-05
[False],"[[6144], [6144]]",2.6226043701171875e-05
[-1],"[[6144], [6144], [6144], [6144]]",2.8848648071289062e-05
[False],"[[768], [768], [768], [768]]",2.4318695068359375e-05
[False],"[[1536], [1536]]",2.288818359375e-05
[-1],"[[1536], [1536], [1536], [1536]]",2.4557113647460938e-05
[False],"[[8], [8]]",2.1696090698242188e-05
[False],"[[10539], [10539]]",2.47955322265625e-05
[False],"[[45, 8], [45, 8], [45, 8], [45, 8]]",2.4080276489257812e-05
[False],"[[6], [6]]",2.2411346435546875e-05
[False],"[[16368], [16368]]",2.6702880859375e-05
[False],"[[45, 6], [45, 6], [45, 6], [45, 6]]",2.3603439331054688e-05
[0],"[[16368, 4], [16368, 4]]",3.218650817871094e-05
[0],"[[16368], [16368]]",2.6226043701171875e-05
