item_0,item_1,time_cost
"[2, 98, 1]",[-1],0.02005290985107422
"[4, 512, 1024]",[0],1.2636184692382812e-05
"[2, 769, 769]",[0],1.1205673217773438e-05
"[2, 769, 769]",[0],1.049041748046875e-05
"[2, 512, 1024]",[0],1.049041748046875e-05
"[2, 512, 1024]",[0],1.049041748046875e-05
"[4, 480, 480]",[0],1.0251998901367188e-05
"[4, 512, 512]",[0],1.0251998901367188e-05
"[2, 32]",[1],6.9141387939453125e-06
"[3, 3]",[0],6.4373016357421875e-06
"[128, 2]",[0],6.198883056640625e-06
[128],[0],6.198883056640625e-06
[4],[0],5.9604644775390625e-06
"[2, 3]",[0],5.7220458984375e-06
"[1, 36, 36, 2]",[3],6.9141387939453125e-06
"[2, 2, 128]",[1],5.9604644775390625e-06
"[2, 1, 2, 128]",[2],6.4373016357421875e-06
"[2, 128]",[1],6.198883056640625e-06
"[2, 1, 128]",[2],6.198883056640625e-06
"[128, 128, 3, 3]",[0],1.0251998901367188e-05
"[2, 1, 128]",[3],6.67572021484375e-06
"[2, 1, 128, 1]",[4],6.4373016357421875e-06
"[2, 128]",[2],6.198883056640625e-06
"[2, 128, 1]",[3],6.198883056640625e-06
"[2, 128, 1, 1]",[4],5.9604644775390625e-06
"[108, 128, 3, 3]",[0],1.049041748046875e-05
"[2, 108]",[2],6.9141387939453125e-06
"[2, 108, 1]",[3],5.9604644775390625e-06
"[2, 108, 1, 1]",[4],5.9604644775390625e-06
[108],[0],6.198883056640625e-06
"[91, 108, 3, 3]",[0],1.049041748046875e-05
"[2, 108]",[1],6.4373016357421875e-06
"[2, 1, 108]",[3],6.4373016357421875e-06
"[2, 1, 108, 1]",[4],6.4373016357421875e-06
"[2, 91]",[2],6.198883056640625e-06
"[2, 91, 1]",[3],5.9604644775390625e-06
"[2, 91, 1, 1]",[4],5.9604644775390625e-06
[91],[0],6.4373016357421875e-06
"[76, 91, 3, 3]",[0],9.298324584960938e-06
"[2, 91]",[1],6.4373016357421875e-06
"[2, 1, 91]",[3],5.7220458984375e-06
"[2, 1, 91, 1]",[4],6.4373016357421875e-06
"[2, 76]",[2],5.9604644775390625e-06
"[2, 76, 1]",[3],5.9604644775390625e-06
"[2, 76, 1, 1]",[4],5.7220458984375e-06
[76],[0],5.9604644775390625e-06
"[64, 76, 3, 3]",[0],1.0013580322265625e-05
"[2, 76]",[1],6.67572021484375e-06
"[2, 1, 76]",[3],6.198883056640625e-06
"[2, 1, 76, 1]",[4],6.198883056640625e-06
"[2, 64]",[2],6.198883056640625e-06
"[2, 64, 1]",[3],5.9604644775390625e-06
"[2, 64, 1, 1]",[4],5.9604644775390625e-06
[64],[0],5.9604644775390625e-06
"[54, 64, 3, 3]",[0],8.344650268554688e-06
"[2, 64]",[1],6.198883056640625e-06
"[2, 1, 64]",[3],5.9604644775390625e-06
"[2, 1, 64, 1]",[4],6.198883056640625e-06
"[2, 54]",[2],5.7220458984375e-06
"[2, 54, 1]",[3],5.7220458984375e-06
"[2, 54, 1, 1]",[4],5.9604644775390625e-06
[54],[0],5.9604644775390625e-06
"[45, 54, 3, 3]",[0],7.3909759521484375e-06
"[2, 54]",[1],6.198883056640625e-06
"[2, 1, 54]",[3],5.9604644775390625e-06
"[2, 1, 54, 1]",[4],5.9604644775390625e-06
"[2, 45]",[2],5.7220458984375e-06
"[2, 45, 1]",[3],5.7220458984375e-06
"[2, 45, 1, 1]",[4],5.9604644775390625e-06
[45],[0],5.7220458984375e-06
"[38, 45, 3, 3]",[0],7.3909759521484375e-06
"[2, 45]",[1],5.9604644775390625e-06
"[2, 1, 45]",[3],5.9604644775390625e-06
"[2, 1, 45, 1]",[4],5.9604644775390625e-06
"[2, 38]",[2],5.7220458984375e-06
"[2, 38, 1]",[3],5.4836273193359375e-06
"[2, 38, 1, 1]",[4],5.9604644775390625e-06
[38],[0],5.4836273193359375e-06
"[32, 38, 3, 3]",[0],7.152557373046875e-06
"[2, 38]",[1],6.4373016357421875e-06
"[2, 1, 38]",[3],6.198883056640625e-06
"[2, 1, 38, 1]",[4],6.198883056640625e-06
"[2, 32]",[2],5.7220458984375e-06
"[2, 32, 1]",[3],5.9604644775390625e-06
"[2, 32, 1, 1]",[4],5.4836273193359375e-06
[32],[0],5.7220458984375e-06
"[27, 32, 3, 3]",[0],6.198883056640625e-06
"[2, 1, 32]",[3],5.9604644775390625e-06
"[2, 1, 32, 1]",[4],5.7220458984375e-06
"[2, 27]",[2],1.430511474609375e-05
"[2, 27, 1]",[3],5.7220458984375e-06
"[2, 27, 1, 1]",[4],5.9604644775390625e-06
[27],[0],5.4836273193359375e-06
"[23, 27, 3, 3]",[0],6.4373016357421875e-06
"[2, 27]",[1],6.198883056640625e-06
"[2, 1, 27]",[3],5.9604644775390625e-06
"[2, 1, 27, 1]",[4],5.7220458984375e-06
"[2, 23]",[2],5.7220458984375e-06
"[2, 23, 1]",[3],5.9604644775390625e-06
"[2, 23, 1, 1]",[4],5.9604644775390625e-06
[23],[0],5.4836273193359375e-06
"[19, 23, 3, 3]",[0],6.4373016357421875e-06
