item_0,item_1,time_cost
"[2, 256, 1, 1]","[2, 256, -1]",0.023065567016601562
"[2, 256, 3, 3]","[2, 256, -1]",9.775161743164062e-06
"[2, 256, 6, 6]","[2, 256, -1]",9.775161743164062e-06
"[2, 256, 8, 8]","[2, 256, -1]",8.344650268554688e-06
"[1, 1]",[-1],6.67572021484375e-06
[92],"[-1, 1]",5.9604644775390625e-06
"[92, 124]",[-1],5.9604644775390625e-06
"[11408, 1, 4]","[-1, 4]",9.298324584960938e-06
[46],"[-1, 1]",6.9141387939453125e-06
"[46, 62]",[-1],6.198883056640625e-06
"[2852, 1, 4]","[-1, 4]",6.67572021484375e-06
[23],"[-1, 1]",6.198883056640625e-06
"[23, 31]",[-1],5.9604644775390625e-06
"[713, 1, 4]","[-1, 4]",6.9141387939453125e-06
[12],"[-1, 1]",6.198883056640625e-06
"[12, 16]",[-1],5.7220458984375e-06
"[192, 1, 4]","[-1, 4]",6.198883056640625e-06
[6],"[-1, 1]",5.9604644775390625e-06
"[6, 8]",[-1],5.7220458984375e-06
"[48, 1, 4]","[-1, 4]",5.7220458984375e-06
"[11408, 1]",[-1],6.198883056640625e-06
"[2852, 1]",[-1],6.198883056640625e-06
"[713, 1]",[-1],5.7220458984375e-06
"[192, 1]",[-1],5.7220458984375e-06
"[48, 1]",[-1],5.9604644775390625e-06
[15213],"[1, -1]",6.9141387939453125e-06
"[1, 15213]",[-1],6.9141387939453125e-06
"[45, 1]",[-1],6.198883056640625e-06
[45],"[-1, 1]",5.9604644775390625e-06
[45],[-1],5.4836273193359375e-06
[8349],"[1, -1]",6.4373016357421875e-06
"[3, 8349]",[-1],7.152557373046875e-06
"[45, 3]",[-1],6.198883056640625e-06
[135],"[-1, 3]",6.4373016357421875e-06
[135],[-1],5.9604644775390625e-06
[25047],"[3, -1]",6.9141387939453125e-06
[22816],"[-1, 1]",7.152557373046875e-06
[5704],"[-1, 1]",6.198883056640625e-06
[1426],"[-1, 1]",6.198883056640625e-06
[384],"[-1, 1]",6.198883056640625e-06
[96],"[-1, 1]",5.9604644775390625e-06
[128],"[-1, 1]",5.9604644775390625e-06
"[128, 96]",[-1],6.4373016357421875e-06
"[12288, 1, 4]","[-1, 4]",8.344650268554688e-06
[64],"[-1, 1]",6.67572021484375e-06
"[64, 48]",[-1],6.198883056640625e-06
"[3072, 1, 4]","[-1, 4]",6.198883056640625e-06
[32],"[-1, 1]",6.198883056640625e-06
"[32, 24]",[-1],5.7220458984375e-06
"[768, 1, 4]","[-1, 4]",6.198883056640625e-06
[16],"[-1, 1]",5.9604644775390625e-06
"[16, 12]",[-1],5.4836273193359375e-06
[8],"[-1, 1]",5.9604644775390625e-06
"[8, 6]",[-1],5.7220458984375e-06
"[12288, 1]",[-1],6.4373016357421875e-06
"[3072, 1]",[-1],5.9604644775390625e-06
"[768, 1]",[-1],5.4836273193359375e-06
[10539],"[1, -1]",5.9604644775390625e-06
"[8, 10539]",[-1],9.059906005859375e-06
