item_0,item_1,item_2,time_cost
"[2, 98, 64, 64]","[2, 98, 64, 64]","[2, 98, 64, 64]",2.7179718017578125e-05
"[2, 4, 92, 124]","[2, 4, 92, 124]","[2, 4, 92, 124]",2.288818359375e-05
"[2, 4, 46, 62]","[2, 4, 46, 62]","[2, 4, 46, 62]",2.1219253540039062e-05
"[2, 4, 23, 31]","[2, 4, 23, 31]","[2, 4, 23, 31]",1.9311904907226562e-05
"[2, 4, 12, 16]","[2, 4, 12, 16]","[2, 4, 12, 16]",1.811981201171875e-05
"[2, 4, 6, 8]","[2, 4, 6, 8]","[2, 4, 6, 8]",1.6927719116210938e-05
"[2, 4, 128, 96]","[2, 4, 128, 96]","[2, 4, 128, 96]",2.574920654296875e-05
"[2, 4, 64, 48]","[2, 4, 64, 48]","[2, 4, 64, 48]",2.0742416381835938e-05
"[2, 4, 32, 24]","[2, 4, 32, 24]","[2, 4, 32, 24]",1.8358230590820312e-05
"[2, 4, 16, 12]","[2, 4, 16, 12]","[2, 4, 16, 12]",1.7404556274414062e-05
"[2, 4, 8, 6]","[2, 4, 8, 6]","[2, 4, 8, 6]",1.6450881958007812e-05
"[2, 4, 76, 104]","[2, 4, 76, 104]","[2, 4, 76, 104]",2.1219253540039062e-05
"[2, 4, 38, 52]","[2, 4, 38, 52]","[2, 4, 38, 52]",2.0265579223632812e-05
"[2, 4, 19, 26]","[2, 4, 19, 26]","[2, 4, 19, 26]",1.8358230590820312e-05
"[2, 4, 10, 13]","[2, 4, 10, 13]","[2, 4, 10, 13]",1.7642974853515625e-05
"[2, 4, 5, 7]","[2, 4, 5, 7]","[2, 4, 5, 7]",1.6450881958007812e-05
"[2, 4, 80, 144]","[2, 4, 80, 144]","[2, 4, 80, 144]",2.1219253540039062e-05
"[2, 4, 40, 72]","[2, 4, 40, 72]","[2, 4, 40, 72]",2.0503997802734375e-05
"[2, 4, 20, 36]","[2, 4, 20, 36]","[2, 4, 20, 36]",1.8835067749023438e-05
"[2, 4, 10, 18]","[2, 4, 10, 18]","[2, 4, 10, 18]",1.7404556274414062e-05
"[2, 4, 5, 9]","[2, 4, 5, 9]","[2, 4, 5, 9]",1.621246337890625e-05
"[2, 4, 84, 112]","[2, 4, 84, 112]","[2, 4, 84, 112]",2.1219253540039062e-05
"[2, 4, 42, 56]","[2, 4, 42, 56]","[2, 4, 42, 56]",2.0265579223632812e-05
"[2, 4, 21, 28]","[2, 4, 21, 28]","[2, 4, 21, 28]",1.811981201171875e-05
"[2, 4, 11, 14]","[2, 4, 11, 14]","[2, 4, 11, 14]",1.6927719116210938e-05
"[2, 4, 6, 7]","[2, 4, 6, 7]","[2, 4, 6, 7]",1.621246337890625e-05
"[0, 3, 32, 32]","[0, 3, 32, 32]","[0, 3, 32, 32]",8.344650268554688e-06
"[19248, 4]","[19248, 4]","[19248, 4]",2.09808349609375e-05
"[64, 100]","[64, 100]","[64, 100]",1.8835067749023438e-05
