item_0,item_1,time_cost
"[3, 200, 320]","[1, 2, 0]",9.918212890625e-05
"[2, 4, 100, 140]","[0, 2, 3, 1]",3.528594970703125e-05
"[1, 80, 50, 76]","[0, 2, 3, 1]",2.9325485229492188e-05
"[1, 12, 100, 152]","[0, 2, 3, 1]",2.47955322265625e-05
"[1, 255, 7, 13]","[0, 2, 3, 1]",5.1975250244140625e-05
"[1, 4, 13, 19]","[0, 2, 3, 1]",2.3603439331054688e-05
"[1, 200, 272, 96]","[0, 3, 1, 2]",2.1457672119140625e-05
"[1, 80, 7, 9]","[0, 2, 3, 1]",2.6464462280273438e-05
"[1, 25, 38, 768]","[0, 3, 1, 2]",2.09808349609375e-05
"[1, 4, 13, 17]","[0, 2, 3, 1]",2.1219253540039062e-05
"[1, 720, 12, 21]","[0, 2, 3, 1]",2.002716064453125e-05
"[1, 12, 136, 100]","[0, 2, 3, 1]",2.002716064453125e-05
"[1, 4, 168, 96]","[0, 2, 3, 1]",1.9311904907226562e-05
"[1, 4, 76, 50]","[0, 2, 3, 1]",1.9788742065429688e-05
"[1, 255, 28, 52]","[0, 2, 3, 1]",2.002716064453125e-05
"[1, 36, 7, 9]","[0, 2, 3, 1]",1.9073486328125e-05
"[1, 15, 18, 256]","[0, 3, 1, 2]",1.8835067749023438e-05
"[49, 49, 3]","[2, 0, 1]",1.9788742065429688e-05
"[1, 80, 50, 68]","[0, 2, 3, 1]",1.9311904907226562e-05
"[2, 80, 7, 10]","[0, 2, 3, 1]",1.9550323486328125e-05
"[1, 3, 68, 50]","[0, 2, 3, 1]",1.9073486328125e-05
"[2, 1, 25, 39]","[0, 2, 3, 1]",1.9073486328125e-05
"[1, 22, 19, 256]","[0, 3, 1, 2]",1.8596649169921875e-05
"[2, 1, 25, 42]","[0, 2, 3, 1]",1.8835067749023438e-05
"[1, 720, 48, 84]","[0, 2, 3, 1]",1.8835067749023438e-05
"[4, 4, 7, 4, 7, 192]","[0, 1, 3, 2, 4, 5]",5.245208740234375e-05
"[1, 29, 7, 39, 7, 1]","[0, 1, 3, 2, 4, 5]",2.4080276489257812e-05
"[1, 720, 100, 152]","[0, 2, 3, 1]",2.09808349609375e-05
"[2, 80, 50, 68]","[0, 2, 3, 1]",2.574920654296875e-05
"[64, 49, 3, 6, 32]","[2, 0, 3, 1, 4]",2.3365020751953125e-05
"[3, 136, 100]","[1, 2, 0]",3.8623809814453125e-05
"[3, 200, 304]","[1, 2, 0]",2.0265579223632812e-05
"[1, 3, 100, 160]","[0, 2, 3, 1]",2.002716064453125e-05
"[1, 3, 25, 34]","[0, 2, 3, 1]",1.9788742065429688e-05
"[2, 32, 32, 768]","[0, 3, 1, 2]",1.9311904907226562e-05
"[1, 12, 200, 296]","[0, 2, 3, 1]",1.9788742065429688e-05
"[1, 36, 6, 11]","[0, 2, 3, 1]",2.1696090698242188e-05
"[2, 4, 13, 18]","[0, 2, 3, 1]",2.0503997802734375e-05
"[12, 25, 37]","[1, 2, 0]",1.9311904907226562e-05
"[12, 50, 76]","[1, 2, 0]",1.8596649169921875e-05
"[1, 80, 16, 16]","[0, 2, 3, 1]",1.9073486328125e-05
"[1, 1, 76, 50]","[0, 2, 3, 1]",1.8358230590820312e-05
"[12, 34, 25]","[1, 2, 0]",1.8835067749023438e-05
"[1, 4, 6, 7, 7, 768]","[0, 1, 3, 2, 4, 5]",2.2172927856445312e-05
"[1, 4, 100, 152]","[0, 2, 3, 1]",1.9550323486328125e-05
"[1, 3, 200, 272]","[0, 2, 3, 1]",1.9550323486328125e-05
"[12, 17, 13]","[1, 2, 0]",1.9311904907226562e-05
"[2, 1, 13, 17]","[0, 2, 3, 1]",1.9311904907226562e-05
"[2, 1, 50, 84]","[0, 2, 3, 1]",1.9311904907226562e-05
"[2, 1, 42, 25]","[0, 2, 3, 1]",2.1219253540039062e-05
"[1, 1, 7, 1, 7, 1]","[0, 1, 3, 2, 4, 5]",2.2172927856445312e-05
"[2, 4, 9, 7]","[0, 2, 3, 1]",4.0531158447265625e-05
"[2, 80, 21, 13]","[0, 2, 3, 1]",2.09808349609375e-05
"[1, 255, 20, 26]","[0, 2, 3, 1]",1.9311904907226562e-05
"[1, 1, 7, 9]","[0, 2, 3, 1]",2.09808349609375e-05
"[330, 49, 3, 6, 32]","[2, 0, 3, 1, 4]",4.553794860839844e-05
"[3, 100, 160]","[1, 2, 0]",2.193450927734375e-05
"[2, 80, 168, 100]","[0, 2, 3, 1]",2.0265579223632812e-05
"[1, 1, 13, 19]","[0, 2, 3, 1]",1.9073486328125e-05
"[1, 4, 50, 76]","[0, 2, 3, 1]",2.0503997802734375e-05
"[1, 36, 24, 42]","[0, 2, 3, 1]",1.9073486328125e-05
"[506, 1, 256]","[1, 2, 0]",1.8835067749023438e-05
"[1, 3, 136, 100]","[0, 2, 3, 1]",1.8835067749023438e-05
"[1, 36, 152, 100]","[0, 2, 3, 1]",1.9073486328125e-05
"[3, 17, 13]","[1, 2, 0]",3.1948089599609375e-05
"[3, 25, 38]","[1, 2, 0]",2.1219253540039062e-05
"[2, 80, 13, 19]","[0, 2, 3, 1]",1.9073486328125e-05
"[1, 12, 68, 50]","[0, 2, 3, 1]",1.9311904907226562e-05
"[1, 80, 19, 13]","[0, 2, 3, 1]",1.9073486328125e-05
"[80, 49, 3, 12, 32]","[2, 0, 3, 1, 4]",2.0265579223632812e-05
"[2, 4, 100, 168]","[0, 2, 3, 1]",1.9550323486328125e-05
"[2, 4, 25, 39]","[0, 2, 3, 1]",1.8835067749023438e-05
"[2, 80, 9, 7]","[0, 2, 3, 1]",3.838539123535156e-05
"[12, 25, 38]","[1, 2, 0]",2.5272369384765625e-05
"[1, 29, 44, 7, 7, 96]","[0, 1, 3, 2, 4, 5]",4.410743713378906e-05
"[4, 1, 7, 1, 7, 768]","[0, 1, 3, 2, 4, 5]",2.5272369384765625e-05
"[1, 720, 19, 13]","[0, 2, 3, 1]",2.0265579223632812e-05
"[1, 720, 96, 168]","[0, 2, 3, 1]",2.1457672119140625e-05
"[1, 36, 50, 68]","[0, 2, 3, 1]",1.9311904907226562e-05
"[2, 80, 38, 25]","[0, 2, 3, 1]",1.9550323486328125e-05
"[2, 1, 25, 35]","[0, 2, 3, 1]",1.9073486328125e-05
"[1, 3, 34, 25]","[0, 2, 3, 1]",1.9073486328125e-05
"[1, 255, 8, 12]","[0, 2, 3, 1]",1.8835067749023438e-05
"[1, 36, 12, 21]","[0, 2, 3, 1]",1.8835067749023438e-05
"[2, 4, 7, 10]","[0, 2, 3, 1]",1.9073486328125e-05
"[1, 29, 7, 44, 7, 1]","[0, 1, 3, 2, 4, 5]",2.09808349609375e-05
"[1, 256, 700]","[2, 0, 1]",1.9311904907226562e-05
"[1, 255, 14, 26]","[0, 2, 3, 1]",1.9073486328125e-05
"[12, 100, 152]","[1, 2, 0]",1.9073486328125e-05
"[2, 80, 100, 136]","[0, 2, 3, 1]",2.002716064453125e-05
"[2, 80, 50, 78]","[0, 2, 3, 1]",1.9311904907226562e-05
"[2, 4, 10, 7]","[0, 2, 3, 1]",1.8596649169921875e-05
"[2, 4, 100, 152]","[0, 2, 3, 1]",1.8835067749023438e-05
"[1, 50, 68, 384]","[0, 3, 1, 2]",1.9788742065429688e-05
"[2, 80, 42, 25]","[0, 2, 3, 1]",1.9550323486328125e-05
"[3, 200, 272]","[1, 2, 0]",1.8596649169921875e-05
"[1, 100, 152, 192]","[0, 3, 1, 2]",2.0265579223632812e-05
"[1, 24, 30, 256]","[0, 3, 1, 2]",1.9311904907226562e-05
"[1, 8, 10, 7, 7, 384]","[0, 1, 3, 2, 4, 5]",4.100799560546875e-05
"[1131, 49, 3, 3, 32]","[2, 0, 3, 1, 4]",2.0503997802734375e-05
"[1, 3, 17, 13]","[0, 2, 3, 1]",3.933906555175781e-05
"[1, 3, 50, 80]","[0, 2, 3, 1]",2.002716064453125e-05
"[1, 255, 48, 52]","[0, 2, 3, 1]",1.9550323486328125e-05
"[12, 68, 50]","[1, 2, 0]",1.8596649169921875e-05
"[2, 4, 25, 35]","[0, 2, 3, 1]",1.9788742065429688e-05
