item_0,item_1,time_cost
2304,256,0.0002143383026123047
128,27,0.00010585784912109375
256,10,5.507469177246094e-05
128,128,0.00122833251953125
128,3,5.7220458984375e-05
128,1,8.487701416015625e-05
4096,128,0.0001087188720703125
256,128,0.00012087821960449219
128,64,0.00041365623474121094
256,32,0.0023794174194335938
2304,3,0.0006480216979980469
128,10,0.00014472007751464844
1920,128,0.00017571449279785156
256,256,0.00011920928955078125
128,16,0.0001659393310546875
2560,128,8.296966552734375e-05
1152,128,7.295608520507812e-05
