item_0,time_cost
4,5.6743621826171875e-05
240618,0.0001049041748046875
238045,8.7738037109375e-05
117266,0.0004870891571044922
1000,5.173683166503906e-05
191227,8.893013000488281e-05
216146,8.7738037109375e-05
216793,8.916854858398438e-05
1991,4.5299530029296875e-05
240918,8.606910705566406e-05
995,4.482269287109375e-05
40090,9.846687316894531e-05
242527,9.179115295410156e-05
216779,8.7738037109375e-05
152,4.553794860839844e-05
800000,9.393692016601562e-05
999,4.57763671875e-05
1997,4.458427429199219e-05
1999,4.315376281738281e-05
255518,8.678436279296875e-05
149813,8.797645568847656e-05
216814,8.7738037109375e-05
215057,8.726119995117188e-05
586330,0.00010347366333007812
242373,8.916854858398438e-05
209762,9.059906005859375e-05
20210,8.344650268554688e-05
192141,8.940696716308594e-05
217005,8.869171142578125e-05
1172660,0.0005037784576416016
217216,9.799003601074219e-05
215585,8.916854858398438e-05
50000,8.7738037109375e-05
239030,8.821487426757812e-05
1994,4.601478576660156e-05
216771,8.606910705566406e-05
9537,7.915496826171875e-05
216459,8.726119995117188e-05
