item_0,item_1,time_cost
"[1, 3]","[22400, 1]",0.00016069412231445312
"[13600, 2]","[2, 1]",3.838539123535156e-05
[48],[84],1.2159347534179688e-05
"[100, 1]","[1, 136]",1.9550323486328125e-05
"[780, 1]","[1, 1]",8.106231689453125e-06
"[9, 1]","[1, 7]",7.152557373046875e-06
"[17, 1]","[1, 13]",7.3909759521484375e-06
"[3, 1]","[1, 3]",6.67572021484375e-06
"[11400, 1]","[1, 1]",1.239776611328125e-05
[],[1152],7.152557373046875e-06
[7],[9],6.198883056640625e-06
"[63, 2]","[2, 1]",6.9141387939453125e-06
[24],[16],6.67572021484375e-06
[304],[200],1.8358230590820312e-05
"[20, 1]","[1, 26]",7.152557373046875e-06
"[44400, 1]","[1, 1]",2.2172927856445312e-05
"[10, 1]","[1, 10]",6.67572021484375e-06
"[40, 1]","[1, 52]",7.3909759521484375e-06
[],[4368],7.62939453125e-06
[152],[100],1.049041748046875e-05
"[11100, 1]","[1, 1]",1.0967254638671875e-05
[68],[50],6.9141387939453125e-06
"[27, 4]","[1, 1]",6.4373016357421875e-06
"[850, 2]","[2, 1]",7.62939453125e-06
"[1, 10]","[20267, 1]",0.00024080276489257812
"[25, 1]","[1, 34]",7.62939453125e-06
"[260, 2]","[2, 1]",7.152557373046875e-06
[1],[1],6.198883056640625e-06
"[8, 1]","[1, 12]",6.67572021484375e-06
"[136, 1]","[1, 100]",1.049041748046875e-05
"[1, 4]","[18134, 1]",4.649162292480469e-05
[],[6240],8.106231689453125e-06
"[1, 12]","[20805, 1]",0.0002048015594482422
"[100, 1, 256]","[1, 1, 1]",2.86102294921875e-05
"[45600, 1]","[1, 1]",7.486343383789062e-05
[38],[25],7.3909759521484375e-06
"[13, 1]","[1, 20]",7.152557373046875e-06
"[70, 2]","[2, 1]",7.62939453125e-06
"[3, 4]","[1, 1]",6.4373016357421875e-06
"[875, 2]","[2, 1]",9.775161743164062e-06
[5],[5],6.4373016357421875e-06
"[50, 1]","[1, 74]",7.3909759521484375e-06
"[13, 1]","[1, 17]",7.152557373046875e-06
"[1, 2]","[20267, 1]",6.437301635742188e-05
[10],[7],6.4373016357421875e-06
[],[7488],9.059906005859375e-06
[11],[6],6.4373016357421875e-06
[],[288],6.67572021484375e-06
[200],[272],1.52587890625e-05
[],[273],5.9604644775390625e-06
"[16, 1]","[1, 24]",7.152557373046875e-06
"[1, 2]","[20805, 1]",6.508827209472656e-05
[42],[24],6.198883056640625e-06
"[3500, 2]","[2, 1]",1.2636184692382812e-05
[12],[21],6.198883056640625e-06
"[76, 1]","[1, 50]",7.62939453125e-06
"[975, 2]","[2, 1]",8.344650268554688e-06
"[1, 11]","[20267, 1]",4.0531158447265625e-05
"[1, 1]","[20267, 1]",1.2636184692382812e-05
"[163200, 1]","[1, 1]",4.482269287109375e-05
[296],[200],1.6689300537109375e-05
"[2550, 1]","[1, 1]",7.62939453125e-06
"[34, 1]","[1, 25]",7.152557373046875e-06
"[14000, 2]","[2, 1]",2.8371810913085938e-05
"[68, 1]","[1, 50]",7.62939453125e-06
"[3900, 2]","[2, 1]",1.4781951904296875e-05
[17],[13],6.4373016357421875e-06
"[50, 1]","[1, 68]",7.152557373046875e-06
"[10200, 1]","[1, 1]",1.0967254638671875e-05
"[50, 1]","[1, 80]",7.152557373046875e-06
"[182400, 1]","[1, 1]",4.315376281738281e-05
"[19, 1]","[1, 13]",8.58306884765625e-06
"[12, 1]","[1, 21]",6.67572021484375e-06
"[25, 1]","[1, 37]",7.152557373046875e-06
"[1, 9]","[18134, 1]",3.123283386230469e-05
[13],[10],6.4373016357421875e-06
"[19, 1]","[1, 19]",6.4373016357421875e-06
"[663, 1]","[1, 1]",6.4373016357421875e-06
"[40800, 1]","[1, 1]",2.4080276489257812e-05
[74],[50],7.152557373046875e-06
[25],[38],6.4373016357421875e-06
"[200, 1]","[1, 304]",1.5735626220703125e-05
"[512, 4]","[1, 1]",7.62939453125e-06
[84],[48],6.9141387939453125e-06
[40],[25],5.9604644775390625e-06
[136],[100],9.5367431640625e-06
"[1, 25]","[18134, 1]",0.0004684925079345703
"[14, 1]","[1, 26]",1.0728836059570312e-05
"[3000, 1]","[1, 1]",9.5367431640625e-06
"[950, 2]","[2, 1]",8.106231689453125e-06
[13],[12],6.4373016357421875e-06
"[192000, 1]","[1, 1]",5.650520324707031e-05
"[741, 1]","[1, 1]",7.62939453125e-06
"[7, 4]","[1, 1]",6.198883056640625e-06
[19],[19],6.9141387939453125e-06
"[25, 1]","[1, 40]",6.67572021484375e-06
[24],[42],6.4373016357421875e-06
"[1, 5]","[22400, 1]",4.6253204345703125e-05
"[15200, 2]","[2, 1]",2.3603439331054688e-05
"[24, 1]","[1, 42]",6.9141387939453125e-06
[],[4608],7.152557373046875e-06
"[11, 1]","[1, 6]",6.67572021484375e-06
"[200, 1]","[1, 296]",1.2636184692382812e-05
"[16800, 2]","[2, 1]",2.5510787963867188e-05
"[1, 7]","[20267, 1]",4.887580871582031e-05
"[221, 2]","[2, 1]",6.67572021484375e-06
"[1, 1]","[18672, 1]",1.1682510375976562e-05
[26],[20],6.4373016357421875e-06
"[1, 9]","[22400, 1]",3.981590270996094e-05
[80],[50],7.152557373046875e-06
[160],[100],8.58306884765625e-06
"[1, 42]","[20267, 1]",0.0008511543273925781
[10],[10],1.1920928955078125e-05
"[67, 4]","[1, 1]",9.775161743164062e-06
[],[390],6.9141387939453125e-06
"[2850, 1]","[1, 1]",8.58306884765625e-06
"[1, 4]","[100, 1]",7.62939453125e-06
"[7, 1]","[1, 10]",6.67572021484375e-06
[52],[40],6.9141387939453125e-06
"[9, 4]","[1, 1]",6.198883056640625e-06
[],[1560],5.9604644775390625e-06
[13],[17],6.198883056640625e-06
"[200, 1]","[1, 320]",3.0994415283203125e-05
[320],[200],1.1682510375976562e-05
[50],[68],6.9141387939453125e-06
"[152, 1]","[1, 100]",1.1205673217773438e-05
"[96, 1]","[1, 168]",8.821487426757812e-06
"[1, 13]","[22400, 1]",6.580352783203125e-05
"[85, 4]","[1, 1]",7.3909759521484375e-06
"[7, 1]","[1, 13]",6.4373016357421875e-06
"[1, 23]","[20267, 1]",7.128715515136719e-05
"[1, 5]","[18672, 1]",5.3882598876953125e-05
"[100, 1]","[1, 152]",1.049041748046875e-05
[52],[28],6.198883056640625e-06
"[8663, 4]","[1, 1]",2.5033950805664062e-05
"[77, 2]","[2, 1]",6.67572021484375e-06
[100],[136],8.821487426757812e-06
"[8, 4]","[1, 1]",6.198883056640625e-06
[3],[3],5.7220458984375e-06
"[48, 1]","[1, 52]",7.152557373046875e-06
"[10, 1]","[1, 7]",6.67572021484375e-06
"[21, 1]","[1, 12]",6.67572021484375e-06
[25],[34],6.67572021484375e-06
"[6, 1]","[1, 11]",6.67572021484375e-06
[48],[32],6.67572021484375e-06
[50],[76],6.9141387939453125e-06
[6],[11],6.198883056640625e-06
"[25, 1]","[1, 38]",7.152557373046875e-06
"[12, 1]","[1, 13]",6.67572021484375e-06
"[272, 1]","[1, 200]",1.5974044799804688e-05
[12],[8],6.198883056640625e-06
[7],[10],5.9604644775390625e-06
"[100, 1]","[1, 148]",9.059906005859375e-06
"[12000, 1]","[1, 1]",1.2636184692382812e-05
"[3800, 2]","[2, 1]",1.239776611328125e-05
[38],[38],6.4373016357421875e-06
[],[468],6.198883056640625e-06
"[100, 1]","[1, 160]",8.821487426757812e-06
"[50, 1]","[1, 76]",7.152557373046875e-06
"[32, 1]","[1, 48]",6.67572021484375e-06
"[84, 1]","[1, 48]",7.152557373046875e-06
"[1, 1]","[1, 1]",6.67572021484375e-06
[26],[14],6.4373016357421875e-06
"[10, 1]","[1, 13]",9.298324584960938e-06
"[1, 8]","[22400, 1]",3.790855407714844e-05
"[13, 1]","[1, 19]",6.67572021484375e-06
"[38, 1]","[1, 38]",6.9141387939453125e-06
[96],[168],9.298324584960938e-06
[13],[7],6.198883056640625e-06
[148],[100],8.344650268554688e-06
"[247, 2]","[2, 1]",6.9141387939453125e-06
"[177600, 1]","[1, 1]",3.814697265625e-05
"[234, 2]","[2, 1]",8.821487426757812e-06
[26],[24],6.67572021484375e-06
[100],[152],1.0013580322265625e-05
"[1, 4]","[20267, 1]",4.935264587402344e-05
"[28, 1]","[1, 52]",7.152557373046875e-06
"[200, 1]","[1, 272]",1.239776611328125e-05
"[1, 3]","[18134, 1]",5.745887756347656e-05
[52],[48],6.67572021484375e-06
[],[1872],6.4373016357421875e-06
[19],[13],6.4373016357421875e-06
"[168, 1]","[1, 96]",9.298324584960938e-06
"[1, 6]","[18134, 1]",4.029273986816406e-05
"[38, 1]","[1, 25]",6.67572021484375e-06
"[24, 1]","[1, 26]",6.67572021484375e-06
"[1, 15]","[18134, 1]",5.626678466796875e-05
[34],[25],6.9141387939453125e-06
"[4200, 2]","[2, 1]",1.33514404296875e-05
"[273, 2]","[2, 1]",6.9141387939453125e-06
[9],[7],5.9604644775390625e-06
"[8780, 4]","[1, 1]",2.3126602172851562e-05
[13],[19],6.4373016357421875e-06
"[7, 1]","[1, 9]",6.9141387939453125e-06
"[1, 12]","[22400, 1]",4.792213439941406e-05
"[1050, 2]","[2, 1]",8.58306884765625e-06
[76],[50],6.9141387939453125e-06
"[1, 2]","[22400, 1]",7.295608520507812e-05
[168],[96],1.0251998901367188e-05
"[48, 1]","[1, 84]",7.3909759521484375e-06
"[1, 1]","[18134, 1]",9.059906005859375e-06
[21],[12],6.4373016357421875e-06
[20],[13],6.198883056640625e-06
"[48000, 1]","[1, 1]",1.9550323486328125e-05
"[8741, 4]","[1, 1]",1.8596649169921875e-05
[37],[25],6.4373016357421875e-06
"[42, 1]","[1, 24]",6.9141387939453125e-06
"[5, 1]","[1, 5]",6.67572021484375e-06
[],[1092],6.67572021484375e-06
[272],[200],1.5497207641601562e-05
"[15600, 2]","[2, 1]",2.765655517578125e-05
"[1, 2]","[18134, 1]",5.7697296142578125e-05
"[2775, 1]","[1, 1]",7.867813110351562e-06
"[3400, 2]","[2, 1]",1.4781951904296875e-05
"[1, 3]","[20267, 1]",6.508827209472656e-05
"[1, 1]","[22400, 1]",1.1205673217773438e-05
