item_0,item_1,item_2,time_cost
"[32, 31, 240]",-1,3,0.00035500526428222656
"[88, 12, 49, 49]",-1,5,0.007615327835083008
"[8, 100, 624]",-1,3,0.0005929470062255859
"[8, 100, 506]",-1,3,0.0004975795745849609
"[1276, 3, 49, 49]",-1,5,0.0312192440032959
"[1131, 3, 49, 49]",-1,5,0.027580738067626953
"[8, 270, 270]",-1,3,0.0007882118225097656
"[24, 1025, 1025]",-1,3,0.07560491561889648
"[8, 100, 100]",-1,3,0.00028443336486816406
"[80, 12, 49, 49]",-1,5,0.005477190017700195
"[8, 100, 660]",-1,3,0.0009911060333251953
"[256, 3, 49, 49]",-1,5,0.004379749298095703
"[8, 100, 700]",-1,3,0.0010323524475097656
"[8, 720, 720]",-1,3,0.009729385375976562
"[8, 660, 660]",-1,3,0.006387948989868164
"[8, 100, 525]",-1,3,0.0010924339294433594
"[64, 6, 49, 49]",-1,5,0.002194643020629883
"[8, 525, 525]",-1,3,0.0026350021362304688
"[330, 6, 49, 49]",-1,5,0.01618170738220215
"[4, 24, 49, 49]",-1,5,0.0007634162902832031
"[8, 624, 624]",-1,3,0.003534078598022461
"[300, 6, 49, 49]",-1,5,0.014419317245483398
"[20, 24, 49, 49]",-1,5,0.002753019332885742
"[8, 506, 506]",-1,3,0.002425670623779297
"[8, 100, 720]",-1,3,0.0010426044464111328
"[8, 100, 270]",-1,3,0.0004367828369140625
"[8, 420, 420]",-1,3,0.002567291259765625
"[8, 100, 418]",-1,3,0.0008394718170166016
"[8, 100, 420]",-1,3,0.0006306171417236328
"[8, 700, 700]",-1,3,0.004467487335205078
"[16, 12, 49, 49]",-1,5,0.0011031627655029297
"[24, 24, 49, 49]",-1,5,0.0032727718353271484
"[8, 418, 418]",-1,3,0.002603292465209961
