item_0,item_1,item_2,time_cost
"[2, 71]",[71],"[182403, 80]",2.013603448867798
"[2, 57]",[57],"[182403, 80]",0.006882667541503906
"[2, 11]","[11, 163206]",[],0.004058122634887695
"[2, 3072]",[3072],"[192, 192]",0.0030672550201416016
"[2, 6]",[6],"[182403, 80]",0.0030493736267089844
"[2, 11]","[11, 182403]",[],0.003648519515991211
"[2, 12]","[12, 182403]",[],0.0034990310668945312
"[2, 9]",[9],"[182403, 80]",0.0030100345611572266
"[2, 45]",[45],"[163206, 80]",0.003039836883544922
"[2, 65]",[65],"[163206, 80]",0.003040790557861328
"[3, 3072]",[3072],"[1, 48, 48]",0.0038552284240722656
"[2, 12]",[12],"[182403, 80]",0.003070831298828125
"[2, 7]","[7, 163206]",[],0.003160238265991211
"[2, 3072]",[3072],"[768, 768]",0.0029883384704589844
"[2, 42]",[42],"[163206, 80]",0.003085613250732422
"[2, 3072]",[3072],"[3072, 768]",0.003317594528198242
"[2, 5]","[5, 182403]",[],0.003087282180786133
"[2, 6]","[6, 163206]",[],0.003112316131591797
"[2, 5]","[5, 163206]",[],0.0031774044036865234
"[2, 31]",[31],"[163206, 80]",0.00305938720703125
"[2, 1]","[1, 182403]",[],0.0031158924102783203
"[2, 3072]",[3072],"[192, 48]",0.003023862838745117
"[2, 3072]",[3072],"[768, 192]",0.003064870834350586
"[2, 70]",[70],"[182403, 80]",0.003070354461669922
