item_0,item_1,item_2,time_cost
"[2, 71]",[71],"[182403, 80]",0.0014188289642333984
"[2, 57]",[57],"[182403, 80]",0.0005381107330322266
"[2, 11]","[11, 163206]",[],0.0005273818969726562
"[2, 3072]",[3072],"[192, 192]",0.0005030632019042969
"[2, 6]",[6],"[182403, 80]",0.0004343986511230469
"[2, 11]","[11, 182403]",[],0.0004813671112060547
"[2, 12]","[12, 182403]",[],0.0005083084106445312
"[2, 9]",[9],"[182403, 80]",0.00044226646423339844
"[2, 45]",[45],"[163206, 80]",0.0004444122314453125
"[2, 65]",[65],"[163206, 80]",0.0004432201385498047
"[3, 3072]",[3072],"[1, 48, 48]",0.0004990100860595703
"[2, 12]",[12],"[182403, 80]",0.00044345855712890625
"[2, 7]","[7, 163206]",[],0.0004937648773193359
"[2, 3072]",[3072],"[768, 768]",0.0004794597625732422
"[2, 42]",[42],"[163206, 80]",0.00044417381286621094
"[2, 3072]",[3072],"[3072, 768]",0.0004687309265136719
"[2, 5]","[5, 182403]",[],0.0004951953887939453
"[2, 6]","[6, 163206]",[],0.0005025863647460938
"[2, 5]","[5, 163206]",[],0.0004928112030029297
"[2, 31]",[31],"[163206, 80]",0.0004355907440185547
"[2, 1]","[1, 182403]",[],0.00048422813415527344
"[2, 3072]",[3072],"[192, 48]",0.0005018711090087891
"[2, 3072]",[3072],"[768, 192]",0.00046634674072265625
"[2, 70]",[70],"[182403, 80]",0.00043582916259765625
