item_0,time_cost
"[64, 1, 3, 3]",1.2159347534179688e-05
"[64, 1, 3, 3]",3.5762786865234375e-06
[64],2.384185791015625e-06
[64],2.1457672119140625e-06
"[128, 64, 3, 3]",4.00543212890625e-05
"[128, 64, 3, 3]",4.553794860839844e-05
[128],3.5762786865234375e-06
[128],2.384185791015625e-06
"[256, 128, 3, 3]",0.0001285076141357422
"[256, 128, 3, 3]",0.0001125335693359375
[256],3.0994415283203125e-06
[256],2.6226043701171875e-06
"[256, 256, 3, 3]",0.0002899169921875
"[256, 256, 3, 3]",0.00025725364685058594
"[512, 256, 3, 3]",0.0005326271057128906
"[512, 256, 3, 3]",0.0005335807800292969
[512],3.0994415283203125e-06
[512],2.6226043701171875e-06
"[512, 512, 3, 3]",0.0010669231414794922
"[512, 512, 3, 3]",0.0010592937469482422
"[512, 512, 2, 2]",0.00048613548278808594
"[512, 512, 2, 2]",0.0004763603210449219
"[1024, 512]",0.0002300739288330078
"[1024, 512]",0.0002467632293701172
"[1024, 256]",0.00014972686767578125
"[1024, 256]",0.0001289844512939453
[1024],5.7220458984375e-06
[1024],4.291534423828125e-06
"[256, 512]",8.249282836914062e-05
"[256, 512]",6.651878356933594e-05
"[38, 512]",1.7881393432617188e-05
"[38, 512]",1.621246337890625e-05
[38],3.814697265625e-06
[38],2.86102294921875e-06
