item_0,time_cost
[3],2.6941299438476562e-05
[3],4.76837158203125e-06
[512],6.4373016357421875e-06
[512],3.337860107421875e-06
[14],3.0994415283203125e-06
[14],2.86102294921875e-06
"[96, 3, 4, 4]",1.3113021850585938e-05
"[96, 3, 4, 4]",5.4836273193359375e-06
[96],2.86102294921875e-06
[96],3.0994415283203125e-06
"[169, 3]",3.5762786865234375e-06
"[169, 3]",3.814697265625e-06
"[288, 96]",4.792213439941406e-05
"[288, 96]",2.002716064453125e-05
[288],4.0531158447265625e-06
[288],3.337860107421875e-06
"[96, 96]",7.867813110351562e-06
"[96, 96]",8.344650268554688e-06
"[384, 96]",3.3855438232421875e-05
"[384, 96]",2.47955322265625e-05
[384],4.76837158203125e-06
[384],3.0994415283203125e-06
"[96, 384]",2.4318695068359375e-05
"[96, 384]",2.4080276489257812e-05
"[192, 384]",8.797645568847656e-05
"[192, 384]",4.839897155761719e-05
[192],4.5299530029296875e-06
[192],3.0994415283203125e-06
"[169, 6]",4.0531158447265625e-06
"[169, 6]",3.5762786865234375e-06
"[576, 192]",0.00013756752014160156
"[576, 192]",4.57763671875e-05
[576],4.5299530029296875e-06
[576],2.86102294921875e-06
"[192, 192]",2.1457672119140625e-05
"[192, 192]",2.5510787963867188e-05
"[768, 192]",0.000270843505859375
"[768, 192]",4.887580871582031e-05
[768],4.5299530029296875e-06
[768],3.337860107421875e-06
"[192, 768]",4.4345855712890625e-05
"[192, 768]",4.4345855712890625e-05
"[384, 768]",0.00017023086547851562
"[384, 768]",0.00011181831359863281
"[169, 12]",6.198883056640625e-06
"[169, 12]",4.291534423828125e-06
"[1152, 384]",0.000247955322265625
"[1152, 384]",0.00013399124145507812
[1152],5.0067901611328125e-06
[1152],3.814697265625e-06
"[384, 384]",5.650520324707031e-05
"[384, 384]",6.318092346191406e-05
"[1536, 384]",0.0003116130828857422
"[1536, 384]",0.0001704692840576172
[1536],5.245208740234375e-06
[1536],4.0531158447265625e-06
"[384, 1536]",0.00013947486877441406
"[384, 1536]",0.00013899803161621094
"[768, 1536]",0.0004286766052246094
"[768, 1536]",0.00042366981506347656
"[169, 24]",7.867813110351562e-06
"[169, 24]",5.4836273193359375e-06
"[2304, 768]",0.0007040500640869141
"[2304, 768]",0.0007140636444091797
[2304],6.9141387939453125e-06
[2304],4.5299530029296875e-06
"[768, 768]",0.00018143653869628906
"[768, 768]",0.000164031982421875
"[3072, 768]",0.0010895729064941406
"[3072, 768]",0.0011110305786132812
[3072],1.0013580322265625e-05
[3072],4.76837158203125e-06
"[768, 3072]",0.0011010169982910156
"[768, 3072]",0.0011148452758789062
"[256, 96, 1, 1]",2.384185791015625e-05
"[256, 96, 1, 1]",1.7881393432617188e-05
[256],4.5299530029296875e-06
[256],3.337860107421875e-06
"[256, 192, 1, 1]",3.0517578125e-05
"[256, 192, 1, 1]",3.4332275390625e-05
"[256, 384, 1, 1]",7.534027099609375e-05
"[256, 384, 1, 1]",5.221366882324219e-05
"[256, 768, 1, 1]",0.00012564659118652344
"[256, 768, 1, 1]",6.270408630371094e-05
"[256, 256, 3, 3]",0.00027298927307128906
"[256, 256, 3, 3]",0.00014925003051757812
"[3, 256, 1, 1]",5.0067901611328125e-06
"[3, 256, 1, 1]",3.814697265625e-06
"[12, 256, 1, 1]",5.7220458984375e-06
"[12, 256, 1, 1]",4.5299530029296875e-06
[12],3.0994415283203125e-06
[12],3.337860107421875e-06
"[81, 1024]",4.792213439941406e-05
"[81, 1024]",4.220008850097656e-05
[81],3.814697265625e-06
[81],2.6226043701171875e-06
"[320, 1024]",0.00018930435180664062
"[320, 1024]",8.678436279296875e-05
[320],4.291534423828125e-06
[320],3.337860107421875e-06
