item_0,item_1,time_cost
"[32, 1]",1,2.765655517578125e-05
"[32, 28, 28]",1,4.5299530029296875e-06
"[512, 1]",[],8.344650268554688e-06
"[507, 1]",1,3.5762786865234375e-06
"[33, 1]",1,3.5762786865234375e-06
"[1, 1, 30, 22]",1,3.814697265625e-06
"[11, 1]",1,3.814697265625e-06
"[8, 1]",1,3.337860107421875e-06
"[1, 1, 22, 23]",1,3.337860107421875e-06
"[8168, 1]",-1,3.5762786865234375e-06
"[400, 1]",1,3.5762786865234375e-06
"[7, 1]",-1,3.0994415283203125e-06
"[93, 1]",-1,3.0994415283203125e-06
"[8704, 1]",-1,3.337860107421875e-06
"[240918, 1]",1,3.337860107421875e-06
"[162411, 1]",-1,3.337860107421875e-06
"[163129, 1]",-1,3.0994415283203125e-06
"[192141, 1]",1,3.5762786865234375e-06
"[6, 1]",1,3.5762786865234375e-06
"[15, 1]",1,3.5762786865234375e-06
"[24, 1]",1,3.337860107421875e-06
"[32, 512, 1, 40]",2,3.337860107421875e-06
"[999, 1]",1,2.86102294921875e-06
"[1, 1]",[],3.5762786865234375e-06
[16],-1,3.337860107421875e-06
"[3, 1]",[],3.337860107421875e-06
"[25, 1]",-1,3.337860107421875e-06
"[22, 1]",1,3.337860107421875e-06
"[28, 1]",-1,3.0994415283203125e-06
"[101, 1]",-1,2.86102294921875e-06
"[32, 1, 28, 28]",1,3.337860107421875e-06
"[216814, 1]",1,3.337860107421875e-06
"[0, 1]",[],3.337860107421875e-06
"[4, 1]",1,3.5762786865234375e-06
"[3, 1]",-1,3.337860107421875e-06
"[19, 1]",1,3.0994415283203125e-06
"[1, 1, 26, 24]",1,3.0994415283203125e-06
"[26, 1]",1,3.0994415283203125e-06
"[16, 1, 2048, 1, 1]",1,3.814697265625e-06
"[4, 1, 28, 28]",1,3.337860107421875e-06
"[46, 1]",1,3.0994415283203125e-06
"[255518, 1]",1,3.337860107421875e-06
"[20259, 1]",-1,3.337860107421875e-06
"[18, 1]",-1,3.337860107421875e-06
"[42, 1]",1,3.0994415283203125e-06
"[489, 1]",1,3.337860107421875e-06
"[85, 1]",1,3.337860107421875e-06
"[33, 1, 28, 28]",1,3.0994415283203125e-06
"[54, 1]",[],3.5762786865234375e-06
"[1, 1, 24, 30]",1,3.337860107421875e-06
"[269, 1]",[],3.337860107421875e-06
"[2, 1, 28, 28]",1,3.814697265625e-06
"[396, 1]",1,3.0994415283203125e-06
"[3, 1]",1,3.5762786865234375e-06
"[1, 1, 15, 18]",1,3.337860107421875e-06
"[5, 1, 28, 28]",1,3.337860107421875e-06
"[496, 1]",1,3.337860107421875e-06
"[182208, 1]",-1,3.337860107421875e-06
"[18, 1, 28, 28]",1,3.337860107421875e-06
"[1, 1, 21, 20]",1,3.337860107421875e-06
"[6040, 1]",-1,3.337860107421875e-06
"[488, 1]",1,3.337860107421875e-06
"[8713, 1]",-1,3.0994415283203125e-06
"[21389, 1]",-1,3.337860107421875e-06
"[238045, 1]",1,3.337860107421875e-06
"[2, 1, 128, 128]",1,3.337860107421875e-06
"[269, 1]",-1,3.337860107421875e-06
"[217005, 1]",1,3.0994415283203125e-06
"[18, 1]",[],5.245208740234375e-06
"[13, 1]",1,3.337860107421875e-06
"[215585, 1]",1,3.337860107421875e-06
"[217216, 1]",1,3.337860107421875e-06
"[6, 1, 28, 28]",1,3.337860107421875e-06
"[6, 1]",[],3.337860107421875e-06
"[54, 1]",-1,3.337860107421875e-06
"[242373, 1]",1,3.337860107421875e-06
"[9, 1]",[],3.337860107421875e-06
"[29, 1]",1,3.337860107421875e-06
"[216146, 1]",1,3.337860107421875e-06
"[28, 1]",[],3.337860107421875e-06
"[10, 1]",1,3.337860107421875e-06
"[497, 1]",1,3.337860107421875e-06
"[55, 1]",1,3.337860107421875e-06
"[469, 1]",1,3.0994415283203125e-06
"[47, 1]",[],3.337860107421875e-06
"[239030, 1]",1,3.337860107421875e-06
"[2, 1]",-1,3.337860107421875e-06
"[8685, 1]",-1,3.337860107421875e-06
"[84, 1]",-1,3.337860107421875e-06
"[33, 1]",[],3.337860107421875e-06
"[67, 1]",1,3.0994415283203125e-06
"[99, 1]",-1,3.337860107421875e-06
"[101, 1]",[],3.337860107421875e-06
"[240618, 1]",1,3.337860107421875e-06
"[511, 1]",1,3.337860107421875e-06
"[4, 28, 28]",1,3.337860107421875e-06
"[20, 1]",1,3.337860107421875e-06
"[5, 28, 28]",1,3.337860107421875e-06
"[152, 1]",1,3.0994415283203125e-06
"[83, 1]",1,3.337860107421875e-06
"[5, 1]",1,3.337860107421875e-06
"[1, 1, 21, 25]",1,3.337860107421875e-06
"[504, 1]",1,3.337860107421875e-06
"[68, 1]",1,3.337860107421875e-06
"[98, 1]",-1,3.0994415283203125e-06
"[8730, 1]",-1,3.337860107421875e-06
"[1, 1, 22, 19]",1,3.337860107421875e-06
"[499, 1]",1,3.337860107421875e-06
"[423, 1]",1,3.0994415283203125e-06
"[502, 1]",1,3.0994415283203125e-06
"[110, 1]",1,3.0994415283203125e-06
"[32, 512, 1, 26]",2,3.337860107421875e-06
"[14, 1]",1,3.337860107421875e-06
"[2, 1, 512, 512]",1,3.0994415283203125e-06
"[457, 1]",1,3.337860107421875e-06
"[216793, 1]",1,3.337860107421875e-06
"[70, 1]",-1,3.337860107421875e-06
"[41, 1]",1,3.5762786865234375e-06
"[362, 1]",1,5.245208740234375e-06
"[1991, 1]",1,3.337860107421875e-06
"[1, 1, 18, 15]",1,3.337860107421875e-06
"[142, 1]",[],3.337860107421875e-06
"[142, 1]",-1,3.5762786865234375e-06
"[1, 1]",-1,3.337860107421875e-06
"[384, 1]",1,3.0994415283203125e-06
"[18, 28, 28]",1,3.5762786865234375e-06
"[242527, 1]",1,3.337860107421875e-06
"[8, 1]",-1,3.0994415283203125e-06
"[7, 1]",1,3.337860107421875e-06
"[21, 1]",[],3.337860107421875e-06
"[209762, 1]",1,3.337860107421875e-06
"[182163, 1]",-1,3.337860107421875e-06
"[28, 1]",1,3.337860107421875e-06
"[27, 1]",[],3.337860107421875e-06
"[8714, 1]",-1,3.0994415283203125e-06
"[498, 1]",1,3.337860107421875e-06
"[20246, 1]",-1,3.5762786865234375e-06
"[25, 1]",[],9.059906005859375e-06
"[14, 28, 28]",1,3.337860107421875e-06
"[33, 28, 28]",1,3.0994415283203125e-06
"[9, 1]",-1,3.337860107421875e-06
"[8678, 1]",-1,3.337860107421875e-06
"[75, 1]",1,3.337860107421875e-06
"[70, 1]",[],3.337860107421875e-06
"[99, 1]",1,3.5762786865234375e-06
"[21, 1]",-1,3.337860107421875e-06
"[1000, 1]",1,3.0994415283203125e-06
"[97, 1]",[],3.0994415283203125e-06
"[392, 1]",1,3.337860107421875e-06
"[12, 1]",1,3.337860107421875e-06
"[5, 1]",[],3.337860107421875e-06
"[1, 1]",1,3.337860107421875e-06
"[191227, 1]",1,3.337860107421875e-06
"[491, 1]",1,3.5762786865234375e-06
"[6, 28, 28]",1,3.337860107421875e-06
"[2, 1]",1,3.5762786865234375e-06
"[0, 1]",1,3.337860107421875e-06
"[8705, 1]",-1,3.0994415283203125e-06
"[48, 1]",1,3.337860107421875e-06
"[1994, 1]",1,3.337860107421875e-06
"[27, 1]",-1,3.337860107421875e-06
"[69, 1]",1,3.337860107421875e-06
"[5, 1]",-1,3.337860107421875e-06
"[2, 1]",[],3.0994415283203125e-06
"[1, 1, 25, 28]",1,3.5762786865234375e-06
"[32, 1, 3072]",1,3.337860107421875e-06
"[216779, 1]",1,3.337860107421875e-06
"[510, 1]",1,3.337860107421875e-06
"[33, 1]",-1,5.245208740234375e-06
"[19, 1]",-1,3.0994415283203125e-06
"[1999, 1]",1,3.0994415283203125e-06
"[995, 1]",1,3.0994415283203125e-06
"[123, 1]",1,3.337860107421875e-06
"[508, 1]",1,3.337860107421875e-06
"[9827, 1]",-1,3.337860107421875e-06
"[27, 1]",1,3.337860107421875e-06
"[433, 1]",1,3.0994415283203125e-06
"[9, 1]",1,3.814697265625e-06
"[97, 1]",-1,3.337860107421875e-06
"[215057, 1]",1,3.337860107421875e-06
"[18, 1]",1,3.0994415283203125e-06
"[192938, 1]",-1,3.0994415283203125e-06
"[30, 1]",1,3.337860107421875e-06
"[16, 1]",[],3.337860107421875e-06
"[117, 1]",1,3.0994415283203125e-06
"[19, 1]",[],3.337860107421875e-06
"[47, 1]",-1,3.337860107421875e-06
"[23, 1]",1,3.5762786865234375e-06
"[128, 1]",1,3.0994415283203125e-06
"[16, 1]",-1,3.337860107421875e-06
"[20166, 1]",-1,3.0994415283203125e-06
"[1997, 1]",1,3.337860107421875e-06
"[6, 1]",-1,3.337860107421875e-06
"[216459, 1]",1,3.0994415283203125e-06
"[503, 1]",1,3.337860107421875e-06
"[216771, 1]",1,3.337860107421875e-06
"[2, 28, 28]",1,3.337860107421875e-06
"[8, 1]",[],3.337860107421875e-06
"[5730, 1]",-1,3.337860107421875e-06
"[8174, 1]",-1,2.86102294921875e-06
"[16, 1]",1,3.337860107421875e-06
"[14, 1, 28, 28]",1,3.337860107421875e-06
"[18125, 1]",-1,3.337860107421875e-06
"[8707, 1]",-1,3.337860107421875e-06
