item_0,item_1,time_cost
"[1, 8, 100, 720]",[],0.0008366107940673828
"[2223, 80]",[],0.0007395744323730469
"[2, 800]",[],0.00037169456481933594
"[32, 31, 512, 6, 40]","[3, 4]",0.0003979206085205078
"[8, 4]",[],0.0005843639373779297
"[136800, 80]",[],0.0004458427429199219
[186087],[0],0.0003733634948730469
[470842],[0],0.0003161430358886719
"[741, 1]",[],0.0002460479736328125
"[252, 4]",[],0.00023865699768066406
"[2550, 4]",[],0.0004978179931640625
[523127],[0],0.0003170967102050781
[468088],[0],0.0003476142883300781
[760],[],0.00028395652770996094
[512784],[0],0.00034737586975097656
[14601],[],0.00023293495178222656
"[1, 800, 1088]",[],0.000324249267578125
"[16, 2, 128, 128]",[],0.0002753734588623047
"[70, 4]",[],0.0002791881561279297
[424566],[0],0.00033092498779296875
"[850, 4]",[],0.0002307891845703125
[247287],[0],0.0002772808074951172
[329],[],0.0002753734588623047
"[11400, 4]",[],0.000225067138671875
"[1, 8, 100, 420]",[],0.000274658203125
"[5, 80]",[1],0.0002827644348144531
"[594, 80]",[],0.00023365020751953125
"[2, 832]",[],0.0004527568817138672
[402519],[0],0.0003848075866699219
"[2775, 4]",[],0.0002932548522949219
"[177600, 4]",[],0.0002758502960205078
[468],[],0.00022912025451660156
"[8732, 4]",[],0.000225067138671875
"[1989, 4]",[],0.00023555755615234375
"[12000, 4]",[],0.00047087669372558594
"[1, 8, 525, 525]",[],0.00043892860412597656
"[4, 409600]",[],0.00030493736267089844
"[4, 832, 800]",[],0.0002884864807128906
[362],[],0.0003857612609863281
[70],[],0.00039958953857421875
"[2, 1216]",[],0.0002415180206298828
"[5, 832]",[],0.00025463104248046875
"[45600, 1]",[],0.00022172927856445312
"[34200, 80]",[],0.0005481243133544922
"[630, 80]",[],0.0002810955047607422
"[1, 8, 660, 660]",[],0.0002942085266113281
"[145152, 80]",[],0.00030922889709472656
[217950],[0],0.00028586387634277344
"[7, 80]",[1],0.0002338886260986328
[27],[],0.0002677440643310547
[477671],[0],0.0002868175506591797
"[3, 80]",[1],0.00025463104248046875
"[630, 4]",[],0.00023984909057617188
[28],[],0.0002319812774658203
"[2, 1216, 800]",[],0.0003380775451660156
"[1, 1560]",[],0.00022840499877929688
"[4, 80]",[1],0.00027108192443847656
"[4, 640, 640]",[],0.0002727508544921875
[488545],[0],0.000286102294921875
"[36268, 80]",[],0.00029468536376953125
"[1, 256, 50, 76]",[],0.00030541419982910156
[3],[],0.0002257823944091797
[4],[],0.00031828880310058594
[30969],[],0.00022029876708984375
[21],[],0.00022101402282714844
[19],[],0.0003921985626220703
[153],[],0.00040912628173828125
"[8, 3800]",[1],0.00027942657470703125
[359512],[0],0.0003352165222167969
"[26, 10400]",[1],0.0002624988555908203
"[122400, 4]",[],0.000469207763671875
[100],[],0.0002892017364501953
[351136],[0],0.0002994537353515625
[75],[],0.00038433074951171875
"[13, 2600]",[1],0.0004076957702636719
"[48000, 1]",[],0.00025153160095214844
[226],[],0.0002841949462890625
"[2268, 4]",[],0.00022363662719726562
[328687],[0],0.0003361701965332031
[520582],[0],0.00026679039001464844
"[1, 8, 100, 506]",[],0.0002906322479248047
"[800, 1216]",[],0.0002841949462890625
[451851],[0],0.0002739429473876953
[383339],[0],0.0002925395965576172
"[20267, 15, 2]",[-1],0.000255584716796875
[464203],[0],0.0005078315734863281
"[0, 50, 76]",[],0.0004470348358154297
[262],[],0.00024628639221191406
"[33, 4]",[],0.00023484230041503906
[],[],0.00024127960205078125
"[16, 80, 128, 128]",[],0.0002720355987548828
"[6, 3400]",[1],0.0002715587615966797
[47],[],0.00022220611572265625
"[12, 800]",[],0.0002911090850830078
"[1, 8, 506, 506]",[],0.0002791881561279297
"[1, 6240, 80]",[],0.0003361701965332031
"[1989, 80]",[],0.000286102294921875
"[3400, 4]",[],0.00028824806213378906
[372579],[0],0.0002911090850830078
[74748],[],0.000225067138671875
"[1, 256, 50, 68]",[],0.0003161430358886719
[57],[],0.0002231597900390625
"[3872, 80]",[],0.0003006458282470703
