item_0,time_cost
"[128, 256]",0.00020241737365722656
"[71, 2]",8.273124694824219e-05
"[256, 10]",6.914138793945312e-05
"[10, 128]",6.628036499023438e-05
"[256, 128]",6.508827209472656e-05
"[12, 2]",7.295608520507812e-05
"[128, 1152]",6.532669067382812e-05
"[128, 1]",6.532669067382812e-05
"[128, 16]",6.4849853515625e-05
"[9, 2]",6.651878356933594e-05
"[128, 1920]",6.604194641113281e-05
"[2304, 3]",6.556510925292969e-05
"[57, 2]",6.556510925292969e-05
"[2304, 256]",6.556510925292969e-05
"[31, 2]",6.580352783203125e-05
"[70, 2]",6.580352783203125e-05
"[2560, 128]",8.535385131835938e-05
"[128, 2560]",6.556510925292969e-05
"[6, 2]",6.4849853515625e-05
"[1, 128]",6.461143493652344e-05
"[128, 64]",6.532669067382812e-05
"[10, 256]",6.580352783203125e-05
"[1152, 128]",6.365776062011719e-05
"[16, 128]",6.365776062011719e-05
"[42, 2]",7.224082946777344e-05
"[3, 2304]",6.318092346191406e-05
"[256, 2304]",6.4849853515625e-05
"[128, 10]",6.4849853515625e-05
"[256, 32]",6.556510925292969e-05
"[32, 256]",6.556510925292969e-05
"[45, 2]",6.389617919921875e-05
"[1920, 128]",6.413459777832031e-05
"[65, 2]",8.749961853027344e-05
"[64, 128]",6.532669067382812e-05
