item_0,item_1,item_2,time_cost
"[8, 100, 32]",[0],[1],0.013878345489501953
"[1131, 3, 49, 32]",[1],[2],0.022619247436523438
"[4, 384, 784]",[1],[2],0.004149913787841797
"[8, 660, 32]",[-2],[-1],0.0014865398406982422
"[256, 3, 49, 32]",[1],[2],0.006951093673706055
"[525, 8, 32]",[0],[1],0.0022706985473632812
"[8, 420, 32]",[-2],[-1],0.0013298988342285156
"[2, 768, 1024]",[1],[2],0.007981061935424805
"[256, 3, 49, 32]",[-2],[-1],0.00738072395324707
"[24, 24, 49, 32]",[1],[2],0.006498813629150391
"[8, 525, 32]",[0],[1],0.0014998912811279297
"[8, 700, 32]",[0],[1],0.0015709400177001953
"[300, 6, 49, 32]",[1],[2],0.013781309127807617
"[8, 270, 32]",[-2],[-1],0.0011265277862548828
"[8, 418, 32]",[-2],[-1],0.0008318424224853516
"[20, 24, 49, 32]",[-2],[-1],0.0039691925048828125
"[4, 96]",[0],[1],0.0014293193817138672
"[1025, 24, 64]",[0],[1],0.006155252456665039
"[330, 6, 49, 32]",[1],[2],0.01445317268371582
"[270, 8, 32]",[0],[1],0.0014629364013671875
"[300, 6, 49, 32]",[-2],[-1],0.011652946472167969
"[1, 1536, 950]",[1],[2],0.007825136184692383
"[8, 506, 32]",[0],[1],0.0016777515411376953
"[16, 12, 49, 32]",[-2],[-1],0.001935720443725586
"[4, 2, 232, 7, 7]",[1],[2],0.0011589527130126953
"[4, 192]",[0],[1],0.000518798828125
"[1, 1536, 850]",[1],[2],0.003920078277587891
"[4, 96, 3136]",[1],[2],0.0065305233001708984
"[1, 384, 15200]",[1],[2],0.025389909744262695
"[16, 12, 49, 32]",[1],[2],0.0017807483673095703
"[20, 24, 49, 32]",[1],[2],0.0045070648193359375
"[700, 8, 32]",[0],[1],0.0023055076599121094
"[1276, 3, 49, 32]",[-2],[-1],0.02659893035888672
"[4, 2, 116, 14, 14]",[1],[2],0.001592397689819336
"[8, 506, 32]",[-2],[-1],0.0012788772583007812
"[4, 12, 197, 64]",[1],[2],0.002674102783203125
"[64, 6, 49, 32]",[1],[2],0.002629518508911133
"[88, 12, 49, 32]",[1],[2],0.00525975227355957
"[4, 12, 197, 64]",[-2],[-1],0.003879547119140625
"[80, 12, 49, 32]",[1],[2],0.009133100509643555
"[8, 624, 32]",[-2],[-1],0.0024254322052001953
"[8, 720, 32]",[0],[1],0.0016984939575195312
"[4, 24, 49, 32]",[-2],[-1],0.0017056465148925781
"[384, 4, 192]",[1],[2],0.0025627613067626953
"[24, 24, 49, 32]",[-2],[-1],0.005338907241821289
"[8, 720, 32]",[-2],[-1],0.001995563507080078
"[64, 6, 49, 32]",[-2],[-1],0.004300117492675781
"[2, 1025, 768]",[0],[1],0.00859975814819336
"[1, 768, 3800]",[1],[2],0.0137939453125
"[768, 4, 384]",[1],[2],0.007036924362182617
"[24, 1025, 64]",[-2],[-1],0.005995988845825195
"[24, 1025, 64]",[0],[1],0.007677793502807617
"[420, 8, 32]",[0],[1],0.001817941665649414
"[720, 8, 32]",[0],[1],0.0015251636505126953
"[6, 100, 1, 256]",[1],[2],0.0020194053649902344
"[2, 1, 128, 128]",[0],[1],0.0034410953521728516
"[624, 8, 32]",[0],[1],0.0016803741455078125
"[4, 384]",[0],[1],0.0010728836059570312
"[330, 6, 49, 32]",[-2],[-1],0.010791778564453125
"[8, 270, 32]",[0],[1],0.0010914802551269531
"[4, 2, 58, 28, 28]",[1],[2],0.0016753673553466797
"[8, 418, 32]",[0],[1],0.001268148422241211
"[8, 700, 32]",[-2],[-1],0.0019490718841552734
"[8, 420, 32]",[0],[1],0.0009167194366455078
"[4, 24, 49, 32]",[1],[2],0.0009722709655761719
"[1276, 3, 49, 32]",[1],[2],0.02225184440612793
"[1, 96, 54400]",[1],[2],0.02076435089111328
"[1131, 3, 49, 32]",[-2],[-1],0.02187657356262207
"[8, 525, 32]",[-2],[-1],0.0015921592712402344
"[1, 384, 13600]",[1],[2],0.019617557525634766
"[418, 8, 32]",[0],[1],0.0019397735595703125
"[1, 768, 1024]",[1],[2],0.0055768489837646484
"[660, 8, 32]",[0],[1],0.0016834735870361328
"[506, 8, 32]",[0],[1],0.0011706352233886719
"[80, 12, 49, 32]",[-2],[-1],0.005272865295410156
"[8, 624, 32]",[0],[1],0.0015106201171875
"[1, 768, 3400]",[1],[2],0.007428169250488281
"[1025, 2, 768]",[0],[1],0.00738525390625
"[88, 12, 49, 32]",[-2],[-1],0.008444070816040039
"[192, 4, 96]",[1],[2],0.002086639404296875
"[8, 100, 32]",[-2],[-1],0.0006351470947265625
"[8, 660, 32]",[0],[1],0.0016698837280273438
"[4, 768, 196]",[1],[2],0.004578828811645508
"[2, 1, 512, 512]",[0],[1],0.0042819976806640625
"[1, 96, 60800]",[1],[2],0.024763822555541992
"[4, 1536, 49]",[1],[2],0.0018913745880126953
"[100, 8, 32]",[0],[1],0.0014569759368896484
