item_0,item_1,item_2,item_3,item_4,time_cost
"[256, 64]",1,,,,0.0014581680297851562
"[256, 2304]",1,,,,0.000278472900390625
"[1024, 512]",1,,,,0.000244140625
"[64, 64]",1,,,,0.001115560531616211
"[512, 4608]",1,,,,0.000492095947265625
"[128, 1152]",1,,,,0.0004897117614746094
"[2, 1, 1, 512, 4, 4]",0,False,,,0.00048732757568359375
"[512, 2048]",1,,,,0.0004832744598388672
"[512, 196, 768]",-1,,True,,0.0009043216705322266
"[2048, 512]",1,,,,0.00048351287841796875
"[1, 1, 1, 512, 4, 4]",0,False,,,0.0004839897155761719
"[64, 576]",1,,,,0.0004999637603759766
"[64, 256]",1,,,,0.00048041343688964844
"[2048, 1024]",1,,,,0.0004863739013671875
"[512, 1024]",1,,,,0.00048828125
"[128, 256]",1,,,,0.0005218982696533203
"[64, 147]",1,,,,0.0004932880401611328
"[512, 256]",1,,,,0.0004894733428955078
"[128, 512]",1,,,,0.00048732757568359375
"[512, 128]",1,,,,0.0004794597625732422
"[256, 1024]",1,,,,0.00047898292541503906
"[1, 1, 1, 512, 6, 6]",0,False,,,0.00048828125
"[1024, 256]",1,,,,0.0004792213439941406
"[256, 512]",1,,,,0.0004756450653076172
