item_0,item_1,item_2,time_cost
"[40800, 4]","[40800, 4]","[40800, 4]",0.00010013580322265625
"[10200, 4]","[10200, 4]","[10200, 4]",5.650520324707031e-05
"[163200, 4]","[163200, 4]","[163200, 4]",5.14984130859375e-05
"[2550, 4]","[2550, 4]","[2550, 4]",4.9591064453125e-05
"[45600, 4]","[45600, 4]","[45600, 4]",0.0002639293670654297
"[23, 4]","[23, 4]","[23, 4]",8.702278137207031e-05
"[2, 4]","[2, 4]","[2, 4]",5.245208740234375e-05
"[741, 4]","[741, 4]","[741, 4]",5.078315734863281e-05
"[11100, 4]","[11100, 4]","[11100, 4]",5.030632019042969e-05
"[44400, 4]","[44400, 4]","[44400, 4]",5.5789947509765625e-05
"[5, 4]","[5, 4]","[5, 4]",7.486343383789062e-05
"[2850, 4]","[2850, 4]","[2850, 4]",8.749961853027344e-05
"[177600, 4]","[177600, 4]","[177600, 4]",5.1021575927734375e-05
[512],[512],[512],5.030632019042969e-05
"[2775, 4]","[2775, 4]","[2775, 4]",4.982948303222656e-05
"[663, 4]","[663, 4]","[663, 4]",4.9591064453125e-05
"[15, 4]","[15, 4]","[15, 4]",7.009506225585938e-05
"[10, 4]","[10, 4]","[10, 4]",6.651878356933594e-05
"[11400, 4]","[11400, 4]","[11400, 4]",4.982948303222656e-05
"[13, 4]","[13, 4]","[13, 4]",4.9114227294921875e-05
"[1, 4]","[1, 4]","[1, 4]",4.863739013671875e-05
"[8732, 4]","[8732, 4]","[8732, 4]",4.9114227294921875e-05
"[14, 4]","[14, 4]","[14, 4]",6.961822509765625e-05
"[8, 4]","[8, 4]","[8, 4]",5.221366882324219e-05
"[4, 4]","[4, 4]","[4, 4]",4.839897155761719e-05
"[18, 4]","[18, 4]","[18, 4]",4.792213439941406e-05
"[7, 4]","[7, 4]","[7, 4]",4.839897155761719e-05
"[182400, 4]","[182400, 4]","[182400, 4]",6.747245788574219e-05
