{'item_0': 8, 'item_1': 12, 'time_cost': '0.0029180049896240234'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::sum         6.30%     164.000us         7.11%     185.000us     185.000us       5.000us        55.56%       5.000us       5.000us           0 b           0 b       1.00 Kb       1.00 Kb             1  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us        55.56%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
                                          fused_sub_mul         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us        44.44%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
                                              aggregate        14.79%     385.000us        99.58%       2.592ms       2.592ms       0.000us         0.00%       5.000us       5.000us           0 b           0 b       7.00 Kb      -6.00 Kb             1  
                                             aten::view         2.31%      60.000us         2.31%      60.000us      60.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::unsqueeze         4.46%     116.000us         4.99%     130.000us      65.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::as_strided         1.15%      30.000us         1.15%      30.000us       7.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                           aten::expand         2.57%      67.000us         2.92%      76.000us      76.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::detach         1.84%      48.000us         3.03%      79.000us      26.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                                 detach         1.19%      31.000us         1.19%      31.000us      10.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                           <forward op>         4.99%     130.000us        66.50%       1.731ms       1.731ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b      12.00 Kb           0 b             1  
