{'item_0': [209], 'time_cost': '1.984710693359375'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         aten::bincount         0.05%     924.000us       100.00%        1.985s        1.985s       5.000us        35.71%      14.000us      14.000us           0 b          -8 b       2.00 Kb      -3.00 Kb             1  
void at::cuda::kernelHistogram1D<long, int, long, 1,...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us        35.71%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
                                              aten::min         0.00%      82.000us        99.92%        1.983s        1.983s       4.000us        28.57%       4.000us       4.000us           0 b           0 b         512 b           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us        28.57%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
                                              aten::max         0.00%      57.000us         0.01%     128.000us     128.000us       4.000us        28.57%       4.000us       4.000us           0 b           0 b         512 b           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us        28.57%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.00%      62.000us         0.01%     105.000us      52.500us       1.000us         7.14%       1.000us       0.500us           0 b           0 b           0 b           0 b             2  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         7.14%       1.000us       0.500us           0 b           0 b           0 b           0 b             2  
                                            aten::empty         0.00%      97.000us         0.00%      97.000us      24.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       5.00 Kb       5.00 Kb             4  
                                          aten::resize_         0.00%      28.000us         0.00%      28.000us      14.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
