{'item_0': [2.0, 256.0, 25.0, 35.0], 'item_1': [50.0, 70.0], 'item_2': [False], 'item_3': ['nearest'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.012216329574584961'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        72.47%       8.054ms        72.47%       8.054ms       4.027ms       3.338ms        60.31%       3.338ms       1.669ms           0 b           0 b           0 b           0 b             2  
                                             aten::add_         5.04%     560.000us         5.04%     560.000us     560.000us     547.000us         9.88%     547.000us     547.000us           0 b           0 b           0 b           0 b             1  
                                         aten::_to_copy         3.62%     402.000us        77.83%       8.650ms       4.325ms     361.000us         6.52%       3.812ms       1.906ms       5.13 Mb           0 b           0 b           0 b             2  
                                               aten::to         2.36%     262.000us        80.19%       8.912ms       4.456ms     230.000us         4.16%       4.042ms       2.021ms       5.13 Mb           0 b           0 b           0 b             2  
                               aten::upsample_nearest2d         3.33%     370.000us         3.33%     370.000us     370.000us     183.000us         3.31%     183.000us     183.000us           0 b           0 b       6.84 Mb       6.84 Mb             1  
autograd::engine::evaluate_function: ToCopyBackward0...         1.63%     181.000us        83.27%       9.255ms       4.628ms     153.000us         2.76%       4.347ms       2.174ms       3.42 Mb      -1.71 Mb      -1.85 Mb      -1.85 Mb             2  
                                        ToCopyBackward0         1.46%     162.000us        81.64%       9.074ms       4.537ms     152.000us         2.75%       4.194ms       2.097ms       5.13 Mb           0 b           0 b           0 b             2  
                        torch::autograd::AccumulateGrad         1.29%     143.000us         6.33%     703.000us     703.000us     147.000us         2.66%     694.000us     694.000us           0 b           0 b           0 b           0 b             1  
                                    aten::empty_strided         1.75%     194.000us         1.75%     194.000us      97.000us     113.000us         2.04%     113.000us      56.500us       5.13 Mb       5.13 Mb           0 b           0 b             2  
