{'item_0': [43, 25601], 'item_1': [1], 'time_cost': '1.9643006324768066'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls        MFLOPS  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         0.08%       1.601ms         0.13%       2.578ms       1.289ms     749.000us        89.17%     749.000us     374.500us           0 b           0 b           0 b           0 b             2            --  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us     749.000us        89.17%     749.000us     749.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::sub         0.00%      91.000us         0.01%     186.000us      93.000us      29.000us         3.45%      29.000us      14.500us           0 b           0 b      10.04 Mb           0 b             2            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      29.000us         3.45%      29.000us      14.500us           0 b           0 b           0 b           0 b             2            --  
                                              aten::exp         0.00%      67.000us         0.01%     140.000us      70.000us      23.000us         2.74%      23.000us      11.500us           0 b           0 b       8.40 Mb           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      23.000us         2.74%      23.000us      11.500us           0 b           0 b           0 b           0 b             2            --  
                                             aten::amax         0.00%      93.000us       199.39%        3.916s        1.958s      14.000us         1.67%      28.000us      14.000us           0 b           0 b       1.00 Kb           0 b             2            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      14.000us         1.67%      14.000us      14.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::mul         0.00%      83.000us         0.01%     125.000us     125.000us      14.000us         1.67%      14.000us      14.000us           0 b           0 b       4.20 Mb           0 b             1         3.071  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      14.000us         1.67%      14.000us      14.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::sum         0.00%      41.000us         0.01%     147.000us     147.000us       8.000us         0.95%       8.000us       8.000us           0 b           0 b         512 b           0 b             1            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.95%       8.000us       8.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::abs         0.00%      82.000us         0.01%     235.000us     117.500us       1.000us         0.12%       2.000us       1.000us           0 b           0 b       1.00 Kb           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.12%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                               aten::eq         0.00%      87.000us         0.01%     261.000us     130.500us       1.000us         0.12%       2.000us       1.000us           0 b           0 b       1.00 Kb           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.12%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                     aten::masked_fill_         0.00%      35.000us         0.00%      46.000us      46.000us       1.000us         0.12%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
void kernelPointwiseApply2<TensorMaskedFillOp<float,...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.12%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                        aten::logsumexp         0.05%       1.018ms        99.79%        1.960s        1.960s       0.000us         0.00%      49.000us      49.000us           0 b           0 b         512 b      -9.22 Mb             1            --  
                                            aten::empty         0.01%     177.000us         0.01%     177.000us      19.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      22.64 Mb      22.64 Mb             9            --  
                                          aten::resize_         0.01%     144.000us         0.01%     144.000us      36.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             4            --  
                                       cudaLaunchKernel        99.70%        1.958s        99.70%        1.958s     150.621ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            13            --  
                                          aten::squeeze         0.00%      50.000us         0.00%      77.000us      77.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                       aten::as_strided         0.00%      51.000us         0.00%      51.000us      12.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                             aten::item         0.00%      15.000us         0.00%      29.000us      29.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                              aten::_local_scalar_dense         0.00%      14.000us         0.00%      14.000us      14.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                             aten::log_         0.00%      24.000us         0.00%      57.000us      57.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::log         0.00%      23.000us         0.00%      33.000us      33.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                             aten::add_         0.04%     850.000us         0.04%     859.000us     429.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                        aten::ones_like         0.00%      35.000us         0.01%     123.000us     123.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1            --  
                                       aten::empty_like         0.00%      21.000us         0.00%      42.000us      42.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1            --  
                                    aten::empty_strided         0.00%      62.000us         0.00%      62.000us      20.667us       0.000us         0.00%       0.000us       0.000us      12.60 Mb      12.60 Mb         512 b         512 b             3            --  
                                            aten::fill_         0.00%      34.000us         0.00%      46.000us      46.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                      LogsumexpBackward         0.00%      59.000us         0.02%     450.000us     450.000us       0.000us         0.00%      42.000us      42.000us           0 b           0 b       4.20 Mb      -9.22 Mb             1            --  
                                        aten::unsqueeze         0.00%      51.000us         0.00%      60.000us      30.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2            --  
                                          CloneBackward         0.00%       3.000us         0.00%       3.000us       3.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                         torch::autograd::CopyBackwards         0.00%      21.000us         0.14%       2.697ms       1.349ms       0.000us         0.00%     749.000us     374.500us      12.60 Mb           0 b           0 b           0 b             2            --  
                                               aten::to         0.00%      57.000us         0.14%       2.676ms       1.338ms       0.000us         0.00%     749.000us     374.500us      12.60 Mb           0 b           0 b           0 b             2            --  
                                        cudaMemcpyAsync         0.05%     966.000us         0.05%     966.000us     966.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                  cudaStreamSynchronize         0.00%      11.000us         0.00%      11.000us      11.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                        torch::autograd::AccumulateGrad         0.00%      12.000us         0.04%     829.000us     829.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us     -12.60 Mb     -12.60 Mb      -1.00 Kb      -1.00 Kb             4            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.964s
Self CUDA time total: 840.000us

{'item_0': [57, 55697], 'item_1': [1], 'time_cost': '0.019315242767333984'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls        MFLOPS  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        25.72%       4.891ms        76.10%      14.474ms       7.237ms       8.984ms        96.84%       8.984ms       4.492ms           0 b           0 b           0 b           0 b             2            --  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       8.984ms        96.84%       8.984ms       8.984ms           0 b           0 b           0 b           0 b             1            --  
                                              aten::exp         0.29%      55.000us         0.54%     103.000us      51.500us      94.000us         1.01%      94.000us      47.000us           0 b           0 b      24.22 Mb           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      94.000us         1.01%      94.000us      47.000us           0 b           0 b           0 b           0 b             2            --  
                                              aten::sub         0.34%      65.000us         0.71%     135.000us      67.500us      88.000us         0.95%      88.000us      44.000us           0 b           0 b      24.22 Mb           0 b             2            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      88.000us         0.95%      88.000us      44.000us           0 b           0 b           0 b           0 b             2            --  
                                              aten::mul         0.22%      42.000us         0.34%      64.000us      64.000us      48.000us         0.52%      48.000us      48.000us           0 b           0 b      12.11 Mb           0 b             1         1.188  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      48.000us         0.52%      48.000us      48.000us           0 b           0 b           0 b           0 b             1            --  
