{'item_0': [8, 8], 'item_1': [8], 'time_cost': '2.4096176624298096'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     aten::linalg_lstsq         0.02%     581.000us       199.94%        4.817s        2.409s      41.000us        75.93%     106.000us      53.000us           0 b           0 b       1.00 Kb      -3.50 Kb             2  
void geqr2_smem<double, double, 8, 5, 5>(int, int, d...         0.00%       0.000us         0.00%       0.000us       0.000us      28.000us        51.85%      28.000us      28.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.00%      54.000us         0.00%     117.000us      39.000us       6.000us        11.11%       6.000us       2.000us           0 b           0 b           0 b           0 b             3  
void batch_trsm_left_kernel<double, 64, 4, 3, false,...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us        11.11%       6.000us       6.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         9.26%       5.000us       2.500us           0 b           0 b           0 b           0 b             2  
void ormqr_cta_kernel<double, 4, 1>(int, int, int, d...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         9.26%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         0.00%      52.000us        99.90%        2.407s     802.270ms       3.000us         5.56%       3.000us       1.000us           0 b           0 b           0 b           0 b             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         5.56%       3.000us       1.000us           0 b           0 b           0 b           0 b             3  
                            copy_info_kernel(int, int*)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         3.70%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                           aten::arange         0.00%     102.000us         0.01%     225.000us      56.250us       2.000us         3.70%       4.000us       1.000us           0 b           0 b       2.00 Kb           0 b             4  
