{'item_0': [4], 'item_1': 1, 'time_cost': '0.08195924758911133'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.000us        13.46%       7.000us       3.500us           0 b           0 b           0 b           0 b             2  
                                           aten::argmax         0.03%      17.000us         0.04%      27.000us      27.000us       7.000us        13.46%       7.000us       7.000us           0 b           0 b           0 b           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       7.000us        13.46%       7.000us       7.000us           0 b           0 b           0 b           0 b             1  
                                              aten::min         3.87%       2.519ms         7.68%       5.004ms       5.004ms       6.000us        11.54%       6.000us       6.000us           0 b           0 b         512 b           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us        11.54%       6.000us       6.000us           0 b           0 b           0 b           0 b             1  
                                              aten::max         0.04%      25.000us         0.07%      43.000us      43.000us       6.000us        11.54%       6.000us       6.000us           0 b           0 b         512 b           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us        11.54%       6.000us       6.000us           0 b           0 b           0 b           0 b             1  
                                              aten::sum         2.91%       1.897ms         2.94%       1.914ms       1.914ms       6.000us        11.54%       6.000us       6.000us           0 b           0 b         512 b         512 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us        11.54%       6.000us       6.000us           0 b           0 b           0 b           0 b             1  
                                               aten::ge         2.49%       1.625ms         2.51%       1.638ms       1.638ms       4.000us         7.69%       4.000us       4.000us           0 b           0 b         512 b         512 b             1  
