{'item_0': 2, 'time_cost': '0.034060001373291016'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         aten::randperm        68.32%      16.333ms       125.87%      30.090ms      15.045ms       9.000us        45.00%      40.000us      20.000us           0 b           0 b         512 b      -2.00 Kb             2  
void at_cuda_detail::cub::DeviceRadixSortSingleTileK...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us        30.00%       6.000us       6.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         1.28%     305.000us         5.52%       1.320ms       1.320ms       4.000us        20.00%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us        20.00%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
                                          aten::random_         0.20%      48.000us         0.26%      63.000us      63.000us       4.000us        20.00%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us        20.00%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
                                           aten::arange         2.38%     568.000us         6.89%       1.648ms     824.000us       3.000us        15.00%       6.000us       3.000us           0 b           0 b       1.00 Kb           0 b             2  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        15.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void (anonymous namespace)::randperm_handle_duplicat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        15.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                            aten::empty        18.68%       4.465ms        18.68%       4.465ms       1.116ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.50 Kb       1.50 Kb             4  
