{'item_0': [38, 164], 'item_1': 164, 'item_2': 1, 'time_cost': '2.0463435649871826'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         0.00%      46.000us         0.01%     118.000us      39.333us      33.000us        44.00%      33.000us      11.000us           0 b           0 b           0 b           0 b             3  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      27.000us        36.00%      27.000us      27.000us           0 b           0 b           0 b           0 b             1  
                                     aten::index_select         0.00%      45.000us         0.00%      67.000us      67.000us      19.000us        25.33%      19.000us      19.000us           0 b           0 b       7.80 Mb           0 b             1  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us      19.000us        25.33%      19.000us      19.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         8.00%       6.000us       3.000us           0 b           0 b           0 b           0 b             2  
                                              aten::all         0.00%      33.000us         0.00%      45.000us      45.000us       6.000us         8.00%       6.000us       6.000us           0 b           0 b         512 b         512 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         8.00%       6.000us       6.000us           0 b           0 b           0 b           0 b             1  
                                           aten::cumsum         0.00%      66.000us         0.01%     168.000us     168.000us       5.000us         6.67%       7.000us       7.000us           0 b           0 b       1.50 Kb           0 b             1  
                                               aten::ge         0.00%      37.000us         0.00%      47.000us      47.000us       5.000us         6.67%       5.000us       5.000us           0 b           0 b         512 b         512 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         6.67%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
