{'item_0': [38, 164], 'item_1': 164, 'item_2': 1, 'time_cost': '2.0527992248535156'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     aten::index_select         0.00%      49.000us         0.00%      75.000us      75.000us      19.000us        38.78%      19.000us      19.000us           0 b           0 b       7.80 Mb           0 b             1  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us      19.000us        38.78%      19.000us      19.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.00%      34.000us         0.00%      60.000us      30.000us       7.000us        14.29%       7.000us       3.500us           0 b           0 b           0 b           0 b             2  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       7.000us        14.29%       7.000us       3.500us           0 b           0 b           0 b           0 b             2  
                                              aten::all         0.00%      36.000us         0.00%      49.000us      49.000us       6.000us        12.24%       6.000us       6.000us           0 b           0 b         512 b         512 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us        12.24%       6.000us       6.000us           0 b           0 b           0 b           0 b             1  
                                           aten::cumsum         0.00%      70.000us         0.01%     167.000us     167.000us       5.000us        10.20%       7.000us       7.000us           0 b           0 b       1.50 Kb           0 b             1  
                                               aten::ge         0.00%      32.000us         0.00%      52.000us      52.000us       5.000us        10.20%       5.000us       5.000us           0 b           0 b         512 b         512 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us        10.20%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanKernel<at::cud...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         8.16%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
