{'item_0': [128, 256], 'time_cost': '0.0017590522766113281'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         1.55%      23.000us         3.03%      45.000us      45.000us       5.000us        55.56%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us        55.56%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         1.35%      20.000us         4.17%      62.000us      62.000us       4.000us        44.44%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us        44.44%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
                                               aten::t_         2.62%      39.000us         5.99%      89.000us      89.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::transpose_         2.89%      43.000us         3.36%      50.000us      50.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::as_strided_         0.47%       7.000us         0.47%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         3.03%      45.000us        80.75%       1.200ms       1.200ms       0.000us         0.00%       4.000us       4.000us           0 b           0 b     128.00 Kb           0 b             1  
                                       aten::empty_like         1.55%      23.000us        73.55%       1.093ms       1.093ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b     128.00 Kb           0 b             1  
                                    aten::empty_strided        72.01%       1.070ms        72.01%       1.070ms       1.070ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b     128.00 Kb     128.00 Kb             1  
