id,source_neural_network,num_of_calls,parameters,running_time
#0,configs--animal--2d_kpt_sview_rgb_img--topdown_heatmap--horse10--hrnet_w48_horse10_256x256-split2.py,132,"{'input_shape': [[2, 1, 4096]], 'dim': [1]}",3.888607025146484e-06
#1,configs--animal--2d_kpt_sview_rgb_img--topdown_heatmap--horse10--hrnet_w48_horse10_256x256-split2.py,88,"{'input_shape': [[1, 1, 4096]], 'dim': [1]}",3.540515899658203e-06
#2,erfnet_fcn_4x4_512x1024_160k_cityscapes_seed0,5,"{'input_shape': [[4, 1, 512, 1024]], 'dim': [1]}",5.53131103515625e-06
#3,ann_r101-d8_769x769_40k_cityscapes,10,"{'input_shape': [[2, 1, 769, 769]], 'dim': [1]}",4.320144653320313e-06
#4,ccnet_r50-d8_769x769_40k_cityscapes,10,"{'input_shape': [[2, 1, 769, 769]], 'dim': [1]}",4.99725341796875e-06
#5,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--scnet50_coco_256x192.py,170,"{'input_shape': [[2, 1, 3072]], 'dim': [1]}",4.93764877319336e-06
#6,pspnet_r101-d8_512x1024_40k_cityscapes,10,"{'input_shape': [[2, 1, 512, 1024]], 'dim': [1]}",5.321502685546875e-06
#7,configs--animal--2d_kpt_sview_rgb_img--topdown_heatmap--animalpose--res101_animalpose_256x256.py,200,"{'input_shape': [[2, 1, 4096]], 'dim': [1]}",5.142688751220703e-06
#8,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_shape': [[9, 1]], 'dim': [[]]}",3.7355422973632814e-05
#9,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_shape': [[9, 1]], 'dim': [-1]}",5.14984130859375e-06
#10,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,1,"{'input_shape': [[15204, 1]], 'dim': [-1]}",4.634857177734375e-06
