id,source_neural_network,num_of_calls,parameters,running_time
#0,simmim_swin-base_8xb256-coslr-100e_in1k-192,5,"{'input': [[64, 36, 36]], 'masked': [[64, 36, 36]], 'value': [-100.0]}",1.9178390502929687e-05
#1,simmim_swin-base_8xb256-coslr-100e_in1k-192,5,"{'input': [[64, 36, 36]], 'masked': [[64, 36, 36]], 'value': [0.0]}",1.8627643585205077e-05
#2,simmim_swin-base_8xb256-coslr-100e_in1k-192,5,"{'input': [[16, 36, 36]], 'masked': [[16, 36, 36]], 'value': [-100.0]}",1.8768310546875e-05
#3,simmim_swin-base_8xb256-coslr-100e_in1k-192,5,"{'input': [[16, 36, 36]], 'masked': [[16, 36, 36]], 'value': [0.0]}",1.885652542114258e-05
#4,simmim_swin-base_8xb256-coslr-100e_in1k-192,45,"{'input': [[4, 36, 36]], 'masked': [[4, 36, 36]], 'value': [-100.0]}",1.852273941040039e-05
#5,simmim_swin-base_8xb256-coslr-100e_in1k-192,45,"{'input': [[4, 36, 36]], 'masked': [[4, 36, 36]], 'value': [0.0]}",1.8465518951416016e-05
#6,upernet_swin_large_patch4_window7_512x512_pretrain_224x224_22K_160k_ade20k,5,"{'input': [[361, 49, 49]], 'masked': [[361, 49, 49]], 'value': [-100.0]}",2.538442611694336e-05
#7,upernet_swin_large_patch4_window7_512x512_pretrain_224x224_22K_160k_ade20k,5,"{'input': [[361, 49, 49]], 'masked': [[361, 49, 49]], 'value': [0.0]}",2.5088787078857423e-05
#8,upernet_swin_large_patch4_window7_512x512_pretrain_224x224_22K_160k_ade20k,5,"{'input': [[100, 49, 49]], 'masked': [[100, 49, 49]], 'value': [-100.0]}",2.0668506622314453e-05
#9,upernet_swin_large_patch4_window7_512x512_pretrain_224x224_22K_160k_ade20k,5,"{'input': [[100, 49, 49]], 'masked': [[100, 49, 49]], 'value': [0.0]}",2.0515918731689452e-05
#10,upernet_swin_large_patch4_window7_512x512_pretrain_224x224_22K_160k_ade20k,45,"{'input': [[25, 49, 49]], 'masked': [[25, 49, 49]], 'value': [-100.0]}",1.8835067749023438e-05
#11,upernet_swin_large_patch4_window7_512x512_pretrain_224x224_22K_160k_ade20k,45,"{'input': [[25, 49, 49]], 'masked': [[25, 49, 49]], 'value': [0.0]}",1.8410682678222656e-05
#12,upernet_swin_large_patch4_window7_512x512_pretrain_224x224_22K_160k_ade20k,5,"{'input': [[9, 49, 49]], 'masked': [[9, 49, 49]], 'value': [-100.0]}",1.8475055694580077e-05
#13,upernet_swin_large_patch4_window7_512x512_pretrain_224x224_22K_160k_ade20k,5,"{'input': [[9, 49, 49]], 'masked': [[9, 49, 49]], 'value': [0.0]}",1.8768310546875e-05
#14,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--swin_b_p4_w7_coco_384x288.py,5,"{'input': [[48, 144, 144]], 'masked': [[48, 144, 144]], 'value': [-100.0]}",2.8541088104248045e-05
#15,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--swin_b_p4_w7_coco_384x288.py,5,"{'input': [[48, 144, 144]], 'masked': [[48, 144, 144]], 'value': [0.0]}",2.830982208251953e-05
#16,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--swin_b_p4_w7_coco_384x288.py,5,"{'input': [[12, 144, 144]], 'masked': [[12, 144, 144]], 'value': [-100.0]}",2.8901100158691406e-05
#17,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--swin_b_p4_w7_coco_384x288.py,5,"{'input': [[12, 144, 144]], 'masked': [[12, 144, 144]], 'value': [0.0]}",2.851247787475586e-05
#18,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--swin_b_p4_w7_coco_384x288.py,45,"{'input': [[4, 144, 144]], 'masked': [[4, 144, 144]], 'value': [-100.0]}",2.809762954711914e-05
#19,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--swin_b_p4_w7_coco_384x288.py,45,"{'input': [[4, 144, 144]], 'masked': [[4, 144, 144]], 'value': [0.0]}",3.0195713043212892e-05
#20,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--swin_b_p4_w7_coco_384x288.py,5,"{'input': [[1, 144, 144]], 'masked': [[1, 144, 144]], 'value': [-100.0]}",2.8061866760253907e-05
#21,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--swin_b_p4_w7_coco_384x288.py,5,"{'input': [[1, 144, 144]], 'masked': [[1, 144, 144]], 'value': [0.0]}",2.8328895568847655e-05
#22,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--swin_b_p4_w7_coco_256x192.py,5,"{'input': [[70, 49, 49]], 'masked': [[70, 49, 49]], 'value': [-100.0]}",3.172397613525391e-05
#23,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--swin_b_p4_w7_coco_256x192.py,5,"{'input': [[70, 49, 49]], 'masked': [[70, 49, 49]], 'value': [0.0]}",3.1585693359375e-05
#24,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--swin_b_p4_w7_coco_256x192.py,5,"{'input': [[20, 49, 49]], 'masked': [[20, 49, 49]], 'value': [-100.0]}",3.0145645141601562e-05
#25,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--swin_b_p4_w7_coco_256x192.py,5,"{'input': [[20, 49, 49]], 'masked': [[20, 49, 49]], 'value': [0.0]}",2.795696258544922e-05
#26,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--swin_b_p4_w7_coco_256x192.py,45,"{'input': [[6, 49, 49]], 'masked': [[6, 49, 49]], 'value': [-100.0]}",3.053665161132813e-05
#27,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--swin_b_p4_w7_coco_256x192.py,45,"{'input': [[6, 49, 49]], 'masked': [[6, 49, 49]], 'value': [0.0]}",3.620147705078125e-05
#28,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--swin_b_p4_w7_coco_256x192.py,5,"{'input': [[2, 49, 49]], 'masked': [[2, 49, 49]], 'value': [-100.0]}",2.8014183044433594e-05
#29,configs--body--2d_kpt_sview_rgb_img--topdown_heatmap--coco--swin_b_p4_w7_coco_256x192.py,5,"{'input': [[2, 49, 49]], 'masked': [[2, 49, 49]], 'value': [0.0]}",2.861499786376953e-05
#30,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,3,"{'input': [[1276, 49, 49]], 'masked': [[1276, 49, 49]], 'value': [-100.0]}",7.563352584838868e-05
#31,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,3,"{'input': [[1276, 49, 49]], 'masked': [[1276, 49, 49]], 'value': [0.0]}",7.559537887573242e-05
#32,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,3,"{'input': [[330, 49, 49]], 'masked': [[330, 49, 49]], 'value': [-100.0]}",2.363443374633789e-05
#33,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,3,"{'input': [[330, 49, 49]], 'masked': [[330, 49, 49]], 'value': [0.0]}",2.3250579833984374e-05
#34,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,9,"{'input': [[88, 49, 49]], 'masked': [[88, 49, 49]], 'value': [-100.0]}",2.0461082458496092e-05
#35,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,9,"{'input': [[88, 49, 49]], 'masked': [[88, 49, 49]], 'value': [0.0]}",2.046346664428711e-05
#36,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,3,"{'input': [[24, 49, 49]], 'masked': [[24, 49, 49]], 'value': [-100.0]}",1.8727779388427734e-05
#37,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,3,"{'input': [[24, 49, 49]], 'masked': [[24, 49, 49]], 'value': [0.0]}",1.8787384033203124e-05
#38,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,2,"{'input': [[1131, 49, 49]], 'masked': [[1131, 49, 49]], 'value': [-100.0]}",6.589651107788086e-05
#39,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,2,"{'input': [[1131, 49, 49]], 'masked': [[1131, 49, 49]], 'value': [0.0]}",6.580829620361328e-05
#40,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,2,"{'input': [[300, 49, 49]], 'masked': [[300, 49, 49]], 'value': [-100.0]}",2.1970272064208986e-05
#41,mask_rcnn_swin-t-p4-w7_fpn_1x_coco,2,"{'input': [[300, 49, 49]], 'masked': [[300, 49, 49]], 'value': [0.0]}",2.2270679473876952e-05
