id,source_neural_network,num_of_calls,parameters,running_time
#0,maml_conv4_1xb105_cub_5way-5shot,5,"{'input_tensor': [[25]], 'dim': [[0]]}",1.9235610961914064e-05
#1,maml_conv4_1xb105_cub_5way-5shot,5,"{'input_tensor': [[80]], 'dim': [[0]]}",5.3224563598632815e-05
#2,master_toy_dataset,30,"{'input_tensor': [[180]], 'dim': [[0]]}",0.00013728857040405274
#3,meta-baseline_conv4_1xb100_cub_5way-1shot,5,"{'input_tensor': [[50]], 'dim': [[0]]}",3.3686161041259764e-05
#4,attention-rpn_r50_c4_voc-split1_base-training,10,"{'input_tensor': [[1]], 'dim': [[0]]}",3.497600555419922e-06
#5,efficientnet-b0_8xb32_cifar10,1,"{'input_tensor': [[16]], 'dim': [[0]]}",1.2791156768798828e-05
#6,ddpm_cosine_hybird_timestep-4k_drop0.3_cifar10_32x32_b8x16_500k,5,"{'input_tensor': [[1, 16]], 'dim': [[0]]}",3.635883331298828e-06
#7,dmnet_r50-d8_512x512_160k_ade20k,25,"{'input_tensor': [[1, 2048, 64, 64]], 'dim': [[0]]}",3.9434432983398435e-06
#8,dmnet_r50-d8_512x512_160k_ade20k,4,"{'input_tensor': [[74]], 'dim': [[0]]}",5.314826965332031e-05
#9,dmnet_r50-d8_512x512_160k_ade20k,30,"{'input_tensor': [[1, 1, 1]], 'dim': [[0]]}",3.6025047302246092e-06
#10,dmnet_r50-d8_512x512_160k_ade20k,30,"{'input_tensor': [[1, 1]], 'dim': [[0]]}",3.6025047302246092e-06
#11,dmnet_r50-d8_512x512_160k_ade20k,10,"{'input_tensor': [[6]], 'dim': [[0]]}",6.530284881591797e-06
#12,dmnet_r50-d8_512x512_160k_ade20k,5,"{'input_tensor': [[1, 2048, 66, 66]], 'dim': [[0]]}",3.795623779296875e-06
#13,dmnet_r50-d8_512x512_160k_ade20k,2,"{'input_tensor': [[48]], 'dim': [[0]]}",3.3719539642333986e-05
#14,dmnet_r50-d8_512x512_160k_ade20k,30,"{'input_tensor': [[1, 3, 3]], 'dim': [[0]]}",3.6191940307617187e-06
#15,dmnet_r50-d8_512x512_160k_ade20k,30,"{'input_tensor': [[3, 3]], 'dim': [[0]]}",4.940032958984375e-06
#16,dmnet_r50-d8_512x512_160k_ade20k,10,"{'input_tensor': [[54]], 'dim': [[0]]}",3.7500858306884764e-05
#17,dmnet_r50-d8_512x512_160k_ade20k,5,"{'input_tensor': [[1, 2048, 68, 68]], 'dim': [[0]]}",3.8313865661621094e-06
#18,dmnet_r50-d8_512x512_160k_ade20k,4,"{'input_tensor': [[16]], 'dim': [[0]]}",1.3630390167236329e-05
#19,dmnet_r50-d8_512x512_160k_ade20k,30,"{'input_tensor': [[1, 5, 5]], 'dim': [[0]]}",3.635883331298828e-06
#20,dmnet_r50-d8_512x512_160k_ade20k,30,"{'input_tensor': [[5, 5]], 'dim': [[0]]}",6.160736083984375e-06
#21,dmnet_r50-d8_512x512_160k_ade20k,10,"{'input_tensor': [[150]], 'dim': [[0]]}",0.00011359453201293945
#22,dmnet_r50-d8_512x512_160k_ade20k,5,"{'input_tensor': [[1, 2048, 70, 70]], 'dim': [[0]]}",3.902912139892578e-06
#23,dmnet_r50-d8_512x512_160k_ade20k,30,"{'input_tensor': [[1, 7, 7]], 'dim': [[0]]}",3.578662872314453e-06
#24,dmnet_r50-d8_512x512_160k_ade20k,10,"{'input_tensor': [[216]], 'dim': [[0]]}",0.00017713546752929688
#25,dmnet_r50-d8_512x512_160k_ade20k,4,"{'input_tensor': [[81]], 'dim': [[0]]}",5.8307647705078126e-05
#26,dmnet_r50-d8_512x512_160k_ade20k,2,"{'input_tensor': [[43]], 'dim': [[0]]}",2.8808116912841796e-05
#27,dmnet_r50-d8_512x512_160k_ade20k,2,"{'input_tensor': [[10]], 'dim': [[0]]}",9.114742279052734e-06
#28,dmnet_r50-d8_512x512_160k_ade20k,4,"{'input_tensor': [[78]], 'dim': [[0]]}",5.48553466796875e-05
#29,dmnet_r50-d8_512x512_160k_ade20k,2,"{'input_tensor': [[30]], 'dim': [[0]]}",2.117633819580078e-05
#30,dmnet_r50-d8_512x512_160k_ade20k,4,"{'input_tensor': [[86]], 'dim': [[0]]}",6.069183349609375e-05
#31,dmnet_r50-d8_512x512_160k_ade20k,2,"{'input_tensor': [[35]], 'dim': [[0]]}",2.424001693725586e-05
#32,dmnet_r50-d8_512x512_160k_ade20k,2,"{'input_tensor': [[17]], 'dim': [[0]]}",1.3430118560791015e-05
#33,dmnet_r50-d8_512x512_160k_ade20k,6,"{'input_tensor': [[92]], 'dim': [[0]]}",6.508588790893555e-05
