id,source_neural_network,num_of_calls,parameters,running_time
#0,erfnet_fcn_4x4_512x1024_160k_cityscapes_seed0,5,"{'input_tensor': [[4, 1, 512, 1024]], 'dim0': [[0]], 'dim1': [[1]]}",5.202293395996094e-06
#1,ann_r101-d8_769x769_40k_cityscapes,10,"{'input_tensor': [[2, 1, 769, 769]], 'dim0': [[0]], 'dim1': [[1]]}",4.0888786315917965e-06
#2,ccnet_r50-d8_769x769_40k_cityscapes,10,"{'input_tensor': [[2, 97, 97, 97]], 'dim0': [[1]], 'dim1': [[2]]}",4.689693450927735e-06
#3,ccnet_r50-d8_769x769_40k_cityscapes,10,"{'input_tensor': [[2, 1, 769, 769]], 'dim0': [[0]], 'dim1': [[1]]}",4.661083221435547e-06
#4,pspnet_r101-d8_512x1024_40k_cityscapes,10,"{'input_tensor': [[2, 1, 512, 1024]], 'dim0': [[0]], 'dim1': [[1]]}",4.680156707763672e-06
#5,apcnet_r101-d8_512x1024_40k_cityscapes,10,"{'input_tensor': [[2, 1, 512, 1024]], 'dim0': [[0]], 'dim1': [[1]]}",4.699230194091797e-06
#6,fcn_r50-d8_480x480_80k_pascal_context,10,"{'input_tensor': [[4, 1, 480, 480]], 'dim0': [[0]], 'dim1': [[1]]}",5.0067901611328125e-06
#7,fcn_hr48_512x512_80k_potsdam,5,"{'input_tensor': [[4, 1, 512, 512]], 'dim0': [[0]], 'dim1': [[1]]}",4.97579574584961e-06
#8,apcnet_r50-d8_769x769_40k_cityscapes,10,"{'input_tensor': [[2, 1, 769, 769]], 'dim0': [[0]], 'dim1': [[1]]}",3.962516784667969e-06
#9,deeplabv3_unet_s5-d16_ce-1.0-dice-3.0_64x64_40k_drive,10,"{'input_tensor': [[4, 1, 64, 64]], 'dim0': [[0]], 'dim1': [[1]]}",4.045963287353515e-06
#10,master_toy_dataset,60,"{'input_tensor': [[1, 30, 512]], 'dim0': [[0]], 'dim1': [[1]]}",4.432201385498047e-06
#11,master_toy_dataset,60,"{'input_tensor': [[30, 8, 64]], 'dim0': [[0]], 'dim1': [[1]]}",4.765987396240234e-06
#12,master_toy_dataset,15,"{'input_tensor': [[8, 30, 64]], 'dim0': [[-2]], 'dim1': [[-1]]}",3.578662872314453e-06
#13,master_toy_dataset,30,"{'input_tensor': [[8, 30, 64]], 'dim0': [[0]], 'dim1': [[1]]}",3.654956817626953e-06
#14,master_toy_dataset,30,"{'input_tensor': [[30, 1, 512]], 'dim0': [[0]], 'dim1': [[1]]}",3.478527069091797e-06
#15,master_toy_dataset,30,"{'input_tensor': [[1, 240, 512]], 'dim0': [[0]], 'dim1': [[1]]}",3.4761428833007813e-06
#16,master_toy_dataset,30,"{'input_tensor': [[240, 8, 64]], 'dim0': [[0]], 'dim1': [[1]]}",4.684925079345703e-06
#17,master_toy_dataset,15,"{'input_tensor': [[8, 240, 64]], 'dim0': [[-2]], 'dim1': [[-1]]}",4.191398620605468e-06
#18,meta-baseline_conv4_1xb100_cub_5way-1shot,5,"{'input_tensor': [[10, 1600]], 'dim0': [[0]], 'dim1': [[1]]}",4.4560432434082034e-06
#19,isanet_r50-d8_512x1024_40k_cityscapes,10,"{'input_tensor': [[2, 1, 512, 1024]], 'dim0': [[0]], 'dim1': [[1]]}",4.498958587646485e-06
#20,mlp-mixer-base-p16_64xb64_in1k,65,"{'input_tensor': [[8, 768, 196]], 'dim0': [[1]], 'dim1': [[2]]}",6.530284881591797e-06
#21,mlp-mixer-base-p16_64xb64_in1k,65,"{'input_tensor': [[8, 196, 768]], 'dim0': [[1]], 'dim1': [[2]]}",4.537105560302735e-06
#22,gcnet_r50-d8_512x512_80k_ade20k,10,"{'input_tensor': [[4, 1, 512, 512]], 'dim0': [[0]], 'dim1': [[1]]}",1.1310577392578124e-05
#23,pspnet_r101-d8_512x512_160k_ade20k,10,"{'input_tensor': [[4, 1, 512, 512]], 'dim0': [[0]], 'dim1': [[1]]}",4.417896270751953e-06
#24,nonlocal_r101-d8_512x1024_80k_cityscapes,10,"{'input_tensor': [[2, 1, 512, 1024]], 'dim0': [[0]], 'dim1': [[1]]}",4.143714904785156e-06
#25,fcn_hr48_4x4_512x512_80k_vaihingen,5,"{'input_tensor': [[4, 1, 512, 512]], 'dim0': [[0]], 'dim1': [[1]]}",3.194332122802734e-05
#26,pspnet_unet_s5-d16_128x128_40k_chase_db1,10,"{'input_tensor': [[4, 1, 128, 128]], 'dim0': [[0]], 'dim1': [[1]]}",4.057884216308594e-06
#27,deeplabv3plus_r101-d8_480x480_80k_pascal_context_59,10,"{'input_tensor': [[4, 1, 480, 480]], 'dim0': [[0]], 'dim1': [[1]]}",3.952980041503906e-06
#28,fcn_hr18s_480x480_80k_pascal_context,5,"{'input_tensor': [[4, 1, 480, 480]], 'dim0': [[0]], 'dim1': [[1]]}",4.956722259521484e-06
#29,ann_r50-d8_769x769_40k_cityscapes,10,"{'input_tensor': [[2, 1, 769, 769]], 'dim0': [[0]], 'dim1': [[1]]}",4.4941902160644535e-06
