id,source_neural_network,num_of_calls,parameters,running_time
#0,configs--face--2d_kpt_sview_rgb_img--topdown_heatmap--wflw--hrnetv2_w18_wflw_256x256_awing.py,10,"{'input_tensor': [[2, 98, 1]], 'dim': [[-1]]}",3.1757354736328126e-06
#1,erfnet_fcn_4x4_512x1024_160k_cityscapes_seed0,5,"{'input_tensor': [[4, 512, 1024]], 'dim': [[0]]}",5.636215209960938e-06
#2,ann_r101-d8_769x769_40k_cityscapes,10,"{'input_tensor': [[2, 769, 769]], 'dim': [[0]]}",4.963874816894531e-06
#3,ccnet_r50-d8_769x769_40k_cityscapes,10,"{'input_tensor': [[2, 769, 769]], 'dim': [[0]]}",4.773139953613281e-06
#4,pspnet_r101-d8_512x1024_40k_cityscapes,10,"{'input_tensor': [[2, 512, 1024]], 'dim': [[0]]}",5.333423614501953e-06
#5,apcnet_r101-d8_512x1024_40k_cityscapes,10,"{'input_tensor': [[2, 512, 1024]], 'dim': [[0]]}",4.396438598632813e-06
#6,fcn_r50-d8_480x480_80k_pascal_context,10,"{'input_tensor': [[4, 480, 480]], 'dim': [[0]]}",4.267692565917968e-06
#7,fcn_hr48_512x512_80k_potsdam,5,"{'input_tensor': [[4, 512, 512]], 'dim': [[0]]}",3.840923309326172e-06
#8,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,300,"{'input_tensor': [[2, 32]], 'dim': [[1]]}",4.048347473144531e-06
#9,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,300,"{'input_tensor': [[3, 3]], 'dim': [[0]]}",4.17470932006836e-06
#10,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,100,"{'input_tensor': [[128, 2]], 'dim': [[0]]}",3.7169456481933593e-06
#11,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,300,"{'input_tensor': [[128]], 'dim': [[0]]}",3.5071372985839846e-06
#12,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,100,"{'input_tensor': [[4]], 'dim': [[0]]}",3.4332275390625e-06
#13,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,100,"{'input_tensor': [[2, 3]], 'dim': [[0]]}",3.4046173095703123e-06
#14,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,100,"{'input_tensor': [[1, 36, 36, 2]], 'dim': [[3]]}",1.015186309814453e-05
#15,stylegan3_t_noaug_fp16_gamma2.0_ffhq_256_b4x8,100,"{'input_tensor': [[2, 2, 128]], 'dim': [[1]]}",3.4666061401367185e-06
