id,source_neural_network,num_of_calls,parameters,running_time
#0,ann_r101-d8_769x769_40k_cityscapes,20,"{'input_tensor': [[2, 256, 1, 1]], 'dims': [[2, 256, -1]]}",3.323554992675781e-06
#1,ann_r101-d8_769x769_40k_cityscapes,20,"{'input_tensor': [[2, 256, 3, 3]], 'dims': [[2, 256, -1]]}",3.0279159545898436e-06
#2,ann_r101-d8_769x769_40k_cityscapes,20,"{'input_tensor': [[2, 256, 6, 6]], 'dims': [[2, 256, -1]]}",2.9397010803222656e-06
#3,ann_r101-d8_769x769_40k_cityscapes,20,"{'input_tensor': [[2, 256, 8, 8]], 'dims': [[2, 256, -1]]}",3.044605255126953e-06
#4,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,10,"{'input_tensor': [[1, 1]], 'dims': [[-1]]}",2.8681755065917967e-06
#5,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[92]], 'dims': [[-1, 1]]}",2.949237823486328e-06
#6,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[92, 124]], 'dims': [[-1]]}",2.856254577636719e-06
#7,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[11408, 1, 4]], 'dims': [[-1, 4]]}",4.0936470031738285e-06
#8,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[46]], 'dims': [[-1, 1]]}",3.92913818359375e-06
#9,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[46, 62]], 'dims': [[-1]]}",3.871917724609375e-06
#10,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[2852, 1, 4]], 'dims': [[-1, 4]]}",3.986358642578125e-06
#11,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[23]], 'dims': [[-1, 1]]}",3.92913818359375e-06
#12,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[23, 31]], 'dims': [[-1]]}",3.910064697265625e-06
#13,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[713, 1, 4]], 'dims': [[-1, 4]]}",3.919601440429688e-06
#14,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[12]], 'dims': [[-1, 1]]}",3.974437713623047e-06
#15,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[12, 16]], 'dims': [[-1]]}",3.876686096191407e-06
#16,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[192, 1, 4]], 'dims': [[-1, 4]]}",3.92913818359375e-06
#17,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,8,"{'input_tensor': [[6]], 'dims': [[-1, 1]]}",3.917217254638672e-06
#18,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[6, 8]], 'dims': [[-1]]}",3.0803680419921875e-06
#19,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[48, 1, 4]], 'dims': [[-1, 4]]}",2.9349327087402345e-06
#20,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[11408, 1]], 'dims': [[-1]]}",2.8491020202636717e-06
#21,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[2852, 1]], 'dims': [[-1]]}",2.865791320800781e-06
#22,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,2,"{'input_tensor': [[713, 1]], 'dims': [[-1]]}",2.8347969055175783e-06
#23,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[192, 1]], 'dims': [[-1]]}",2.8395652770996094e-06
#24,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,4,"{'input_tensor': [[48, 1]], 'dims': [[-1]]}",2.865791320800781e-06
#25,tood_x101_64x4d_fpn_dconv_c4-c5_mstrain_2x_coco,3,"{'input_tensor': [[15213]], 'dims': [[1, -1]]}",2.918243408203125e-06
